ID;Geslacht;Leeftijden;Perioden;WanbetalersZorgverzekering_1;WanbetalersZorgverzekeringRelatief_2
53;Totaal Mannen en vrouwen;71600;2007;1040;0.2
54;Totaal Mannen en vrouwen;71600;2008;740;0.2
55;Totaal Mannen en vrouwen;71600;2009;860;0.2
56;Totaal Mannen en vrouwen;21700;2006;380;0.1
57;Totaal Mannen en vrouwen;21700;2007;970;0.2
58;Totaal Mannen en vrouwen;21700;2008;570;0.1
59;Totaal Mannen en vrouwen;21700;2009;660;0.1
60;Mannen;20300;2006;109620;1.7
61;Mannen;20300;2007;140040;2.2
62;Mannen;20300;2008;152100;2.4
63;Mannen;20300;2009;189310;3.0
64;Mannen;52100;2006;4140;2.1
65;Mannen;52100;2007;4250;2.1
66;Mannen;52100;2008;3860;1.9
67;Mannen;52100;2009;4340;2.1
68;Mannen;70500;2006;15650;3.2
69;Mannen;70500;2007;20440;4.1
70;Mannen;70500;2008;20970;4.2
71;Mannen;70500;2009;25530;5.0
72;Mannen;70600;2006;15040;3.0
73;Mannen;70600;2007;20360;4.1
74;Mannen;70600;2008;22050;4.4
75;Mannen;70600;2009;27790;5.5
76;Mannen;70700;2006;14220;2.7
77;Mannen;70700;2007;18130;3.5
78;Mannen;70700;2008;19780;3.9
79;Mannen;70700;2009;24780;4.9
80;Mannen;70800;2006;14640;2.2
81;Mannen;70800;2007;19720;3.1
82;Mannen;70800;2008;21070;3.4
83;Mannen;70800;2009;25500;4.3
84;Mannen;70900;2006;13060;2.0
85;Mannen;70900;2007;17370;2.6
86;Mannen;70900;2008;19200;2.9
87;Mannen;70900;2009;24140;3.7
88;Mannen;71000;2006;11630;1.9
89;Mannen;71000;2007;14350;2.3
90;Mannen;71000;2008;16370;2.6
91;Mannen;71000;2009;20820;3.2
92;Mannen;71100;2006;9180;1.6
93;Mannen;71100;2007;10370;1.8
94;Mannen;71100;2008;11840;2.0
95;Mannen;71100;2009;15150;2.6
96;Mannen;71200;2006;6120;1.1
97;Mannen;71200;2007;7010;1.3
98;Mannen;71200;2008;8010;1.5
99;Mannen;71200;2009;10040;1.8
100;Mannen;71300;2006;3310;0.7
101;Mannen;71300;2007;4120;0.8
102;Mannen;71300;2008;5040;1.0
103;Mannen;71300;2009;6470;1.2
104;Mannen;71400;2006;1580;0.5
105;Mannen;71400;2007;1990;0.6
106;Mannen;71400;2008;2320;0.6
107;Mannen;71400;2009;2830;0.7
108;Mannen;71500;2006;670;0.2
109;Mannen;71500;2007;1000;0.4
110;Mannen;71500;2008;1000;0.4
111;Mannen;71500;2009;1250;0.4
112;Mannen;71600;2006;270;0.1
113;Mannen;71600;2007;560;0.3
114;Mannen;71600;2008;400;0.2
115;Mannen;71600;2009;470;0.2
116;Mannen;21700;2006;120;0.1
117;Mannen;21700;2007;360;0.2
118;Mannen;21700;2008;180;0.1
119;Mannen;21700;2009;200;0.1
120;Vrouwen;20300;2006;80590;1.2
121;Vrouwen;20300;2007;100220;1.5
122;Vrouwen;20300;2008;104600;1.6
123;Vrouwen;20300;2009;129180;1.9
124;Vrouwen;52100;2006;3650;1.9
125;Vrouwen;52100;2007;3610;1.9
126;Vrouwen;52100;2008;3130;1.6
127;Vrouwen;52100;2009;3610;1.8
128;Vrouwen;70500;2006;11900;2.5
129;Vrouwen;70500;2007;16480;3.4
130;Vrouwen;70500;2008;17070;3.5
131;Vrouwen;70500;2009;20350;4.1
132;Vrouwen;70600;2006;10840;2.2
133;Vrouwen;70600;2007;14310;2.9
134;Vrouwen;70600;2008;15590;3.2
135;Vrouwen;70600;2009;19670;4.0
136;Vrouwen;70700;2006;10030;1.9
137;Vrouwen;70700;2007;11890;2.3
138;Vrouwen;70700;2008;12610;2.5
139;Vrouwen;70700;2009;15760;3.2
140;Vrouwen;70800;2006;9990;1.6
141;Vrouwen;70800;2007;12930;2.0
142;Vrouwen;70800;2008;13320;2.2
143;Vrouwen;70800;2009;15990;2.7
144;Vrouwen;70900;2006;10000;1.5
145;Vrouwen;70900;2007;12430;1.9
146;Vrouwen;70900;2008;12840;2.0
147;Vrouwen;70900;2009;15640;2.4
148;Vrouwen;71000;2006;9460;1.5
149;Vrouwen;71000;2007;11110;1.8
150;Vrouwen;71000;2008;11800;1.9
151;Vrouwen;71000;2009;14920;2.3
152;Vrouwen;71100;2006;6570;1.2
153;Vrouwen;71100;2007;7300;1.3
154;Vrouwen;71100;2008;8010;1.4
155;Vrouwen;71100;2009;10230;1.7
156;Vrouwen;71200;2006;4120;0.7
157;Vrouwen;71200;2007;4480;0.8
158;Vrouwen;71200;2008;4710;0.9
159;Vrouwen;71200;2009;6060;1.1
160;Vrouwen;71300;2006;2120;0.5
161;Vrouwen;71300;2007;2670;0.5
162;Vrouwen;71300;2008;2910;0.6
163;Vrouwen;71300;2009;3760;0.7
164;Vrouwen;71400;2006;970;0.3
165;Vrouwen;71400;2007;1240;0.3
166;Vrouwen;71400;2008;1270;0.3
167;Vrouwen;71400;2009;1610;0.4
168;Vrouwen;71500;2006;440;0.1
169;Vrouwen;71500;2007;690;0.2
170;Vrouwen;71500;2008;620;0.2
171;Vrouwen;71500;2009;750;0.2
172;Vrouwen;71600;2006;260;0.1
173;Vrouwen;71600;2007;480;0.2
174;Vrouwen;71600;2008;340;0.1
175;Vrouwen;71600;2009;390;0.1
176;Vrouwen;21700;2006;250;0.1
177;Vrouwen;21700;2007;600;0.1
178;Vrouwen;21700;2008;390;0.1
179;Vrouwen;21700;2009;460;0.1
