ID;GebruikVanGeweld;SoortDiefstal;RegioS;Perioden;TotaalGeregistreerdeDiefstallen_1;GeregistreerdeDiefstallenRelatief_2;GeregistreerdeDiefstallenPer1000Inw_3;TotaalOpgehelderdeDiefstallen_4;OpgehelderdeDiefstallenRelatief_5;RegistratiesVanVerdachten_6
0;Alle diefstallen;Alle diefstallen;Nederland;2010;670470.0;100.0;40.5;84460.0;12.6;114725.0
1;Alle diefstallen;Alle diefstallen;Nederland;2011;677970.0;100.0;40.7;86350.0;12.7;115480.0
2;Alle diefstallen;Alle diefstallen;Nederland;2012;656450.0;100.0;39.2;83710.0;12.8;111215.0
3;Alle diefstallen;Alle diefstallen;Nederland;2013;650650.0;100.0;38.8;83705.0;12.9;111485.0
4;Alle diefstallen;Alle diefstallen;Nederland;2014;592590.0;100.0;35.2;77865.0;13.1;101455.0
5;Alle diefstallen;Alle diefstallen;Nederland;2015;549105.0;100.0;32.5;72780.0;13.3;94465.0
6;Alle diefstallen;Alle diefstallen;Nederland;2016;498285.0;100.0;29.3;67480.0;13.5;85625.0
7;Alle diefstallen;Alle diefstallen;Nederland;2017;428135.0;100.0;25.1;61975.0;14.5;78665.0
8;Alle diefstallen;Alle diefstallen;Nederland;2018;380320.0;100.0;22.1;59410.0;15.6;75710.0
9;Alle diefstallen;Alle diefstallen;Nederland;2019;374790.0;100.0;21.7;60210.0;16.1;76755.0
10;Alle diefstallen;Alle diefstallen;Nederland;2020;330095.0;100.0;19.0;52120.0;15.8;65660.0
11;Alle diefstallen;Alle diefstallen;Nederland;2021;287095.0;100.0;16.4;44080.0;15.4;54835.0
12;Alle diefstallen;Alle diefstallen;Nederland;2022;349045.0;100.0;19.8;53370.0;15.3;66025.0
13;Alle diefstallen;Alle diefstallen;Nederland;2023;364080.0;100.0;20.4;54230.0;14.9;66415.0
14;Alle diefstallen;Alle diefstallen;Nederland;2024;358525.0;100.0;20.0;41560.0;11.6;55155.0
15;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2010;47180.0;100.0;27.5;7960.0;16.9;10565.0
16;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2011;47710.0;100.0;27.8;8090.0;17.0;10670.0
17;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2012;46260.0;100.0;26.9;7565.0;16.4;9840.0
18;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2013;46880.0;100.0;27.3;7495.0;16.0;9885.0
19;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2014;42495.0;100.0;24.7;7100.0;16.7;9460.0
20;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2015;39570.0;100.0;23.0;6810.0;17.2;9140.0
21;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2016;36130.0;100.0;21.0;6005.0;16.6;7820.0
22;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2017;27570.0;100.0;16.0;5495.0;19.9;7155.0
23;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2018;25800.0;100.0;15.0;5460.0;21.2;7120.0
24;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2019;25430.0;100.0;14.8;5410.0;21.3;6965.0
25;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2020;21470.0;100.0;12.4;4555.0;21.2;5910.0
26;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2021;19765.0;100.0;11.4;3800.0;19.2;4880.0
27;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2022;25420.0;100.0;14.6;5065.0;19.9;6385.0
28;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2023;26900.0;100.0;15.3;5855.0;21.8;7200.0
29;Alle diefstallen;Alle diefstallen;Noord-Nederland (LD);2024;24710.0;100.0;14.0;4465.0;18.1;5935.0
30;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2010;119640.0;100.0;34.0;14585.0;12.2;19930.0
31;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2011;120790.0;100.0;34.2;14785.0;12.2;19625.0
32;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2012;118460.0;100.0;33.4;14755.0;12.5;19805.0
33;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2013;118660.0;100.0;33.4;15205.0;12.8;20335.0
34;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2014;101970.0;100.0;28.6;14320.0;14.0;18590.0
35;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2015;90175.0;100.0;25.3;13205.0;14.6;17065.0
36;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2016;83210.0;100.0;23.2;12565.0;15.1;15875.0
37;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2017;69630.0;100.0;19.3;11675.0;16.8;14805.0
38;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2018;62180.0;100.0;17.2;11005.0;17.7;13815.0
39;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2019;62260.0;100.0;17.1;11720.0;18.8;14970.0
40;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2020;55525.0;100.0;15.1;10555.0;19.0;13225.0
41;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2021;48825.0;100.0;13.2;8870.0;18.2;10955.0
42;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2022;59925.0;100.0;16.1;10185.0;17.0;12440.0
43;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2023;57750.0;100.0;15.3;9440.0;16.3;11500.0
44;Alle diefstallen;Alle diefstallen;Oost-Nederland (LD);2024;58025.0;100.0;15.3;7650.0;13.2;9920.0
45;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2010;356565.0;100.0;45.8;45825.0;12.9;62365.0
46;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2011;357520.0;100.0;45.7;47535.0;13.3;64035.0
47;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2012;342660.0;100.0;43.5;45830.0;13.4;61070.0
48;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2013;339815.0;100.0;42.9;45195.0;13.3;60505.0
49;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2014;312615.0;100.0;39.3;42015.0;13.4;54955.0
50;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2015;296110.0;100.0;37.0;39175.0;13.2;50930.0
51;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2016;272240.0;100.0;33.8;36230.0;13.3;45955.0
52;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2017;239905.0;100.0;29.5;33305.0;13.9;42105.0
53;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2018;211435.0;100.0;25.8;31295.0;14.8;40125.0
54;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2019;208755.0;100.0;25.3;31670.0;15.2;40335.0
55;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2020;184220.0;100.0;22.1;26535.0;14.4;33385.0
56;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2021;155885.0;100.0;18.6;22600.0;14.5;27935.0
57;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2022;190170.0;100.0;22.6;27560.0;14.5;33900.0
58;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2023;203905.0;100.0;23.9;28285.0;13.9;34625.0
59;Alle diefstallen;Alle diefstallen;West-Nederland (LD);2024;202245.0;100.0;23.5;21605.0;10.7;28485.0
60;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2010;146070.0;100.0;41.0;15995.0;10.9;21745.0
61;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2011;151160.0;100.0;42.3;15880.0;10.5;21070.0
62;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2012;148445.0;100.0;41.4;15515.0;10.5;20440.0
63;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2013;144705.0;100.0;40.3;15765.0;10.9;20695.0
64;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2014;134850.0;100.0;37.5;14375.0;10.7;18370.0
65;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2015;122805.0;100.0;34.0;13565.0;11.0;17285.0
66;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2016;106295.0;100.0;29.4;12660.0;11.9;15945.0
67;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2017;90325.0;100.0;24.9;11480.0;12.7;14570.0
68;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2018;80150.0;100.0;22.0;11635.0;14.5;14620.0
69;Alle diefstallen;Alle diefstallen;Zuid-Nederland (LD);2019;77405.0;100.0;21.1;11390.0;14.7;14455.0
