ID;Plantdichtheid;Leeftijd;Perioden;AppelsTotaal_1;Elstar_2;Jonagold_3;Jonagored_4;Cox_5;GoldenDelicious_6;SchoneVanBoskoop_7;Delcorf_8;Gala_9;OverigeAppelrassen_10;PerenTotaal_11;HandperenTotaal_12;Conference_13;DoyenneDuComice_14;BeurreAlexandreLucas_15;BeurreHardy_16;TriompheDeVienne_17;OverigeHandperen_18;StoofperenTotaal_19;GieserWilderman_20;SaintRemy_21;OverigeStoofperen_22;OppervlaktePruimen_23;OppervlakteZoeteKersen_24
0;Alle plantdichtheidsklassen;Alle leeftijdsklassen;1997;15191.0;5127.0;3440.0;1158.0;1503.0;1192.0;1281.0;211.0;110.0;1170.0;6026.0;5477.0;3445.0;1274.0;;215.0;213.0;330.0;548.0;377.0;140.0;32.0;;
1;Alle plantdichtheidsklassen;Alle leeftijdsklassen;2002;11177.0;4374.0;2468.0;1077.0;666.0;763.0;809.0;318.0;;702.0;6329.0;5841.0;4035.0;1119.0;204.0;;213.0;270.0;488.0;351.0;;137.0;431.0;225.0
2;Alle plantdichtheidsklassen;0 t/m 4 jaar;1997;3622.0;990.0;990.0;542.0;228.0;221.0;342.0;119.0;47.0;142.0;1281.0;1177.0;866.0;167.0;;24.0;44.0;76.0;104.0;93.0;5.0;6.0;;
3;Alle plantdichtheidsklassen;0 t/m 4 jaar;2002;4127.0;2127.0;736.0;431.0;89.0;196.0;149.0;149.0;;250.0;1473.0;1402.0;1171.0;107.0;67.0;;31.0;27.0;70.0;66.0;;4.0;127.0;91.0
4;Alle plantdichtheidsklassen;5 t/m 9 jaar;1997;6670.0;2600.0;1433.0;494.0;700.0;386.0;436.0;80.0;59.0;483.0;1277.0;1148.0;782.0;223.0;;31.0;37.0;76.0;129.0;97.0;28.0;3.0;;
5;Alle plantdichtheidsklassen;5 t/m 9 jaar;2002;3242.0;888.0;955.0;330.0;209.0;231.0;342.0;116.0;;170.0;1295.0;1178.0;858.0;180.0;44.0;;51.0;45.0;117.0;84.0;;33.0;75.0;31.0
6;Alle plantdichtheidsklassen;10 t/m 14 jaar;1997;4059.0;1441.0;869.0;119.0;488.0;433.0;279.0;9.0;;417.0;746.0;660.0;452.0;143.0;;17.0;30.0;18.0;86.0;60.0;24.0;2.0;;
7;Alle plantdichtheidsklassen;10 t/m 14 jaar;2002;3049.0;1122.0;646.0;275.0;305.0;236.0;221.0;50.0;;193.0;1006.0;903.0;612.0;166.0;48.0;;46.0;31.0;103.0;74.0;;29.0;95.0;33.0
8;Alle plantdichtheidsklassen;15 t/m 24 jaar;1997;697.0;91.0;149.0;;82.0;129.0;146.0;;;95.0;960.0;841.0;577.0;179.0;;20.0;36.0;30.0;119.0;68.0;44.0;7.0;;
9;Alle plantdichtheidsklassen;15 t/m 24 jaar;2002;679.0;224.0;115.0;41.0;59.0;93.0;70.0;;;74.0;1209.0;1094.0;738.0;246.0;18.0;;40.0;53.0;115.0;78.0;;37.0;96.0;39.0
