ID;Tenaamstelling;Brandstofsoort;GewichtsklasseLeeggewicht;LeeftijdVoertuig;Perioden;GemiddeldeJaarkilometrage_1
0;Totaal;Alle brandstofsoorten;Totaal;Totaal;2001;13786.0
1;Totaal;Alle brandstofsoorten;Totaal;Totaal;2002;13680.0
2;Totaal;Alle brandstofsoorten;Totaal;Totaal;2003;13662.0
3;Totaal;Alle brandstofsoorten;Totaal;Totaal;2004;13687.0
4;Totaal;Alle brandstofsoorten;Totaal;Totaal;2005;13737.0
5;Totaal;Alle brandstofsoorten;Totaal;Totaal;2006;13727.0
6;Totaal;Alle brandstofsoorten;Totaal;Totaal;2007;13711.0
7;Totaal;Alle brandstofsoorten;Totaal;Totaal;2008;13615.0
8;Totaal;Alle brandstofsoorten;Totaal;Totaal;2009;13505.0
9;Totaal;Alle brandstofsoorten;Totaal;Totaal;2010;13217.0
10;Totaal;Alle brandstofsoorten;Totaal;Totaal;2011;13128.0
11;Totaal;Alle brandstofsoorten;Totaal;Totaal;2012;12935.0
12;Totaal;Alle brandstofsoorten;Totaal;Totaal;2013;13000.0
13;Totaal;Alle brandstofsoorten;Totaal;Totaal;2014;13067.0
14;Totaal;Alle brandstofsoorten;Totaal;Totaal;2015;13091.0
15;Totaal;Alle brandstofsoorten;Totaal;Totaal;2016;13241.0
16;Totaal;Alle brandstofsoorten;Totaal;Totaal;2017;13120.0
17;Totaal;Alle brandstofsoorten;Totaal;Totaal;2018;13004.0
18;Totaal;Alle brandstofsoorten;Totaal;Totaal;2019;12851.0
19;Totaal;Alle brandstofsoorten;Totaal;Totaal;2020;10454.0
20;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2001;13427.0
21;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2002;12795.0
22;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2003;13321.0
23;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2004;13327.0
24;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2005;14355.0
25;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2006;13820.0
26;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2007;13595.0
27;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2008;13349.0
28;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2009;13218.0
29;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2010;11582.0
30;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2011;12356.0
31;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2012;12820.0
32;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2013;11359.0
33;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2014;11133.0
34;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2015;10183.0
35;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2016;10240.0
36;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2017;11449.0
37;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2018;11940.0
38;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2019;11563.0
39;Totaal;Alle brandstofsoorten;Totaal;0 jaar;2020;7743.0
40;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2001;20896.0
41;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2002;21059.0
42;Totaal;Alle brandstofsoorten;Totaal;1 of 2 jaar;2003;21253.0
