ID;Inkomensbestanddelen;Populatie;Kenmerken;Perioden;AantalPersonen_1;PercentagePersonen_2;TotaalBedrag_3;GemiddeldBedrag_4;AandeelVanBrutoInkomen_5
0;1 Inkomen uit arbeid;492;310;2001;8040.0;68.5;224935.0;28.0;73.8
1;1 Inkomen uit arbeid;492;310;2002;8112.0;68.5;236555.0;29.2;73.9
2;1 Inkomen uit arbeid;492;310;2003;8059.0;68.0;243040.0;30.2;73.6
3;1 Inkomen uit arbeid;492;310;2004;8021.0;67.4;249225.0;31.1;72.8
4;1 Inkomen uit arbeid;492;310;2005;8028.0;66.9;255096.0;31.8;72.1
5;1 Inkomen uit arbeid;492;331;2001;3375.0;86.3;70719.0;21.0;85.2
6;1 Inkomen uit arbeid;492;331;2002;3405.0;86.0;75003.0;22.0;85.4
7;1 Inkomen uit arbeid;492;331;2003;3360.0;85.2;76039.0;22.6;84.8
8;1 Inkomen uit arbeid;492;331;2004;3334.0;84.1;77813.0;23.3;83.5
9;1 Inkomen uit arbeid;492;331;2005;3376.0;83.5;80900.0;24.0;83.2
10;1 Inkomen uit arbeid;492;332;2001;4054.0;65.9;136473.0;33.7;74.5
11;1 Inkomen uit arbeid;492;332;2002;4079.0;65.9;142584.0;35.0;74.5
12;1 Inkomen uit arbeid;492;332;2003;4070.0;65.6;147247.0;36.2;74.5
13;1 Inkomen uit arbeid;492;332;2004;4051.0;65.3;151002.0;37.3;73.8
14;1 Inkomen uit arbeid;492;332;2005;4001.0;64.5;152916.0;38.2;72.8
15;1 Inkomen uit arbeid;492;333;2001;82.0;10.4;1714.0;20.9;11.5
16;1 Inkomen uit arbeid;492;333;2002;86.0;10.9;1861.0;21.6;11.9
17;1 Inkomen uit arbeid;492;333;2003;84.0;10.6;1838.0;22.0;11.4
18;1 Inkomen uit arbeid;492;333;2004;88.0;11.1;1985.0;22.5;11.9
19;1 Inkomen uit arbeid;492;333;2005;92.0;11.6;2111.0;23.0;12.2
20;1 Inkomen uit arbeid;492;334;2001;529.0;59.9;16030.0;30.3;67.1
21;1 Inkomen uit arbeid;492;334;2002;541.0;60.1;17107.0;31.6;67.4
22;1 Inkomen uit arbeid;492;334;2003;545.0;59.5;17917.0;32.9;67.1
23;1 Inkomen uit arbeid;492;334;2004;548.0;58.4;18425.0;33.6;65.8
24;1 Inkomen uit arbeid;492;334;2005;559.0;58.4;19170.0;34.3;65.6
25;1 Inkomen uit arbeid;492;341;2001;4488.0;72.4;160684.0;35.8;76.8
26;1 Inkomen uit arbeid;492;341;2002;4491.0;72.2;167104.0;37.2;76.6
27;1 Inkomen uit arbeid;492;341;2003;4433.0;71.5;170714.0;38.5;76.3
28;1 Inkomen uit arbeid;492;341;2004;4400.0;70.9;174561.0;39.7;75.4
29;1 Inkomen uit arbeid;492;341;2005;4380.0;70.2;177716.0;40.6;74.6
30;1 Inkomen uit arbeid;492;342;2001;1890.0;87.0;44675.0;23.6;86.6
31;1 Inkomen uit arbeid;492;342;2002;1894.0;86.5;46889.0;24.8;86.7
32;1 Inkomen uit arbeid;492;342;2003;1864.0;85.6;47383.0;25.4;86.0
33;1 Inkomen uit arbeid;492;342;2004;1850.0;84.4;48371.0;26.2;84.7
34;1 Inkomen uit arbeid;492;342;2005;1862.0;83.6;50375.0;27.1;84.4
35;1 Inkomen uit arbeid;492;343;2001;2326.0;66.7;105485.0;45.3;75.0
36;1 Inkomen uit arbeid;492;343;2002;2318.0;66.6;108953.0;47.0;74.7
37;1 Inkomen uit arbeid;492;343;2003;2290.0;66.0;111833.0;48.8;74.7
38;1 Inkomen uit arbeid;492;343;2004;2271.0;65.8;114302.0;50.3;73.8
39;1 Inkomen uit arbeid;492;343;2005;2232.0;65.0;115029.0;51.5;72.8
40;1 Inkomen uit arbeid;492;344;2001;27.0;17.7;940.0;35.1;25.2
41;1 Inkomen uit arbeid;492;344;2002;28.0;18.4;1041.0;37.0;26.0
42;1 Inkomen uit arbeid;492;344;2003;28.0;17.9;1023.0;36.7;24.8
43;1 Inkomen uit arbeid;492;344;2004;29.0;18.4;1077.0;37.3;25.0
44;1 Inkomen uit arbeid;492;344;2005;31.0;19.2;1120.0;36.5;24.7
45;1 Inkomen uit arbeid;492;345;2001;245.0;63.3;9585.0;39.2;71.8
46;1 Inkomen uit arbeid;492;345;2002;251.0;63.7;10221.0;40.7;72.4
47;1 Inkomen uit arbeid;492;345;2003;251.0;63.0;10475.0;41.7;71.7
48;1 Inkomen uit arbeid;492;345;2004;251.0;61.8;10811.0;43.1;70.4
49;1 Inkomen uit arbeid;492;345;2005;255.0;61.5;11192.0;43.9;69.8
50;1 Inkomen uit arbeid;492;346;2001;3553.0;64.2;64252.0;18.1;67.2
51;1 Inkomen uit arbeid;492;346;2002;3621.0;64.5;69452.0;19.2;67.9
52;1 Inkomen uit arbeid;492;346;2003;3626.0;64.1;72327.0;19.9;67.9
53;1 Inkomen uit arbeid;492;346;2004;3621.0;63.6;74664.0;20.6;67.3
54;1 Inkomen uit arbeid;492;346;2005;3648.0;63.4;77381.0;21.2;66.9
55;1 Inkomen uit arbeid;492;347;2001;1485.0;85.5;26045.0;17.5;82.9
56;1 Inkomen uit arbeid;492;347;2002;1511.0;85.5;28114.0;18.6;83.4
57;1 Inkomen uit arbeid;492;347;2003;1496.0;84.7;28656.0;19.2;82.8
58;1 Inkomen uit arbeid;492;347;2004;1484.0;83.7;29442.0;19.8;81.6
59;1 Inkomen uit arbeid;492;347;2005;1514.0;83.3;30526.0;20.2;81.2
60;1 Inkomen uit arbeid;492;348;2001;1728.0;64.9;30988.0;17.9;72.9
61;1 Inkomen uit arbeid;492;348;2002;1762.0;65.1;33632.0;19.1;73.7
62;1 Inkomen uit arbeid;492;348;2003;1780.0;65.1;35414.0;19.9;74.1
63;1 Inkomen uit arbeid;492;348;2004;1781.0;64.7;36700.0;20.6;73.6
64;1 Inkomen uit arbeid;492;348;2005;1769.0;64.0;37887.0;21.4;72.6
65;1 Inkomen uit arbeid;492;349;2001;55.0;8.7;774.0;14.0;7.0
66;1 Inkomen uit arbeid;492;349;2002;58.0;9.1;820.0;14.1;7.1
67;1 Inkomen uit arbeid;492;349;2003;56.0;8.8;815.0;14.6;6.8
68;1 Inkomen uit arbeid;492;349;2004;59.0;9.4;907.0;15.3;7.3
69;1 Inkomen uit arbeid;492;349;2005;61.0;9.7;991.0;16.2;7.8
70;1 Inkomen uit arbeid;492;350;2001;284.0;57.3;6445.0;22.7;61.1
71;1 Inkomen uit arbeid;492;350;2002;290.0;57.3;6886.0;23.7;61.1
72;1 Inkomen uit arbeid;492;350;2003;294.0;56.7;7442.0;25.3;61.5
73;1 Inkomen uit arbeid;492;350;2004;297.0;55.8;7614.0;25.6;60.2
74;1 Inkomen uit arbeid;492;350;2005;304.0;56.0;7977.0;26.2;60.4
75;1 Inkomen uit arbeid;492;361;2001;4338.0;63.3;166388.0;38.4;72.0
76;1 Inkomen uit arbeid;492;361;2002;4378.0;63.4;174512.0;39.9;71.9
77;1 Inkomen uit arbeid;492;361;2003;4364.0;62.9;179525.0;41.1;71.8
78;1 Inkomen uit arbeid;492;361;2004;4366.0;62.6;184284.0;42.2;70.9
79;1 Inkomen uit arbeid;492;361;2005;4390.0;62.2;188910.0;43.0;70.3
80;1 Inkomen uit arbeid;492;362;2001;1483.0;53.7;41072.0;27.7;61.0
81;1 Inkomen uit arbeid;492;362;2002;1526.0;54.1;43876.0;28.7;61.3
82;1 Inkomen uit arbeid;492;362;2003;1529.0;53.7;44680.0;29.2;60.7
83;1 Inkomen uit arbeid;492;362;2004;1528.0;53.1;45311.0;29.7;59.5
84;1 Inkomen uit arbeid;492;362;2005;1575.0;53.3;48100.0;30.5;59.7
85;1 Inkomen uit arbeid;492;363;2001;2854.0;69.8;125316.0;43.9;76.5
86;1 Inkomen uit arbeid;492;363;2002;2852.0;69.7;130636.0;45.8;76.4
