ID;Woonland;Sterklassen;RegioS;Perioden;Gasten_1;Overnachtingen_2
0;Totaal landen;Totaal;Nederland;2017 januari;1783;2921
1;Totaal landen;Totaal;Nederland;2017 februari;1809;2978
2;Totaal landen;Totaal;Nederland;2017 maart;2185;3572
3;Totaal landen;Totaal;Nederland;2017 1e kwartaal;5777;9470
4;Totaal landen;Totaal;Nederland;2017 april;2622;4557
5;Totaal landen;Totaal;Nederland;2017 mei;2635;4469
6;Totaal landen;Totaal;Nederland;2017 juni;2634;4528
7;Totaal landen;Totaal;Nederland;2017 2e kwartaal;7890;13554
8;Totaal landen;Totaal;Nederland;2017 juli;2750;4936
9;Totaal landen;Totaal;Nederland;2017 augustus;2768;5108
10;Totaal landen;Totaal;Nederland;2017 september;2525;4419
11;Totaal landen;Totaal;Nederland;2017 3e kwartaal;8043;14462
12;Totaal landen;Totaal;Nederland;2017 oktober;2576;4355
13;Totaal landen;Totaal;Nederland;2017 november;2150;3544
14;Totaal landen;Totaal;Nederland;2017 december;2135;3487
15;Totaal landen;Totaal;Nederland;2017 4e kwartaal;6862;11387
16;Totaal landen;Totaal;Nederland;2017;28572;48873
17;Totaal landen;Totaal;Nederland;2018 januari;1948;3200
18;Totaal landen;Totaal;Nederland;2018 februari;1937;3229
19;Totaal landen;Totaal;Nederland;2018 maart;2329;3935
20;Totaal landen;Totaal;Nederland;2018 1e kwartaal;6214;10364
21;Totaal landen;Totaal;Nederland;2018 april;2609;4565
22;Totaal landen;Totaal;Nederland;2018 mei;2748;4809
23;Totaal landen;Totaal;Nederland;2018 juni;2688;4705
24;Totaal landen;Totaal;Nederland;2018 2e kwartaal;8045;14078
25;Totaal landen;Totaal;Nederland;2018 juli;2800;5150
26;Totaal landen;Totaal;Nederland;2018 augustus;2914;5453
27;Totaal landen;Totaal;Nederland;2018 september;2661;4680
28;Totaal landen;Totaal;Nederland;2018 3e kwartaal;8375;15284
29;Totaal landen;Totaal;Nederland;2018 oktober;2669;4588
30;Totaal landen;Totaal;Nederland;2018 november;2253;3766
31;Totaal landen;Totaal;Nederland;2018 december;2090;3530
32;Totaal landen;Totaal;Nederland;2018 4e kwartaal;7011;11885
33;Totaal landen;Totaal;Nederland;2018;29646;51611
34;Totaal landen;Totaal;Nederland;2019 januari;1909;3258
35;Totaal landen;Totaal;Nederland;2019 februari;1998;3381
36;Totaal landen;Totaal;Nederland;2019 maart;2477;4240
37;Totaal landen;Totaal;Nederland;2019 1e kwartaal;6384;10880
38;Totaal landen;Totaal;Nederland;2019 april;2765;4974
39;Totaal landen;Totaal;Nederland;2019 mei;2745;4868
40;Totaal landen;Totaal;Nederland;2019 juni;2852;5085
41;Totaal landen;Totaal;Nederland;2019 2e kwartaal;8361;14928
42;Totaal landen;Totaal;Nederland;2019 juli;2853;5371
43;Totaal landen;Totaal;Nederland;2019 augustus;2919;5678
44;Totaal landen;Totaal;Nederland;2019 september;2663;4798
45;Totaal landen;Totaal;Nederland;2019 3e kwartaal;8435;15847
46;Totaal landen;Totaal;Nederland;2019 oktober;2745;4857
47;Totaal landen;Totaal;Nederland;2019 november;2407;4060
48;Totaal landen;Totaal;Nederland;2019 december;2237;3832
49;Totaal landen;Totaal;Nederland;2019 4e kwartaal;7389;12749
50;Totaal landen;Totaal;Nederland;2019;30569;54403
51;Totaal landen;Totaal;Nederland;2020 januari;2011;3464
52;Totaal landen;Totaal;Nederland;2020 februari;2121;3705
53;Totaal landen;Totaal;Nederland;2020 maart;989;1780
54;Totaal landen;Totaal;Nederland;2020 1e kwartaal;5121;8950
55;Totaal landen;Totaal;Nederland;2020 april;241;470
56;Totaal landen;Totaal;Nederland;2020 mei;486;840
57;Totaal landen;Totaal;Nederland;2020 juni;1228;2162
58;Totaal landen;Totaal;Nederland;2020 2e kwartaal;1955;3472
59;Totaal landen;Totaal;Nederland;2020 juli;2139;4040
60;Totaal landen;Totaal;Nederland;2020 augustus;2351;4447
61;Totaal landen;Totaal;Nederland;2020 september;1789;3251
62;Totaal landen;Totaal;Nederland;2020 3e kwartaal;6278;11738
63;Totaal landen;Totaal;Nederland;2020 oktober;1160;1980
64;Totaal landen;Totaal;Nederland;2020 november;893;1406
65;Totaal landen;Totaal;Nederland;2020 december;756;1201
66;Totaal landen;Totaal;Nederland;2020 4e kwartaal;2809;4587
67;Totaal landen;Totaal;Nederland;2020;16163;28746
68;Totaal landen;Totaal;Nederland;2021 januari;453;708
69;Totaal landen;Totaal;Nederland;2021 februari;632;964
70;Totaal landen;Totaal;Nederland;2021 maart;691;1102
71;Totaal landen;Totaal;Nederland;2021 1e kwartaal;1776;2774
72;Totaal landen;Totaal;Nederland;2021 april;888;1445
73;Totaal landen;Totaal;Nederland;2021 mei;1443;2372
74;Totaal landen;Totaal;Nederland;2021 juni;1627;2809
75;Totaal landen;Totaal;Nederland;2021 2e kwartaal;3957;6626
76;Totaal landen;Totaal;Nederland;2021 juli;2161;4021
77;Totaal landen;Totaal;Nederland;2021 augustus;2465;4676
78;Totaal landen;Totaal;Nederland;2021 september;2132;3984
79;Totaal landen;Totaal;Nederland;2021 3e kwartaal;6758;12681
80;Totaal landen;Totaal;Nederland;2021 oktober;2386;4244
81;Totaal landen;Totaal;Nederland;2021 november;1722;3066
82;Totaal landen;Totaal;Nederland;2021 december;861;1475
83;Totaal landen;Totaal;Nederland;2021 4e kwartaal;4969;8784
84;Totaal landen;Totaal;Nederland;2021;17460;30865
85;Totaal landen;Totaal;Nederland;2022 januari;741;1238
86;Totaal landen;Totaal;Nederland;2022 februari;1393;2349
87;Totaal landen;Totaal;Nederland;2022 maart;2029;3623
88;Totaal landen;Totaal;Nederland;2022 1e kwartaal;4164;7210
89;Totaal landen;Totaal;Nederland;2022 april;2649;5092
90;Totaal landen;Totaal;Nederland;2022 mei;2895;5329
91;Totaal landen;Totaal;Nederland;2022 juni;2839;5449
92;Totaal landen;Totaal;Nederland;2022 2e kwartaal;8384;15871
93;Totaal landen;Totaal;Nederland;2022 juli;3110;6150
94;Totaal landen;Totaal;Nederland;2022 augustus;3076;6308
95;Totaal landen;Totaal;Nederland;2022 september;2757;5360
96;Totaal landen;Totaal;Nederland;2022 3e kwartaal;8943;17817
97;Totaal landen;Totaal;Nederland;2022 oktober;2941;5542
98;Totaal landen;Totaal;Nederland;2022 november;2502;4469
99;Totaal landen;Totaal;Nederland;2022 december;2325;4208
100;Totaal landen;Totaal;Nederland;2022 4e kwartaal;7768;14220
101;Totaal landen;Totaal;Nederland;2022;29258;55118
102;Totaal landen;Totaal;Nederland;2023 januari;2001;3656
103;Totaal landen;Totaal;Nederland;2023 februari;2085;3823
104;Totaal landen;Totaal;Nederland;2023 maart;2447;4563
105;Totaal landen;Totaal;Nederland;2023 1e kwartaal;6533;12042
106;Totaal landen;Totaal;Nederland;2023 april;2928;5734
107;Totaal landen;Totaal;Nederland;2023 mei;3002;5823
108;Totaal landen;Totaal;Nederland;2023 juni;2955;5783
109;Totaal landen;Totaal;Nederland;2023 2e kwartaal;8886;17341
110;Totaal landen;Totaal;Nederland;2023 juli;3290;6546
111;Totaal landen;Totaal;Nederland;2023 augustus;3008;6309
112;Totaal landen;Totaal;Nederland;2023 september;2764;5385
113;Totaal landen;Totaal;Nederland;2023 3e kwartaal;9062;18240
114;Totaal landen;Totaal;Nederland;2023 oktober;2865;5579
115;Totaal landen;Totaal;Nederland;2023 november;2431;4428
116;Totaal landen;Totaal;Nederland;2023 december;2406;4346
117;Totaal landen;Totaal;Nederland;2023 4e kwartaal;7702;14354
118;Totaal landen;Totaal;Nederland;2023;32182;61976
119;Totaal landen;Totaal;Nederland;2024 januari;2165;4061
120;Totaal landen;Totaal;Nederland;2024 februari;2170;4062
121;Totaal landen;Totaal;Nederland;2024 maart;2650;5020
122;Totaal landen;Totaal;Nederland;2024 1e kwartaal;6985;13143
123;Totaal landen;Totaal;Nederland;2024 april;2875;5682
124;Totaal landen;Totaal;Nederland;2024 mei;3102;6021
125;Totaal landen;Totaal;Nederland;2024 juni;3022;5802
126;Totaal landen;Totaal;Nederland;2024 2e kwartaal;8999;17506
127;Totaal landen;Totaal;Nederland;2024 juli;3157;6345
128;Totaal landen;Totaal;Nederland;2024 augustus;3226;6725
129;Totaal landen;Totaal;Nederland;2024 september;2942;5784
130;Totaal landen;Totaal;Nederland;2024 3e kwartaal;9357;18878
131;Totaal landen;Totaal;Nederland;2024 oktober;2918;5633
132;Totaal landen;Totaal;Nederland;2024 november;2645;4885
133;Totaal landen;Totaal;Nederland;2024 december;2552;4583
134;Totaal landen;Totaal;Nederland;2024 4e kwartaal;8113;15104
135;Totaal landen;Totaal;Nederland;2024;33440;64566
136;Totaal landen;Totaal;Nederland;2025 januari;2235;4139
137;Totaal landen;Totaal;Nederland;2025 februari;2182;4095
138;Totaal landen;Totaal;Amsterdam;2017 januari;564;1087
139;Totaal landen;Totaal;Amsterdam;2017 februari;568;1083
140;Totaal landen;Totaal;Amsterdam;2017 maart;673;1243
141;Totaal landen;Totaal;Amsterdam;2017 1e kwartaal;1804;3413
142;Totaal landen;Totaal;Amsterdam;2017 april;726;1441
143;Totaal landen;Totaal;Amsterdam;2017 mei;751;1414
144;Totaal landen;Totaal;Amsterdam;2017 juni;741;1421
145;Totaal landen;Totaal;Amsterdam;2017 2e kwartaal;2218;4276
146;Totaal landen;Totaal;Amsterdam;2017 juli;771;1540
147;Totaal landen;Totaal;Amsterdam;2017 augustus;737;1495
148;Totaal landen;Totaal;Amsterdam;2017 september;696;1327
149;Totaal landen;Totaal;Amsterdam;2017 3e kwartaal;2204;4362
