ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
0;2006 zondag 1 januari;1.325;1.003;0.543
1;2006 maandag 2 januari;1.328;1.007;0.542
2;2006 dinsdag 3 januari;1.332;1.007;0.54
3;2006 woensdag 4 januari;1.348;1.02;0.55
4;2006 donderdag 5 januari;1.347;1.021;0.55
5;2006 vrijdag 6 januari;1.353;1.023;0.549
6;2006 zaterdag 7 januari;1.361;1.022;0.555
7;2006 zondag 8 januari;1.36;1.022;0.55
8;2006 maandag 9 januari;1.362;1.024;0.554
9;2006 dinsdag 10 januari;1.368;1.022;0.552
10;2006 woensdag 11 januari;1.369;1.018;0.56
11;2006 donderdag 12 januari;1.363;1.011;0.558
12;2006 vrijdag 13 januari;1.361;1.009;0.559
13;2006 zaterdag 14 januari;1.355;1.006;0.559
14;2006 zondag 15 januari;1.356;1.005;0.561
15;2006 maandag 16 januari;1.354;1.005;0.558
16;2006 dinsdag 17 januari;1.355;1.007;0.556
17;2006 woensdag 18 januari;1.36;1.013;0.561
18;2006 donderdag 19 januari;1.363;1.016;0.561
19;2006 vrijdag 20 januari;1.368;1.016;0.561
20;2006 zaterdag 21 januari;1.37;1.021;0.559
21;2006 zondag 22 januari;1.369;1.02;0.559
22;2006 maandag 23 januari;1.369;1.021;0.56
23;2006 dinsdag 24 januari;1.368;1.031;0.564
24;2006 woensdag 25 januari;1.369;1.031;0.565
25;2006 donderdag 26 januari;1.356;1.025;0.568
26;2006 vrijdag 27 januari;1.351;1.023;0.567
27;2006 zaterdag 28 januari;1.351;1.025;0.565
28;2006 zondag 29 januari;1.351;1.025;0.568
29;2006 maandag 30 januari;1.351;1.025;0.566
30;2006 dinsdag 31 januari;1.361;1.032;0.569
31;2006 woensdag 1 februari;1.36;1.032;0.567
32;2006 donderdag 2 februari;1.36;1.031;0.566
33;2006 vrijdag 3 februari;1.353;1.028;0.567
34;2006 zaterdag 4 februari;1.344;1.024;0.564
35;2006 zondag 5 februari;1.344;1.024;0.565
36;2006 maandag 6 februari;1.342;1.024;0.564
37;2006 dinsdag 7 februari;1.341;1.026;0.565
38;2006 woensdag 8 februari;1.341;1.026;0.559
39;2006 donderdag 9 februari;1.336;1.02;0.558
40;2006 vrijdag 10 februari;1.331;1.018;0.56
41;2006 zaterdag 11 februari;1.323;1.013;0.56
42;2006 zondag 12 februari;1.323;1.013;0.56
43;2006 maandag 13 februari;1.322;1.014;0.559
44;2006 dinsdag 14 februari;1.321;1.014;0.556
45;2006 woensdag 15 februari;1.314;1.011;0.547
46;2006 donderdag 16 februari;1.31;1.007;0.551
47;2006 vrijdag 17 februari;1.311;1.007;0.549
48;2006 zaterdag 18 februari;1.315;1.009;0.55
49;2006 zondag 19 februari;1.316;1.008;0.547
50;2006 maandag 20 februari;1.316;1.01;0.545
