ID;WoonregioS;WerkregioS;Perioden;BanenVanWerknemers_1;AfstandTussenWoonEnWerkgemeente_2
0;Nederland;Nederland;2006 december;7581.5;13.8
1;Nederland;Nederland;2007 december;7794.4;13.9
2;Nederland;Nederland;2008 december;7797.0;13.9
3;Nederland;Nederland;2009 december;7624.5;13.9
4;Nederland;Nederland;2010 december;7723.3;13.8
5;Nederland;Nederland;2011 december;7896.8;13.7
6;Nederland;Nederland;2012 december;7642.5;14.2
7;Nederland;Nederland;2013 december;7499.8;14.3
8;Nederland;Nederland;2014 december;7551.7;14.6
9;Nederland;Nederland inclusief niet in te delen;2006 december;7630.6;
10;Nederland;Nederland inclusief niet in te delen;2007 december;7809.2;
11;Nederland;Nederland inclusief niet in te delen;2008 december;7838.8;
12;Nederland;Nederland inclusief niet in te delen;2009 december;7681.8;
13;Nederland;Nederland inclusief niet in te delen;2010 december;7761.4;
14;Nederland;Nederland inclusief niet in te delen;2011 december;7897.9;
15;Nederland;Nederland inclusief niet in te delen;2012 december;7649.8;
16;Nederland;Nederland inclusief niet in te delen;2013 december;7535.1;
17;Nederland;Nederland inclusief niet in te delen;2014 december;7563.2;
18;Nederland;Niet in te delen;2006 december;49.1;
19;Nederland;Niet in te delen;2007 december;14.8;
20;Nederland;Niet in te delen;2008 december;41.8;
21;Nederland;Niet in te delen;2009 december;57.4;
22;Nederland;Niet in te delen;2010 december;38.2;
23;Nederland;Niet in te delen;2011 december;1.0;
24;Nederland;Niet in te delen;2012 december;7.3;
25;Nederland;Niet in te delen;2013 december;35.4;
26;Nederland;Niet in te delen;2014 december;11.5;
27;Nederland;Groningen (PV);2006 december;247.1;14.2
28;Nederland;Groningen (PV);2007 december;252.5;14.5
29;Nederland;Groningen (PV);2008 december;252.2;14.9
30;Nederland;Groningen (PV);2009 december;247.2;15.3
31;Nederland;Groningen (PV);2010 december;247.1;13.7
32;Nederland;Groningen (PV);2011 december;254.9;12.7
33;Nederland;Groningen (PV);2012 december;243.3;13.2
34;Nederland;Groningen (PV);2013 december;239.4;13.1
35;Nederland;Groningen (PV);2014 december;242.4;13.9
36;Nederland;Friesland (PV);2006 december;252.1;13.2
37;Nederland;Friesland (PV);2007 december;261.2;14.5
38;Nederland;Friesland (PV);2008 december;256.2;13.4
39;Nederland;Friesland (PV);2009 december;250.7;13.8
40;Nederland;Friesland (PV);2010 december;258.9;13.9
41;Nederland;Friesland (PV);2011 december;264.9;13.6
42;Nederland;Friesland (PV);2012 december;256.4;13.7
