ID;Age;Sex;Periods;TotalUnemploymentBenefits_1;Duration0Till6Months_2;Duration6Till12Months_3;DurationMoreThan12Months_4
139;3;Women;2005;41610;14400;9630;17580
140;3;Women;2006;31910;11540;7960;11860
141;3;Women;2007;23610;10450;5730;7440
142;3;Women;2008;20500;10070;4550;5880
143;3;Women;2009;32090;17510;9420;5160
144;4;Total men and women;1998;60680;220;960;59510
145;4;Total men and women;1999;48200;13250;6610;28340
146;4;Total men and women;2000;39340;4240;2960;32140
147;4;Total men and women;2001;32970;11060;6150;15760
148;4;Total men and women;2002;41370;16560;9310;15510
149;4;Total men and women;2003;60170;23120;14190;22860
150;4;Total men and women;2004;74860;24410;16170;34280
151;4;Total men and women;2005;79630;21540;15160;42930
152;4;Total men and women;2006;70950;19690;13160;37050
153;4;Total men and women;2007;51760;17680;10500;23590
154;4;Total men and women;2008;45590;18690;9040;17850
155;4;Total men and women;2009;72870;34760;20210;17900
156;4;Men;1998;30960;130;560;30270
157;4;Men;1999;23760;7750;3360;12640
158;4;Men;2000;19900;2280;1490;16130
159;4;Men;2001;17150;6520;3280;7340
160;4;Men;2002;23910;10150;5670;8100
161;4;Men;2003;35600;13770;8740;13090
162;4;Men;2004;43170;14070;9090;20010
163;4;Men;2005;43780;11790;8110;23880
164;4;Men;2006;36920;10350;6620;19360
165;4;Men;2007;25390;9110;5040;11240
166;4;Men;2008;22900;10370;4420;8110
167;4;Men;2009;41920;21000;11940;8980
168;4;Women;1998;29720;90;400;29230
169;4;Women;1999;24440;5490;3250;15700
170;4;Women;2000;19440;1960;1470;16010
171;4;Women;2001;15820;4540;2870;8410
172;4;Women;2002;17470;6410;3650;7410
173;4;Women;2003;24570;9350;5450;9770
174;4;Women;2004;31690;10330;7080;14270
175;4;Women;2005;35850;9750;7040;19050
176;4;Women;2006;34020;9340;6540;17690
177;4;Women;2007;26280;8490;5440;12340
178;4;Women;2008;22690;8330;4620;9750
179;4;Women;2009;30940;13760;8270;8910
180;5;Total men and women;1998;85160;200;610;84350
181;5;Total men and women;1999;74640;7190;4780;62670
182;5;Total men and women;2000;69780;5240;3880;60650
183;5;Total men and women;2001;62050;6720;6230;49100
184;5;Total men and women;2002;61310;9050;7850;44420
185;5;Total men and women;2003;69660;12600;10400;46660
186;5;Total men and women;2004;75740;11550;10320;53870
187;5;Total men and women;2005;79710;10360;9800;59550
188;5;Total men and women;2006;80820;10090;8570;61670
189;5;Total men and women;2007;73380;9210;6970;57200
190;5;Total men and women;2008;58780;9660;6310;42820
191;5;Total men and women;2009;62090;18600;12620;30870
192;5;Men;1998;62790;140;450;62200
193;5;Men;1999;54110;5170;3340;45590
194;5;Men;2000;50230;3720;2680;43830
195;5;Men;2001;43890;4760;4310;34830
196;5;Men;2002;43120;6440;5580;31090
197;5;Men;2003;48800;8860;7450;32490
198;5;Men;2004;52560;7950;7260;37360
199;5;Men;2005;53620;6780;6440;40410
200;5;Men;2006;52640;6550;5240;40540
201;5;Men;2007;45960;5600;4120;36230
202;5;Men;2008;36350;6020;3770;26560
203;5;Men;2009;39440;12450;8220;18760
204;5;Women;1998;22370;60;160;22150
205;5;Women;1999;20530;2020;1440;17070
206;5;Women;2000;19540;1520;1200;16820
207;5;Women;2001;18160;1960;1920;14270
208;5;Women;2002;18200;2610;2260;13320
209;5;Women;2003;20860;3740;2950;14170
210;5;Women;2004;23170;3600;3060;16510
211;5;Women;2005;26080;3580;3370;19140
212;5;Women;2006;28180;3540;3340;21130
