ID;Leeftijd;Perioden;TotaalLevendgeboren_1;k_1eKind_2;k_2eKind_3;k_3eKind_4;k_4eOfVolgendeKind_5;AlleRangnummers_6;k_1eKind_7;k_2eKind_8;k_3eKind_9;k_4eOfVolgendeKind_10
0;Totaal alle leeftijden;2012;175810;80651;64342;22250;8562;1.72197;0.79199;0.63128;0.21703;0.08167
1;Totaal alle leeftijden;2013;175933;80857;64231;22211;8627;1.72439;0.79199;0.63128;0.21788;0.08324
2;Totaal alle leeftijden;2014;176560;81576;64277;21951;8750;1.72833;0.79599;0.63128;0.21591;0.08515
3;Totaal alle leeftijden;2015;178086;82414;65105;21720;8847;1.73763;0.8;0.63752;0.21357;0.08654
4;Totaal alle leeftijden;2016;179420;82941;66062;21472;8946;1.74203;0.8;0.64376;0.21058;0.08769
5;Totaal alle leeftijden;2017;181243;83542;67143;21428;9131;1.74853;0.8;0.65;0.20918;0.08935
6;Totaal alle leeftijden;2018;182504;84132;67646;21402;9326;1.74857;0.8;0.65;0.20766;0.09091
7;Totaal alle leeftijden;2019;183795;84672;68162;21441;9522;1.74888;0.8;0.65;0.20653;0.09235
8;Totaal alle leeftijden;2020;184929;85135;68662;21460;9671;1.74844;0.8;0.65;0.20518;0.09326
9;Totaal alle leeftijden;2021;186115;85654;69120;21518;9823;1.74968;0.80141;0.65;0.20415;0.09412
10;Totaal alle leeftijden;2022;186894;85765;69528;21609;9985;1.74836;0.79972;0.65;0.20357;0.09507
11;Totaal alle leeftijden;2023;187647;85915;69883;21701;10148;1.74811;0.79906;0.65;0.2031;0.09594
12;Totaal alle leeftijden;2024;188490;86087;70351;21774;10279;1.74982;0.7989;0.65177;0.20259;0.09656
13;Totaal alle leeftijden;2025;189010;86242;70528;21841;10401;1.74938;0.79889;0.65118;0.20219;0.09712
14;Totaal alle leeftijden;2026;189341;86377;70557;21892;10508;1.748;0.79893;0.64957;0.20187;0.09763
15;Totaal alle leeftijden;2027;189679;86463;70679;21926;10608;1.74757;0.79868;0.64927;0.20154;0.09808
16;Totaal alle leeftijden;2028;189943;86521;70781;21949;10691;1.74727;0.79865;0.64902;0.20116;0.09844
17;Totaal alle leeftijden;2029;190100;86498;70881;21963;10760;1.74712;0.79869;0.6489;0.20082;0.09872
18;Totaal alle leeftijden;2030;190062;86348;70922;21978;10813;1.74683;0.79871;0.64861;0.20056;0.09895
19;Totaal alle leeftijden;2031;189833;86054;70935;21988;10855;1.7468;0.79871;0.64857;0.20036;0.09916
20;Totaal alle leeftijden;2032;189381;85636;70853;21999;10888;1.74674;0.79868;0.6485;0.20022;0.09934
21;Totaal alle leeftijden;2033;188720;85130;70688;21995;10911;1.74678;0.79869;0.64848;0.20011;0.0995
22;Totaal alle leeftijden;2034;187886;84571;70425;21967;10924;1.74688;0.7987;0.64852;0.20005;0.09962
23;Totaal alle leeftijden;2035;186901;84005;70068;21905;10919;1.74696;0.7987;0.64853;0.20003;0.09971
24;Totaal alle leeftijden;2036;185837;83480;69638;21814;10906;1.74699;0.79869;0.6485;0.20001;0.09977
25;Totaal alle leeftijden;2037;184771;83028;69173;21694;10877;1.74701;0.79869;0.6485;0.20001;0.09982
26;Totaal alle leeftijden;2038;183747;82651;68708;21551;10832;1.74704;0.79869;0.6485;0.2;0.09984
27;Totaal alle leeftijden;2039;182807;82353;68273;21399;10784;1.74706;0.79869;0.64851;0.2;0.09986
28;Totaal alle leeftijden;2040;181978;82123;67887;21246;10726;1.74707;0.79869;0.64851;0.20001;0.09986
29;Totaal alle leeftijden;2041;181305;81967;67572;21103;10658;1.74707;0.79869;0.6485;0.20001;0.09987
