ID;Geslacht;Leeftijd;Marges;RegioS;Perioden;PersonenMetEenWerkloosheidsuitkering_1
104;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2021 september;183410.0
105;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2021 oktober;177790.0
106;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2021 november;171220.0
107;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2021 december;166100.0
108;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 januari;160650.0
109;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 februari;156330.0
110;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 maart;151220.0
111;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 april;147970.0
112;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 mei;143200.0
113;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 juni;141130.0
114;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 juli;137530.0
115;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 augustus;136370.0
116;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 september;133850.0
117;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 oktober;133450.0
118;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 november;132260.0
119;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2022 december;132400.0
120;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 januari;132380.0
121;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 februari;132940.0
122;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 maart;133130.0
123;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 april;134110.0
124;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 mei;133340.0
125;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 juni;133000.0
126;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 juli;137340.0
127;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 augustus;144580.0
128;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 september;145590.0
129;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 oktober;148640.0
130;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 november;144480.0
131;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2023 december;138120.0
132;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 januari;142310.0
133;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 februari;145490.0
134;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 maart;145950.0
135;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 april;147870.0
136;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 mei;146160.0
137;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 juni;147580.0
138;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 juli;152810.0
139;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 augustus;158560.0
140;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 september;161980.0
141;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 oktober;165450.0
142;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024  november;166540.0
143;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2024 december;165990.0
144;Totaal mannen en vrouwen;Totaal;Waarde;Nederland;2025 januari;166220.0
145;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 januari;12600.0
146;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 februari;12890.0
147;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 maart;12800.0
148;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 april;12370.0
149;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 mei;12670.0
150;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 juni;12590.0
151;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 juli;13040.0
152;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 augustus;12620.0
153;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 september;12700.0
154;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 oktober;13060.0
155;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 november;13270.0
156;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2013 december;14240.0
157;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 januari;14120.0
158;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 februari;14370.0
159;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 maart;13620.0
160;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 april;13520.0
161;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 mei;13720.0
162;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 juni;13750.0
163;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 juli;13740.0
164;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 augustus;13770.0
165;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 september;13690.0
166;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 oktober;13770.0
167;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 november;13670.0
168;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2014 december;13800.0
169;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 januari;13650.0
170;Totaal mannen en vrouwen;Totaal;Waarde;Groningen (PV);2015 februari;13730.0
