ID;EnterpriseSize;SectorBranchesSIC2008;Periods;TurnoverIndices_1;TurnoverYearOnYearChange_2
0;Total 1 or more employed persons;F Construction;2005 January;;
1;Total 1 or more employed persons;F Construction;2005 February;;
2;Total 1 or more employed persons;F Construction;2005 March;;
3;Total 1 or more employed persons;F Construction;2005 1st quarter;;
4;Total 1 or more employed persons;F Construction;2005 April;;
5;Total 1 or more employed persons;F Construction;2005 May;;
6;Total 1 or more employed persons;F Construction;2005 June;;
7;Total 1 or more employed persons;F Construction;2005 2nd quarter;;
8;Total 1 or more employed persons;F Construction;2005 July;;
9;Total 1 or more employed persons;F Construction;2005 August;;
10;Total 1 or more employed persons;F Construction;2005 September;;
11;Total 1 or more employed persons;F Construction;2005 3rd quarter;;
12;Total 1 or more employed persons;F Construction;2005 October;;
13;Total 1 or more employed persons;F Construction;2005 November;;
14;Total 1 or more employed persons;F Construction;2005 December;;
15;Total 1 or more employed persons;F Construction;2005 4th quarter;;
16;Total 1 or more employed persons;F Construction;2005;;
17;Total 1 or more employed persons;F Construction;2006 January;;
18;Total 1 or more employed persons;F Construction;2006 February;;
19;Total 1 or more employed persons;F Construction;2006 March;;
20;Total 1 or more employed persons;F Construction;2006 1st quarter;;
21;Total 1 or more employed persons;F Construction;2006 April;;
22;Total 1 or more employed persons;F Construction;2006 May;;
23;Total 1 or more employed persons;F Construction;2006 June;;
24;Total 1 or more employed persons;F Construction;2006 2nd quarter;;
25;Total 1 or more employed persons;F Construction;2006 July;;
26;Total 1 or more employed persons;F Construction;2006 August;;
27;Total 1 or more employed persons;F Construction;2006 September;;
28;Total 1 or more employed persons;F Construction;2006 3rd quarter;;
29;Total 1 or more employed persons;F Construction;2006 October;;
30;Total 1 or more employed persons;F Construction;2006 November;;
31;Total 1 or more employed persons;F Construction;2006 December;;
32;Total 1 or more employed persons;F Construction;2006 4th quarter;;
33;Total 1 or more employed persons;F Construction;2006;;
34;Total 1 or more employed persons;F Construction;2007 January;;
35;Total 1 or more employed persons;F Construction;2007 February;;
36;Total 1 or more employed persons;F Construction;2007 March;;
37;Total 1 or more employed persons;F Construction;2007 1st quarter;;
38;Total 1 or more employed persons;F Construction;2007 April;;
39;Total 1 or more employed persons;F Construction;2007 May;;
40;Total 1 or more employed persons;F Construction;2007 June;;
41;Total 1 or more employed persons;F Construction;2007 2nd quarter;;
