ID;Geslacht;Leeftijd;Perioden;Overledenen_1;Immigratie_2;EmigratieInclusiefCorrecties_3;MigratiesaldoInclusiefCorrecties_4
0;Mannen en Vrouwen;Totaal leeftijd;2012;139404;154705;143788;10917
1;Mannen en Vrouwen;Totaal leeftijd;2013;141167;152909;141165;11744
2;Mannen en Vrouwen;Totaal leeftijd;2014;142899;151977;139094;12883
3;Mannen en Vrouwen;Totaal leeftijd;2015;144614;153485;137430;16055
4;Mannen en Vrouwen;Totaal leeftijd;2016;146317;155373;135634;19739
5;Mannen en Vrouwen;Totaal leeftijd;2017;148020;157374;133446;23928
6;Mannen en Vrouwen;Totaal leeftijd;2018;149731;157331;133973;23358
7;Mannen en Vrouwen;Totaal leeftijd;2019;151464;156685;134333;22352
8;Mannen en Vrouwen;Totaal leeftijd;2020;153230;155562;134431;21131
9;Mannen en Vrouwen;Totaal leeftijd;2021;155058;154447;134274;20173
10;Mannen en Vrouwen;Totaal leeftijd;2022;156967;153323;133986;19337
11;Mannen en Vrouwen;Totaal leeftijd;2023;158964;153235;133925;19310
12;Mannen en Vrouwen;Totaal leeftijd;2024;161052;153231;133968;19263
13;Mannen en Vrouwen;Totaal leeftijd;2025;163224;153286;134091;19195
14;Mannen en Vrouwen;Totaal leeftijd;2026;165460;153385;134250;19135
15;Mannen en Vrouwen;Totaal leeftijd;2027;167740;153466;134399;19067
16;Mannen en Vrouwen;Totaal leeftijd;2028;170036;153538;134562;18976
17;Mannen en Vrouwen;Totaal leeftijd;2029;172335;153655;134679;18976
18;Mannen en Vrouwen;Totaal leeftijd;2030;174616;153712;134801;18911
19;Mannen en Vrouwen;Totaal leeftijd;2031;176861;153773;134886;18887
20;Mannen en Vrouwen;Totaal leeftijd;2032;179043;153805;134964;18841
21;Mannen en Vrouwen;Totaal leeftijd;2033;181137;153896;135038;18858
22;Mannen en Vrouwen;Totaal leeftijd;2034;183138;153979;135114;18865
23;Mannen en Vrouwen;Totaal leeftijd;2035;185044;154029;135188;18841
24;Mannen en Vrouwen;Totaal leeftijd;2036;186837;154136;135258;18878
25;Mannen en Vrouwen;Totaal leeftijd;2037;188504;154187;135321;18866
26;Mannen en Vrouwen;Totaal leeftijd;2038;190032;154234;135395;18839
27;Mannen en Vrouwen;Totaal leeftijd;2039;191415;154298;135463;18835
28;Mannen en Vrouwen;Totaal leeftijd;2040;192646;154412;135529;18883
29;Mannen en Vrouwen;Totaal leeftijd;2041;193729;154481;135608;18873
30;Mannen en Vrouwen;Totaal leeftijd;2042;194667;154490;135704;18786
31;Mannen en Vrouwen;Totaal leeftijd;2043;195464;154557;135816;18741
32;Mannen en Vrouwen;Totaal leeftijd;2044;196114;154581;135940;18641
33;Mannen en Vrouwen;Totaal leeftijd;2045;196647;154641;136071;18570
34;Mannen en Vrouwen;Totaal leeftijd;2046;197063;154674;136215;18459
35;Mannen en Vrouwen;Totaal leeftijd;2047;197447;154774;136351;18423
36;Mannen en Vrouwen;Totaal leeftijd;2048;197845;154837;136496;18341
37;Mannen en Vrouwen;Totaal leeftijd;2049;198255;154901;136648;18253
38;Mannen en Vrouwen;Totaal leeftijd;2050;198653;154943;136799;18144
39;Mannen en Vrouwen;Totaal leeftijd;2051;199008;155005;136953;18052
40;Mannen en Vrouwen;Totaal leeftijd;2052;199282;155017;137106;17911
41;Mannen en Vrouwen;Totaal leeftijd;2053;199445;155064;137255;17809
42;Mannen en Vrouwen;Totaal leeftijd;2054;199463;155108;137389;17719
43;Mannen en Vrouwen;Totaal leeftijd;2055;199308;155139;137521;17618
44;Mannen en Vrouwen;Totaal leeftijd;2056;198955;155190;137640;17550
45;Mannen en Vrouwen;Totaal leeftijd;2057;198390;155198;137745;17453
46;Mannen en Vrouwen;Totaal leeftijd;2058;197607;155202;137844;17358
47;Mannen en Vrouwen;Totaal leeftijd;2059;196600;155222;137922;17300
48;Mannen en Vrouwen;0 jaar;2012;572;1344;451;893
49;Mannen en Vrouwen;0 jaar;2013;548;1321;434;887
50;Mannen en Vrouwen;0 jaar;2014;526;1307;424;883
51;Mannen en Vrouwen;0 jaar;2015;507;1313;415;898
52;Mannen en Vrouwen;0 jaar;2016;489;1325;408;917
53;Mannen en Vrouwen;0 jaar;2017;472;1335;401;934
54;Mannen en Vrouwen;0 jaar;2018;456;1332;401;931
55;Mannen en Vrouwen;0 jaar;2019;438;1321;401;920
56;Mannen en Vrouwen;0 jaar;2020;422;1304;400;904
57;Mannen en Vrouwen;0 jaar;2021;405;1293;400;893
58;Mannen en Vrouwen;0 jaar;2022;389;1279;399;880
59;Mannen en Vrouwen;0 jaar;2023;374;1272;399;873
60;Mannen en Vrouwen;0 jaar;2024;359;1270;399;871
61;Mannen en Vrouwen;0 jaar;2025;344;1267;399;868
62;Mannen en Vrouwen;0 jaar;2026;330;1268;400;868
63;Mannen en Vrouwen;0 jaar;2027;316;1264;398;866
64;Mannen en Vrouwen;0 jaar;2028;302;1262;398;864
65;Mannen en Vrouwen;0 jaar;2029;288;1260;398;862
66;Mannen en Vrouwen;0 jaar;2030;276;1254;398;856
67;Mannen en Vrouwen;0 jaar;2031;264;1253;397;856
68;Mannen en Vrouwen;0 jaar;2032;250;1251;397;854
69;Mannen en Vrouwen;0 jaar;2033;239;1250;395;855
70;Mannen en Vrouwen;0 jaar;2034;227;1248;395;853
71;Mannen en Vrouwen;0 jaar;2035;216;1246;393;853
72;Mannen en Vrouwen;0 jaar;2036;205;1246;392;854
73;Mannen en Vrouwen;0 jaar;2037;195;1242;391;851
74;Mannen en Vrouwen;0 jaar;2038;185;1240;389;851
75;Mannen en Vrouwen;0 jaar;2039;176;1237;387;850
76;Mannen en Vrouwen;0 jaar;2040;167;1235;387;848
77;Mannen en Vrouwen;0 jaar;2041;159;1233;386;847
78;Mannen en Vrouwen;0 jaar;2042;152;1233;385;848
79;Mannen en Vrouwen;0 jaar;2043;145;1231;384;847
80;Mannen en Vrouwen;0 jaar;2044;138;1228;383;845
81;Mannen en Vrouwen;0 jaar;2045;131;1228;383;845
82;Mannen en Vrouwen;0 jaar;2046;126;1228;383;845
83;Mannen en Vrouwen;0 jaar;2047;121;1224;383;841
84;Mannen en Vrouwen;0 jaar;2048;116;1224;383;841
85;Mannen en Vrouwen;0 jaar;2049;111;1224;384;840
86;Mannen en Vrouwen;0 jaar;2050;106;1222;385;837
87;Mannen en Vrouwen;0 jaar;2051;102;1218;384;834
88;Mannen en Vrouwen;0 jaar;2052;97;1217;386;831
89;Mannen en Vrouwen;0 jaar;2053;93;1216;388;828
90;Mannen en Vrouwen;0 jaar;2054;89;1215;387;828
91;Mannen en Vrouwen;0 jaar;2055;85;1215;389;826
92;Mannen en Vrouwen;0 jaar;2056;82;1215;389;826
93;Mannen en Vrouwen;0 jaar;2057;78;1215;389;826
94;Mannen en Vrouwen;0 jaar;2058;75;1213;390;823
95;Mannen en Vrouwen;0 jaar;2059;71;1213;390;823
96;Mannen en Vrouwen;1 jaar;2012;91;1804;1517;287
97;Mannen en Vrouwen;1 jaar;2013;85;1779;1443;336
98;Mannen en Vrouwen;1 jaar;2014;82;1763;1395;368
99;Mannen en Vrouwen;1 jaar;2015;79;1776;1364;412
100;Mannen en Vrouwen;1 jaar;2016;76;1797;1338;459
101;Mannen en Vrouwen;1 jaar;2017;73;1819;1311;508
102;Mannen en Vrouwen;1 jaar;2018;70;1820;1313;507
103;Mannen en Vrouwen;1 jaar;2019;68;1812;1312;500
104;Mannen en Vrouwen;1 jaar;2020;66;1796;1309;487
105;Mannen en Vrouwen;1 jaar;2021;63;1784;1304;480
106;Mannen en Vrouwen;1 jaar;2022;61;1768;1302;466
107;Mannen en Vrouwen;1 jaar;2023;59;1766;1299;467
108;Mannen en Vrouwen;1 jaar;2024;56;1764;1300;464
109;Mannen en Vrouwen;1 jaar;2025;54;1764;1299;465
110;Mannen en Vrouwen;1 jaar;2026;52;1766;1300;466
111;Mannen en Vrouwen;1 jaar;2027;50;1764;1300;464
112;Mannen en Vrouwen;1 jaar;2028;47;1763;1298;465
