ID;SOKlassen;Bedrijfstypen;RegioS;Perioden;AantalBedrijven_1;EconomischeOmvangSO_2;OppervlakteCultuurgrond_3
0;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2000;97390;18937653;1975504
1;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2001;92645;18708887;1946132
2;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2002;89480;18468117;1964075
3;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2003;85410;18049083;1945650
4;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2004;83795;18127711;1949403
5;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2005;81750;18314047;1937695
6;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2006;79435;18364922;1919704
7;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2007;76740;18447754;1914252
8;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2008;75150;18766292;1929219
9;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2009;73010;18985658;1917415
10;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2010;72325;19607467;1872319
11;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2011;70390;19313497;1858393
12;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2012;68810;19059725;1841698
13;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2013;67480;21226005;1847571
14;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2014;65505;21220026;1839017
15;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2015;63915;21434423;1845746
16;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2016;55690;24100314;1815866
17;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2017;54850;24008874;1818588
18;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2018;53910;23841371;1822366
19;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2019;53235;23877947;1816318
20;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2020;52695;25082562;1814451
21;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2021;52105;25032039;1811912
22;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2022;50975;25132036;1804369
23;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2023;50635;27269380;1803004
24;Alle SO-klassen;Totaal alle bedrijfstypen;Nederland;2024;49900;27074142;1798501
25;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2000;16240;2600772;556401
26;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2001;15650;2614580;552363
27;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2002;15150;2611068;556116
28;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2003;14560;2581027;555117
29;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2004;14370;2587632;555362
30;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2005;14105;2566380;554456
31;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2006;13785;2568022;546856
32;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2007;13380;2581886;548471
33;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2008;13345;2647058;556940
34;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2009;12995;2643318;553598
35;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2010;12880;2763331;541204
36;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2011;12610;2719491;536049
37;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2012;12465;2744717;535495
38;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2013;12295;3240693;539595
39;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2014;11990;3277414;537709
40;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2015;11680;3370417;538423
41;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2016;9925;3921178;531439
42;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2017;9815;3908143;533163
43;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2018;9665;3864565;535935
44;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2019;9560;3851274;534600
45;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2020;9490;3966468;534137
46;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2021;9380;3935140;534140
47;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2022;9200;3909180;532066
48;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2023;9135;4318235;530837
49;Alle SO-klassen;Totaal alle bedrijfstypen;Noord-Nederland (LD);2024;9045;4228102;531105
50;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2000;30575;4709966;563192
51;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2001;29175;4569679;548989
52;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2002;28180;4476018;557264
53;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2003;26930;4302133;552948
54;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2004;26600;4403913;556392
55;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2005;25990;4445157;548723
56;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2006;25320;4439399;544285
57;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2007;24520;4485830;543413
58;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2008;23975;4586436;543213
59;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2009;23335;4618005;539764
60;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2010;23160;4877657;530108
61;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2011;22480;4805086;525060
62;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2012;22030;4678935;518958
63;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2013;21605;5302707;519764
64;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2014;21045;5333133;517705
65;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2015;20705;5412612;522954
66;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2016;18045;6151641;513027
67;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2017;17785;6102762;513263
68;Alle SO-klassen;Totaal alle bedrijfstypen;Oost-Nederland (LD);2018;17590;6089028;513209
