ID;Gewassen;BiologischeBestrijders;Perioden;AantalBedrijvenMetBestrijders_1;PercentageVanBedrijvenMetBestrijders_2;GrootteOppervlakteMetBestrijders_3;PercentageOppervlakteMetBestrijders_4;Januari_5;Februari_6;Maart_7;April_8;Mei_9;Juni_10;Juli_11;Augustus_12;September_13;Oktober_14;November_15;December_16;Aantal_17;Januari_18;Februari_19;Maart_20;April_21;Mei_22;Juni_23;Juli_24;Augustus_25;September_26;Oktober_27;November_28;December_29;AantalBestrijdersPerHa_30;DoseringPerJaarPerHa_31
0;Totaal gewassen onder glas;Totaal bestrijders;2012;;;5067;69.3;38.4;51.2;54.2;51.5;48.7;40.4;32.8;24.2;19.9;15.0;15.5;16.9;17117096;9.9;9.7;10.9;7.9;7.3;8.1;12.9;9.6;8.8;5.4;5.3;4.1;2342;3378.0
1;Totaal gewassen onder glas;Totaal bestrijders;2016;;;5739;84.7;56.7;65.9;70.3;66.7;61.2;55.0;40.8;39.9;35.1;26.9;27.7;30.7;12064800;7.3;7.8;10.5;9.7;8.5;13.6;7.3;9.0;8.0;6.6;5.4;6.3;1781;2102.0
2;Totaal gewassen onder glas;Aaltjes totaal;2012;;;536;7.3;2.9;3.4;4.0;3.4;4.3;2.4;3.2;3.2;2.9;3.3;3.0;3.2;0;;;;;;;;;;;;;0;0.0
3;Totaal gewassen onder glas;Aaltjes totaal;2016;;;863;12.7;5.7;6.2;6.9;7.1;7.1;8.0;6.8;5.6;6.8;5.8;6.8;6.8;0;;;;;;;;;;;;;0;0.0
4;Totaal gewassen onder glas;Gaasvliegen totaal;2012;;;122;1.7;0.0;0.4;0.3;0.1;0.5;0.0;0.4;0.3;0.3;0.3;0.3;0.3;3379;0.0;0.2;0.4;6.3;0.4;0.0;23.1;25.1;8.3;36.1;0.1;0.1;0;28.0
5;Totaal gewassen onder glas;Gaasvliegen totaal;2016;;;119;1.8;0.4;0.4;0.7;0.9;1.0;0.9;0.4;0.2;0.1;0.3;0.1;0.1;7747;1.3;7.4;10.3;8.7;35.0;13.4;8.9;14.1;0.0;0.9;0.0;0.0;1;65.0
6;Totaal gewassen onder glas;Galmuggen totaal;2012;;;925;12.7;1.5;3.2;5.1;4.9;5.8;5.2;3.7;1.2;0.9;1.1;0.3;0.3;9678;1.0;8.9;11.6;21.0;14.9;8.9;22.7;2.4;2.1;1.9;0.4;4.1;1;10.0
7;Totaal gewassen onder glas;Galmuggen totaal;2016;;;1721;25.4;4.6;8.2;12.8;13.1;12.5;10.1;7.6;6.5;6.0;4.3;2.2;2.6;77011;7.5;9.3;7.6;8.0;10.8;9.2;15.6;14.8;11.9;3.3;1.3;0.9;11;45.0
8;Totaal gewassen onder glas;Mix van biologische bestrijders totaal;2012;;;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;;;;;;;;;;;;0;
9;Totaal gewassen onder glas;Mix van biologische bestrijders totaal;2016;;;17;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.0;0.0;96;0.0;0.0;0.0;0.0;0.0;0.0;50.0;50.0;0.0;0.0;0.0;0.0;0;6.0
