ID;Migratieachtergrond;Generatie;Perioden;Bevolkingsomvang_1;Levendgeborenen_2;Overledenen_3;Immigratie_4;EmigratieInclusiefCorrecties_5;MigratiesaldoInclusiefCorrecties_6
0;Totaal;Totaal;2014;;43331.0;17248.0;157121.0;116096.0;41025.0
1;Totaal;Totaal;2015;3661851.0;43593.0;17676.0;161906.0;119184.0;42722.0
2;Totaal;Totaal;2016;3730491.0;44041.0;18204.0;166660.0;122646.0;44013.0
3;Totaal;Totaal;2017;3800340.0;44491.0;18748.0;170943.0;126184.0;44759.0
4;Totaal;Totaal;2018;3870842.0;44908.0;19303.0;169515.0;129276.0;40239.0
5;Totaal;Totaal;2019;3936685.0;45245.0;19867.0;167751.0;131355.0;36396.0
6;Totaal;Totaal;2020;3998461.0;45442.0;20435.0;164442.0;132230.0;32212.0
7;Totaal;Totaal;2021;4055680.0;45583.0;20980.0;164309.0;132635.0;31673.0
8;Totaal;Totaal;2022;4111958.0;45708.0;21534.0;164014.0;133154.0;30860.0
9;Totaal;Totaal;2023;4166992.0;45831.0;22099.0;163959.0;133678.0;30281.0
10;Totaal;Totaal;2024;4221005.0;45964.0;22672.0;163665.0;134165.0;29500.0
11;Totaal;Totaal;2025;4273796.0;46116.0;23251.0;163742.0;134712.0;29030.0
12;Totaal;Totaal;2026;4325692.0;46290.0;23831.0;163696.0;135215.0;28481.0
13;Totaal;Totaal;2027;4376633.0;46449.0;24408.0;163741.0;135628.0;28113.0
14;Totaal;Totaal;2028;4426786.0;46604.0;24978.0;163777.0;135980.0;27797.0
15;Totaal;Totaal;2029;4476210.0;46750.0;25538.0;163810.0;136244.0;27566.0
16;Totaal;Totaal;2030;4524989.0;46878.0;26087.0;163885.0;136773.0;27112.0
17;Totaal;Totaal;2031;4572892.0;47005.0;26620.0;163974.0;137238.0;26736.0
18;Totaal;Totaal;2032;4620013.0;47112.0;27137.0;164042.0;137662.0;26380.0
19;Totaal;Totaal;2033;4666367.0;47204.0;27637.0;164116.0;138054.0;26062.0
20;Totaal;Totaal;2034;4711996.0;47279.0;28124.0;164211.0;138420.0;25791.0
21;Totaal;Totaal;2035;4756942.0;47324.0;28602.0;164289.0;138763.0;25526.0
22;Totaal;Totaal;2036;4801191.0;47364.0;29076.0;164409.0;139072.0;25337.0
23;Totaal;Totaal;2037;4844814.0;47394.0;29550.0;164538.0;139353.0;25185.0
24;Totaal;Totaal;2038;4887846.0;47416.0;30025.0;164625.0;139608.0;25017.0
25;Totaal;Totaal;2039;4930253.0;47436.0;30503.0;164747.0;139830.0;24917.0
26;Totaal;Totaal;2040;4972105.0;47454.0;30985.0;164881.0;140039.0;24842.0
27;Totaal;Totaal;2041;5013417.0;47474.0;31471.0;164970.0;140243.0;24727.0
28;Totaal;Totaal;2042;5054146.0;47506.0;31960.0;165068.0;140443.0;24625.0
