ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijkenEnBuurten_4;TotaleOppervlakte_5;TotaalVerkeersterrein_6;Spoorterrein_7;Wegverkeersterrein_8;Vliegveld_9;TotaalBebouwdTerrein_10;Woonterrein_11;TerreinVoorDetailhandelEnHoreca_12;TerreinVoorOpenbareVoorzieningen_13;TerreinVoorSociaalCultureleVoorz_14;Bedrijventerrein_15;TotaalSemiBebouwdTerrein_16;Stortplaats_17;Wrakkenopslagplaats_18;Begraafplaats_19;Delfstofwinplaats_20;Bouwterrein_21;SemiVerhardOverigTerrein_22;TotaalRecreatieterrein_23;ParkEnPlantsoen_24;Sportterrein_25;Volkstuin_26;DagrecreatiefTerrein_27;VerblijfsrecreatiefTerrein_28;TotaalAgrarischTerrein_29;TerreinVoorGlastuinbouw_30;OverigAgrarischTerrein_31;TotaalBosEnOpenNatuurlijkTerrein_32;Bos_33;OpenDroogNatuurlijkTerrein_34;OpenNatNatuurlijkTerrein_35;TotaalBinnenwater_36;IJsselmeerMarkermeer_37;AfgeslotenZeearm_38;RijnEnMaas_39;Randmeer_40;Spaarbekken_41;RecreatiefBinnenwater_42;BinnenwaterVoorDelfstofwinning_43;VloeiEnOfSlibveld_44;OverigBinnenwater_45;TotaalBuitenwater_46;WaddenzeeEemsDollard_47;Oosterschelde_48;Westerschelde_49;Noordzee_50
45;Wijk 15 Gasselternijveen;Aa en Hunze                             ;Wijk      ;WK168015  ;1;597;11;0;11;0;89;74;0;0;0;16;7;0;0;2;0;6;0;10;1;9;1;0;0;382;0;382;86;86;0;0;11;;;;;0;1;0;5;5;;;;;
46;Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801500;1;199;9;0;9;0;86;73;0;0;0;13;7;0;0;2;0;6;0;10;1;9;1;0;0;56;0;56;27;27;0;0;2;;;;;0;1;0;0;1;;;;;
47;Gasselterboerveen;Aa en Hunze                             ;Buurt     ;BU16801501;1;37;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;35;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
48;Verspreide huizen Gasselternijveen;Aa en Hunze                             ;Buurt     ;BU16801509;1;362;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;291;0;291;59;59;0;0;9;;;;;0;0;0;5;4;;;;;
49;Wijk 16 Gasselternijveenschemond;Aa en Hunze                             ;Wijk      ;WK168016  ;1;1167;22;0;22;0;39;28;0;0;0;11;13;0;0;0;3;10;0;1;0;0;0;0;1;851;0;851;235;235;0;0;5;;;;;0;0;0;0;5;;;;;
50;Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801600;1;229;11;0;11;0;33;28;0;0;0;5;3;0;0;0;0;3;0;0;0;0;0;0;0;139;0;139;42;42;0;0;1;;;;;0;0;0;0;1;;;;;
51;Gasselterboerveenschemond;Aa en Hunze                             ;Buurt     ;BU16801601;1;56;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;51;0;51;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
52;Verspr.h. Gasselternijveenschemond;Aa en Hunze                             ;Buurt     ;BU16801609;1;882;8;0;8;0;6;0;0;0;0;6;10;0;0;0;3;7;0;0;0;0;0;0;0;662;0;662;193;193;0;0;4;;;;;0;0;0;0;4;;;;;
53;Wijk 17 Gieten;Aa en Hunze                             ;Wijk      ;WK168017  ;1;2474;75;0;75;0;199;142;6;8;2;41;15;0;0;1;1;12;0;41;18;11;2;2;9;1713;0;1713;416;382;28;6;16;;;;;0;0;0;0;16;;;;;
54;Gieten;Aa en Hunze                             ;Buurt     ;BU16801700;1;407;20;0;20;0;191;142;6;1;2;40;13;0;0;1;0;11;0;30;17;11;2;0;0;150;0;150;3;3;0;0;0;;;;;0;0;0;0;0;;;;;
55;Verspreide huizen Gieten;Aa en Hunze                             ;Buurt     ;BU16801709;1;2068;55;0;55;0;8;0;0;7;0;1;2;0;0;0;1;1;0;11;0;0;0;2;9;1563;0;1563;413;378;28;6;16;;;;;0;0;0;0;16;;;;;
56;Wijk 18 Gieterveen;Aa en Hunze                             ;Wijk      ;WK168018  ;1;1707;43;0;42;0;43;32;0;0;7;4;1;0;0;1;0;0;0;4;0;4;0;0;0;1590;0;1590;9;5;0;4;16;;;;;0;0;0;0;16;;;;;
57;Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801800;1;67;3;0;3;0;26;23;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;35;0;35;2;2;0;0;0;;;;;0;0;0;0;0;;;;;
58;Bonnerveen;Aa en Hunze                             ;Buurt     ;BU16801801;1;61;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;58;0;0;0;0;0;;;;;0;0;0;0;0;;;;;
59;Nieuwediep;Aa en Hunze                             ;Buurt     ;BU16801802;1;106;9;0;9;0;14;10;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;82;0;0;0;0;1;;;;;0;0;0;0;1;;;;;
60;Verspreide huizen Gieterveen;Aa en Hunze                             ;Buurt     ;BU16801809;1;1473;28;0;28;0;4;0;0;0;4;0;0;0;0;0;0;0;0;4;0;4;0;0;0;1415;0;1415;7;3;0;4;15;;;;;0;0;0;0;15;;;;;
61;Wijk 19 Rolde;Aa en Hunze                             ;Wijk      ;WK168019  ;1;3521;83;0;83;0;187;132;2;0;45;8;3;0;0;3;0;0;0;97;2;21;3;1;68;2338;0;2338;795;322;394;79;19;;;;;0;0;0;0;19;;;;;
62;Rolde;Aa en Hunze                             ;Buurt     ;BU16801900;1;333;15;0;15;0;142;131;2;0;7;2;3;0;0;3;0;0;0;17;2;5;2;0;8;119;0;119;38;38;0;0;0;;;;;0;0;0;0;0;;;;;
