ID;RegioS;SoortRijbanen;Perioden;Weglengte_1
0;Nederland;Totale weglengte;2001;130446.0
1;Nederland;Totale weglengte;2002;131531.0
2;Nederland;Totale weglengte;2003;132397.0
3;Nederland;Totale weglengte;2004;133383.0
4;Nederland;Totale weglengte;2005;134218.0
5;Nederland;Totale weglengte;2006;134948.0
6;Nederland;Totale weglengte;2007;135470.0
7;Nederland;Totale weglengte;2008;136135.0
8;Nederland;Totale weglengte;2009;136827.0
9;Nederland;Totale weglengte;2010;137347.0
10;Nederland;Totale weglengte;2011;137692.0
11;Nederland;Totale weglengte;2012;137804.0
12;Nederland;Totale weglengte;2013;138199.0
13;Nederland;Totale weglengte;2014;138641.0
14;Nederland;Totale weglengte;2015;138912.0
15;Nederland;Totale weglengte;2016;139124.0
16;Nederland;Totale weglengte;2017;139294.0
17;Nederland;Totale weglengte;2018;139587.0
18;Nederland;Totale weglengte;2019;140444.0
19;Nederland;Totale weglengte;2020;141361.0
20;Nederland;Totale weglengte;2021;141242.0
21;Nederland;Totale weglengte;2022;141820.0
22;Nederland;Totale weglengte;2023;142045.0
23;Nederland;Totale weglengte;2024;143085.0
24;Nederland;Gemeentelijke en waterschapswegen totaal;2001;117669.0
25;Nederland;Gemeentelijke en waterschapswegen totaal;2002;118667.0
26;Nederland;Gemeentelijke en waterschapswegen totaal;2003;119437.0
27;Nederland;Gemeentelijke en waterschapswegen totaal;2004;120447.0
28;Nederland;Gemeentelijke en waterschapswegen totaal;2005;121297.0
29;Nederland;Gemeentelijke en waterschapswegen totaal;2006;121999.0
30;Nederland;Gemeentelijke en waterschapswegen totaal;2007;122559.0
31;Nederland;Gemeentelijke en waterschapswegen totaal;2008;123237.0
32;Nederland;Gemeentelijke en waterschapswegen totaal;2009;123914.0
33;Nederland;Gemeentelijke en waterschapswegen totaal;2010;124377.0
34;Nederland;Gemeentelijke en waterschapswegen totaal;2011;124707.0
35;Nederland;Gemeentelijke en waterschapswegen totaal;2012;124882.0
36;Nederland;Gemeentelijke en waterschapswegen totaal;2013;125230.0
37;Nederland;Gemeentelijke en waterschapswegen totaal;2014;125650.0
38;Nederland;Gemeentelijke en waterschapswegen totaal;2015;125895.0
39;Nederland;Gemeentelijke en waterschapswegen totaal;2016;126025.0
40;Nederland;Gemeentelijke en waterschapswegen totaal;2017;126180.0
41;Nederland;Gemeentelijke en waterschapswegen totaal;2018;126458.0
42;Nederland;Gemeentelijke en waterschapswegen totaal;2019;127173.0
43;Nederland;Gemeentelijke en waterschapswegen totaal;2020;128041.0
44;Nederland;Gemeentelijke en waterschapswegen totaal;2021;127804.0
45;Nederland;Gemeentelijke en waterschapswegen totaal;2022;128315.0
46;Nederland;Gemeentelijke en waterschapswegen totaal;2023;128455.0
47;Nederland;Gemeentelijke en waterschapswegen totaal;2024;129427.0
48;Nederland;Gemeentelijke wegen: totaal;2001;117669.0
49;Nederland;Gemeentelijke wegen: totaal;2002;118667.0
50;Nederland;Gemeentelijke wegen: totaal;2003;119437.0
51;Nederland;Gemeentelijke wegen: totaal;2004;120447.0
52;Nederland;Gemeentelijke wegen: totaal;2005;114381.0
53;Nederland;Gemeentelijke wegen: totaal;2006;115086.0
54;Nederland;Gemeentelijke wegen: totaal;2007;115551.0
55;Nederland;Gemeentelijke wegen: totaal;2008;116214.0
56;Nederland;Gemeentelijke wegen: totaal;2009;116894.0
57;Nederland;Gemeentelijke wegen: totaal;2010;117327.0
58;Nederland;Gemeentelijke wegen: totaal;2011;117637.0
59;Nederland;Gemeentelijke wegen: totaal;2012;117801.0
60;Nederland;Gemeentelijke wegen: totaal;2013;118160.0
61;Nederland;Gemeentelijke wegen: totaal;2014;118586.0
62;Nederland;Gemeentelijke wegen: totaal;2015;118851.0
63;Nederland;Gemeentelijke wegen: totaal;2016;118995.0
64;Nederland;Gemeentelijke wegen: totaal;2017;119198.0
65;Nederland;Gemeentelijke wegen: totaal;2018;119506.0
66;Nederland;Gemeentelijke wegen: totaal;2019;120206.0
67;Nederland;Gemeentelijke wegen: totaal;2020;121220.0
68;Nederland;Gemeentelijke wegen: totaal;2021;121075.0
69;Nederland;Gemeentelijke wegen: totaal;2022;121823.0
70;Nederland;Gemeentelijke wegen: totaal;2023;122481.0
71;Nederland;Gemeentelijke wegen: totaal;2024;123517.0
72;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2001;114851.0
73;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2002;115822.0
74;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2003;116570.0
75;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2004;117525.0
76;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2005;111505.0
77;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2006;112159.0
78;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2007;112574.0
79;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2008;113167.0
80;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2009;113801.0
81;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2010;114174.0
82;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2011;114441.0
83;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2012;114566.0
84;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2013;114874.0
85;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2014;115214.0
86;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2015;115425.0
87;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2016;115488.0
88;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2017;115654.0
89;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2018;115891.0
90;Nederland;Gemeentelijke weg: ongescheiden rijbanen;2019;116456.0
