ID;NGEKlassen;Bedrijfstypen;RegioS;Perioden;AantalBedrijven_1;OppervlakteCultuurgrond_2;EconomischeOmvangNGE_3
0;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2000;97390;1976743;7801609
1;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2001;92645;1946132;7675503
2;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2002;89480;1964075;7577889
3;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2003;85410;1945650;7205869
4;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2004;83795;1949403;7226875
5;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2005;81750;1937695;7195011
6;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2006;79435;1919704;7216896
7;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2007;76740;1914332;7215040
8;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2008;75150;1929274;7337197
9;Alle NGE-klassen;Alle bedrijfstypen;Nederland;2009;73010;1917482;7429661
10;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2000;16240;556401;1256023
11;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2001;15650;552363;1238610
12;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2002;15150;556116;1234178
13;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2003;14560;555117;1189501
14;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2004;14370;555362;1190953
15;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2005;14105;554456;1127856
16;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2006;13785;546856;1123605
17;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2007;13380;548530;1129352
18;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2008;13345;556972;1160017
19;Alle NGE-klassen;Alle bedrijfstypen;Noord-Nederland (LD);2009;12995;553645;1156466
20;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2000;30580;564430;1951878
21;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2001;29175;548989;1882785
22;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2002;28180;557264;1841723
23;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2003;26930;552948;1717371
24;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2004;26600;556392;1739264
25;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2005;25990;548723;1689133
26;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2006;25320;544285;1689375
27;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2007;24520;543424;1713794
28;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2008;23975;543225;1748944
29;Alle NGE-klassen;Alle bedrijfstypen;Oost-Nederland (LD);2009;23335;539771;1765069
30;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2000;26350;476905;2590430
31;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2001;24830;474414;2595784
32;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2002;23995;476899;2577973
33;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2003;22890;470140;2521565
34;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2004;22270;471045;2508739
35;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2005;21535;468967;2565736
36;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2006;20715;466067;2558152
37;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2007;19940;463014;2480564
38;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2008;19350;466390;2478190
39;Alle NGE-klassen;Alle bedrijfstypen;West-Nederland (LD);2009;18700;465694;2513574
40;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2000;24225;379007;2003278
41;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2001;22990;370365;1958325
42;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2002;22150;373796;1924015
43;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2003;21025;367445;1777433
44;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2004;20555;366604;1787919
45;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2005;20120;365549;1812286
46;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2006;19615;362497;1845765
47;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2007;18900;359365;1891330
48;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2008;18485;362687;1950046
49;Alle NGE-klassen;Alle bedrijfstypen;Zuid-Nederland (LD);2009;17980;358371;1994552
50;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2000;4195;166101;328248
51;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2001;4035;164191;314541
52;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2002;3915;166002;316801
53;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2003;3750;166222;301251
54;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2004;3715;167198;307071
55;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2005;3635;165494;293639
56;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2006;3545;163131;291727
57;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2007;3455;162175;290038
58;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2008;3460;165372;302186
59;Alle NGE-klassen;Alle bedrijfstypen;Groningen (PV);2009;3380;163896;301406
60;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2000;7110;231036;558067
61;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2001;6905;230877;559190
62;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2002;6705;232919;553400
63;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2003;6480;232640;540076
64;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2004;6415;232869;531675
65;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2005;6290;234864;502385
66;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2006;6110;232852;498978
67;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2007;5960;234184;506369
68;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2008;5915;237377;518039
69;Alle NGE-klassen;Alle bedrijfstypen;Friesland (PV);2009;5785;237278;517304
70;Alle NGE-klassen;Alle bedrijfstypen;Drenthe (PV);2000;4940;159264;369708
71;Alle NGE-klassen;Alle bedrijfstypen;Drenthe (PV);2001;4710;157296;364878
72;Alle NGE-klassen;Alle bedrijfstypen;Drenthe (PV);2002;4530;157194;363977
73;Alle NGE-klassen;Alle bedrijfstypen;Drenthe (PV);2003;4330;156255;348173
