ID;Geslacht;Perioden;TotaalVerkrijgingNederlanderschap_1;NederlanderschapDoorErkenning_2;TotaalNederlanderschapDoorAdoptie_3;JongerDan5Jaar_4;k_5Tot10Jaar_5;k_10JaarOfOuder_6;TotaalNederlanderschapDoorAdoptie_7;MinderDan5Jaar_8;k_5JaarOfLanger_9;NederlanderschapDoorVaststellenVad_10;TotaalNederlanderschapDoorOptie_11;TotaalNederlanderschapDoorOptie_12;JongerDan5Jaar_13;k_5Tot10Jaar_14;k_10Tot15Jaar_15;k_15Tot20Jaar_16;k_20JaarOfOuder_17;TotaalNederlanderschapDoorOptie_18;Ongehuwd_19;GehuwdEnGehuwdGeweest_20;TotaalNederlanderschapDoorOptie_21;InNederlandGeboren_22;InHetBuitenlandGeboren_23;TotaalNederlanderschapDoorVerlening_24;JongerDan20Jaar_25;k_20Tot25Jaar_26;k_25Tot30Jaar_27;k_30Tot35Jaar_28;k_35Tot40Jaar_29;k_40Tot45Jaar_30;k_45Tot50Jaar_31;k_50Tot55Jaar_32;k_55Tot60Jaar_33;k_60Tot65Jaar_34;k_65JaarOfOuder_35;TotaalNederlanderschapDoorVerlening_36;Ongehuwd_37;Gehuwd_38;Verweduwd_39;Gescheiden_40;TotaalNederlanderschapDoorVerlening_41;MinderDan5Jaar_42;k_5Tot10Jaar_43;k_10Tot15Jaar_44;k_15Tot20Jaar_45;k_20Tot25Jaar_46;k_25JaarOfLanger_47;TotaalZelfstandigeNaturalisatie_48;JongerDan20Jaar_49;k_20Tot25Jaar_50;k_25Tot30Jaar_51;k_30Tot35Jaar_52;k_35Tot40Jaar_53;k_40Tot45Jaar_54;k_45Tot50Jaar_55;k_50Tot55Jaar_56;k_55Tot60Jaar_57;k_60Tot65Jaar_58;k_65JaarOfOuder_59;TotaalZelfstandigeNaturalisatie_60;Ongehuwd_61;Gehuwd_62;Verweduwd_63;Gescheiden_64;TotaalZelfstandigeNaturalisatie_65;MinderDan5Jaar_66;k_5Tot10Jaar_67;k_10Tot15Jaar_68;k_15Tot20Jaar_69;k_20Tot25Jaar_70;k_25JaarOfLanger_71;TotaalMedenaturalisatie_72;JongerDan5Jaar_73;k_5Tot10Jaar_74;k_10Tot15Jaar_75;k_15JaarOfOuder_76;TotaalMedenaturalisatie_77;MinderDan5Jaar_78;k_5Tot10Jaar_79;k_10Tot15Jaar_80;k_15JaarOfLanger_81;VerliesVanHetNederlanderschap_82
0;Totaal mannen en vrouwen;1985;34671;;1051;834;175;42;1051;992;59;;17877;17877;4252;3995;3890;4124;1616;17877;17829;48;17877;11610;6267;15743;5936;1107;1694;2380;1789;1083;742;358;254;177;223;15743;8623;6338;145;637;15743;2142;6724;3606;1603;572;1096;10189;382;1107;1694;2380;1789;1083;742;358;254;177;223;10189;3069;6338;145;637;10189;660;4102;2605;1154;572;1096;5554;1311;1957;1351;935;5554;1482;2622;1001;449;37
1;Totaal mannen en vrouwen;1986;18758;;1129;926;146;57;1129;1081;48;;5831;5831;1004;1382;1256;1438;751;5831;5768;63;5831;3945;1886;11798;4055;941;1490;1919;1332;773;539;260;165;147;177;11798;6303;4866;114;515;11798;1698;5597;2427;888;375;813;7933;190;941;1490;1919;1332;773;539;260;165;147;177;7933;2438;4866;114;515;7933;565;3678;1777;725;375;813;3865;956;1427;965;517;3865;1133;1919;650;163;35
2;Totaal mannen en vrouwen;1987;19258;;1134;940;154;40;1134;1095;39;;8297;8297;902;2422;2061;1961;951;8297;8235;62;8297;5846;2451;9827;3278;819;1212;1542;1081;713;445;241;176;136;184;9827;5045;4353;87;342;9827;1717;4622;2014;782;282;410;6738;189;819;1212;1542;1081;713;445;241;176;136;184;6738;1956;4353;87;342;6738;827;3035;1515;669;282;410;3089;692;1161;758;478;3089;890;1587;499;113;32
3;Totaal mannen en vrouwen;1988;9114;;1374;1125;191;58;1374;1308;66;;430;430;1;8;11;171;239;430;391;39;430;375;55;7310;2467;549;881;1094;897;493;319;189;127;105;189;7310;3752;3280;68;210;7310;1262;3223;1537;683;171;434;4960;117;549;881;1094;897;493;319;189;127;105;189;4960;1402;3280;68;210;4960;614;2056;1113;572;171;434;2350;460;867;662;361;2350;648;1167;424;111;38
4;Totaal mannen en vrouwen;1989;28730;;791;624;116;51;791;759;32;;504;504;9;4;10;225;256;504;465;39;504;416;88;27435;9854;2261;3541;4006;3045;1982;1126;634;397;266;323;27435;14238;12114;156;927;27435;6644;9852;6349;2953;881;756;18120;539;2261;3541;4006;3045;1982;1126;634;397;266;323;18120;4923;12114;156;927;18120;3636;6026;4354;2467;881;756;9315;2072;3232;2684;1327;9315;3008;3826;1995;486;50
5;Totaal mannen en vrouwen;1990;12794;;578;422;114;42;578;554;24;;672;672;10;20;4;353;285;672;646;26;672;573;99;11544;4287;915;1460;1717;1210;804;459;274;169;92;157;11544;5995;4892;102;555;11544;2966;3867;2697;1274;403;337;7491;234;915;1460;1717;1210;804;459;274;169;92;157;7491;1942;4892;102;555;7491;1661;2252;1784;1054;403;337;4053;910;1377;1123;643;4053;1305;1615;913;220;49
6;Totaal mannen en vrouwen;1991;29112;;897;656;187;54;897;869;28;;924;924;6;5;8;541;364;924;882;42;924;814;110;27291;10437;2067;3683;4042;2740;1766;991;666;384;238;277;27291;14057;11914;196;1124;27291;7323;8827;6214;3122;1127;678;17287;433;2067;3683;4042;2740;1766;991;666;384;238;277;17287;4053;11914;196;1124;17287;3857;5116;3957;2552;1127;678;10004;2432;3306;2894;1372;10004;3466;3711;2257;570;59
7;Totaal mannen en vrouwen;1992;36237;;787;586;163;38;787;763;24;;1489;1489;17;6;4;892;570;1489;1425;64;1489;1403;86;33961;13190;2524;4357;4920;3336;2276;1316;918;490;285;349;33961;17343;14968;241;1409;33961;8730;11057;7129;4613;1728;704;21343;572;2524;4357;4920;3336;2276;1316;918;490;285;349;21343;4725;14968;241;1409;21343;4596;6400;4248;3667;1728;704;12618;2968;4146;3784;1720;12618;4134;4657;2881;946;67
8;Totaal mannen en vrouwen;1993;43069;;878;629;179;70;878;777;101;;2176;2176;16;6;2;1286;866;2176;2094;82;2176;2117;59;40015;15915;2879;4764;5722;3731;2595;1847;1272;656;317;317;40015;20429;17536;268;1782;40015;9548;12811;7840;6142;2816;858;24730;630;2879;4764;5722;3731;2595;1847;1272;656;317;317;24730;5144;17536;268;1782;24730;4675;7469;4207;4705;2816;858;15285;3803;4715;4529;2238;15285;4873;5342;3633;1437;81
9;Totaal mannen en vrouwen;1994;49448;;644;447;121;76;644;541;103;;2214;2214;11;0;1;1329;873;2214;2083;131;2214;2184;30;46590;18101;3658;5984;6798;4224;2745;2098;1401;857;393;331;46590;23088;21100;323;2079;46590;12101;14981;7630;7438;3310;1130;29446;957;3658;5984;6798;4224;2745;2098;1401;857;393;331;29446;5944;21100;323;2079;29446;6161;9189;3922;5734;3310;1130;17144;4286;5296;4769;2793;17144;5940;5792;3708;1704;68
