ID;SBI;Grootteklasse;TotalePersoneelskosten_1;LonenEnSalarissen_2;SocialeLasten_3;Pensioenlasten_4;KostenUitzendkrachten_5;OverigePersoneelskosten_6;OntvangenLoonsubsidiesED_7
57;6120 Binnenvaartbedrijven, totaal;10 en meer werknemers;159.6;73.5;10.1;5.7;5.7;6.1;1.0
58;6120 Binnenvaartbedrijven, totaal;10 tot 100 werknemers;;;;;;;
59;6120 Binnenvaartbedrijven, totaal;100 en meer werknemers;;;;;;;
60;61201 Vrachtvaart;Alle bedrijven;73.3;57.3;8.2;2.6;28.3;4.1;0.5
61;61201 Vrachtvaart;0 tot 10 werknemers;;;;;;;
62;61201 Vrachtvaart;10 en meer werknemers;;;;;;;
63;61201 Vrachtvaart;10 tot 100 werknemers;;;;;;;
64;61201 Vrachtvaart;100 en meer werknemers;;;;;;;
65;61202 Tankvaart;Alle bedrijven;71.6;69.7;10.3;5.4;5.6;9.5;0.4
66;61202 Tankvaart;0 tot 10 werknemers;;;;;;;
67;61202 Tankvaart;10 en meer werknemers;;;;;;;
68;61202 Tankvaart;10 tot 100 werknemers;;;;;;;
69;61202 Tankvaart;100 en meer werknemers;;;;;;;
70;61203 Sleep- en duwvaart;Alle bedrijven;38.3;65.9;11.0;10.2;12.1;3.9;3.1
71;61203 Sleep- en duwvaart;0 tot 10 werknemers;;;;;;;
72;61203 Sleep- en duwvaart;10 en meer werknemers;;;;;;;
73;61203 Sleep- en duwvaart;10 tot 100 werknemers;;;;;;;
74;61203 Sleep- en duwvaart;100 en meer werknemers;;;;;;;
75;61204 Passagiersvaart en veerdiensten;Alle bedrijven;62.5;78.9;10.3;2.1;6.0;3.3;0.7
76;61204 Passagiersvaart en veerdiensten;0 tot 10 werknemers;;;;;;;
77;61204 Passagiersvaart en veerdiensten;10 en meer werknemers;;;;;;;
78;61204 Passagiersvaart en veerdiensten;10 tot 100 werknemers;;;;;;;
79;61204 Passagiersvaart en veerdiensten;100 en meer werknemers;;;;;;;
80;6322 Dienstverl. tbv vervoer over water;Alle bedrijven;151.2;65.8;7.5;17.0;6.2;7.2;3.8
81;6322 Dienstverl. tbv vervoer over water;0 tot 10 werknemers;;;;;;;
82;6322 Dienstverl. tbv vervoer over water;10 en meer werknemers;;;;;;;
83;6322 Dienstverl. tbv vervoer over water;10 tot 100 werknemers;;;;;;;
84;6322 Dienstverl. tbv vervoer over water;100 en meer werknemers;;;;;;;
85;6200 Luchtvaartbedrijven;Alle bedrijven;1773.7;67.1;8.9;10.3;7.3;6.4;0.0
86;6200 Luchtvaartbedrijven;0 tot 10 werknemers;;;;;;;
87;6200 Luchtvaartbedrijven;10 en meer werknemers;;;;;;;
88;6200 Luchtvaartbedrijven;10 tot 100 werknemers;;;;;;;
89;6200 Luchtvaartbedrijven;100 en meer werknemers;;;;;;;
90;6323 Luchthavens e.d.;Alle bedrijven;198.0;70.4;8.9;7.2;8.3;6.5;1.4
91;6323 Luchthavens e.d.;0 tot 10 werknemers;;;;;;;
92;6323 Luchthavens e.d.;10 en meer werknemers;;;;;;;
93;6323 Luchthavens e.d.;10 tot 100 werknemers;;;;;;;
94;6323 Luchthavens e.d.;100 en meer werknemers;;;;;;;
95;6311 Laad-, los- en overslagbedrijven;Alle bedrijven;514.4;64.4;9.6;5.5;17.1;4.8;1.3
96;6311 Laad-, los- en overslagbedrijven;0 tot 10 werknemers;32.5;64.8;8.9;3.1;19.3;4.4;0.7
97;6311 Laad-, los- en overslagbedrijven;10 en meer werknemers;;;;;;;
98;6311 Laad-, los- en overslagbedrijven;10 tot 100 werknemers;141.3;69.1;9.7;4.8;12.7;5.3;1.6
99;6311 Laad-, los- en overslagbedrijven;100 en meer werknemers;340.7;62.4;9.6;6.0;18.8;4.6;1.2
100;6312 Opslagbedrijven;Alle bedrijven;384.0;64.8;9.1;5.1;16.4;5.3;0.8
101;6312 Opslagbedrijven;0 tot 10 werknemers;34.0;63.6;8.9;4.6;19.2;4.9;1.4
102;6312 Opslagbedrijven;10 en meer werknemers;;;;;;;
103;6312 Opslagbedrijven;10 tot 100 werknemers;142.7;64.8;8.8;4.9;18.2;5.1;1.8
104;6312 Opslagbedrijven;100 en meer werknemers;207.3;65.0;9.3;5.4;14.8;5.5;0.0
105;63401 Expediteurs,cargadoors,bevrachters;Alle bedrijven;868.6;72.7;9.5;4.2;10.7;4.4;1.6
106;63401 Expediteurs,cargadoors,bevrachters;0 tot 10 werknemers;145.5;75.3;9.4;4.9;6.8;3.8;0.2
107;63401 Expediteurs,cargadoors,bevrachters;10 en meer werknemers;;;;;;;
108;63401 Expediteurs,cargadoors,bevrachters;10 tot 100 werknemers;348.2;74.9;9.9;4.7;8.7;4.8;3.0
109;63401 Expediteurs,cargadoors,bevrachters;100 en meer werknemers;374.9;69.7;9.2;3.4;14.1;4.3;0.7
110;63402 Wegings- en metingsbedrijven;Alle bedrijven;29.1;77.0;9.4;5.3;8.0;4.3;4.0
111;63402 Wegings- en metingsbedrijven;0 tot 10 werknemers;8.3;75.3;9.2;3.6;6.9;5.3;0.2
112;63402 Wegings- en metingsbedrijven;10 en meer werknemers;20.8;77.8;9.5;5.9;8.5;3.8;5.5
113;63402 Wegings- en metingsbedrijven;10 tot 100 werknemers;;;;;;;
114;63402 Wegings- en metingsbedrijven;100 en meer werknemers;;;;;;;
115;63301 Reisorganisatie (touroperators);Alle bedrijven;191.5;71.0;10.1;2.8;9.5;7.1;0.4
116;63301 Reisorganisatie (touroperators);0 tot 10 werknemers;23.3;64.3;8.5;2.7;19.5;5.4;0.5
117;63301 Reisorganisatie (touroperators);10 en meer werknemers;;;;;;;
118;63301 Reisorganisatie (touroperators);10 tot 100 werknemers;49.3;75.6;10.3;2.8;5.3;7.0;1.0
119;63301 Reisorganisatie (touroperators);100 en meer werknemers;118.9;70.3;10.4;2.8;9.2;7.4;0.1
