ID;KenmerkenVanPersonen;Geslacht;Perioden;TotaalAantalPersonen_1;NietIngedeeldePersonen_2;TotaalAantalPersonenMetLaagInkomen_3;InVanPersonenInParticuliereHuish_4;TotaalAantalPersonen_5;InVanPersonenMetLaagInkomen_6;InVanPersonenInParticuliereHuish_7;TotaalAantalPersMetSociaalMinimum_8;InVanPersonenInParticuliereHuish_9;TotaalAantalPersonen_10;InVanPersonenMetSociaalMinimum_11;InVanPersonenInParticuliereHuish_12
0;0;0;1990;14635.0;610.0;1706.0;12.2;;;;1180.0;8.4;;;
1;0;0;1991;14760.0;595.0;1758.0;12.4;;;;1227.0;8.7;;;
2;0;0;1992;14862.0;613.0;1756.0;12.3;697.0;39.7;4.9;1256.0;8.8;403.0;32.1;2.8
3;0;0;1993;14958.0;643.0;1823.0;12.7;709.0;38.9;5.0;1259.0;8.8;420.0;33.4;2.9
4;0;0;1994;15016.0;606.0;1930.0;13.4;736.0;38.2;5.1;1282.0;8.9;429.0;33.4;3.0
5;0;0;1995;15125.0;599.0;1860.0;12.8;756.0;40.6;5.2;1239.0;8.5;443.0;35.7;3.0
6;0;0;1996;15206.0;601.0;1874.0;12.8;765.0;40.8;5.2;1255.0;8.6;419.0;33.4;2.9
7;0;0;1997;15303.0;532.0;1817.0;12.3;754.0;41.5;5.1;1223.0;8.3;415.0;33.9;2.8
8;0;0;1998;15417.0;521.0;1663.0;11.2;680.0;40.9;4.6;1190.0;8.0;405.0;34.0;2.7
9;0;0;1999;15485.0;583.0;1603.0;10.8;632.0;39.4;4.2;1173.0;7.9;381.0;32.5;2.6
10;0;0;2000;15647.0;612.0;1559.0;10.4;601.0;38.5;4.0;1148.0;7.6;368.0;32.0;2.4
11;0;1;1990;7263.0;299.0;732.0;10.5;;;;503.0;7.2;;;
12;0;1;1991;7326.0;289.0;756.0;10.7;;;;525.0;7.5;;;
13;0;1;1992;7375.0;304.0;756.0;10.7;267.0;35.3;3.8;542.0;7.7;149.0;27.4;2.1
14;0;1;1993;7426.0;318.0;791.0;11.1;273.0;34.6;3.8;549.0;7.7;155.0;28.2;2.2
