ID;KenmerkenVanHuishoudens;Perioden;AantalHuishoudensMetLaagInkomen_1;PercentageVanHetTotaal_2;GemiddeldeGrootteMetLaagInkomen_3;AantalHuishMetLangdurigLaagInkomen_4;PercentageVanHuishMetLaagInkomen_5;PercentageVanHetTotaal_6;GemGrootteMetLangdurigLaagInkomen_7;AantalHuishMetSociaalMinimum_8;PercentageVanHetTotaal_9;GemiddeldeGrootteMetSociaalMinimum_10;AantalHuishMetLangdurigSocMinimum_11;PercentageVanHuishMetSocMinimum_12;PercentageVanHetTotaal_13;GemGrootteMetLangdurigSocMinimum_14;TotaalAantalParticuliereHuishoudens_15;GemiddeldeHuishoudensgrootte_16;AantalHuishoudensMetHeleJaarInkomen_17;NietIngedeeldeHuishoudens_18
0;0;1990;857;15.0;2.0;;;;;606;10.6;1.9;;;;;6128;2.4;5712;416
1;0;1991;882;15.2;2.0;;;;;625;10.8;2.0;;;;;6219;2.4;5808;411
2;0;1992;884;15.0;2.0;389.0;44.1;6.6;1.8;632;10.7;2.0;236.0;37.4;4.0;1.7;6309;2.4;5886;423
3;0;1993;913;15.3;2.0;397.0;43.5;6.7;1.8;634;10.6;2.0;247.0;39.0;4.1;1.7;6401;2.3;5964;437
4;0;1994;970;16.1;2.0;411.0;42.4;6.8;1.8;639;10.6;2.0;250.0;39.0;4.1;1.7;6454;2.3;6034;420
5;0;1995;953;15.5;2.0;421.0;44.2;6.9;1.8;633;10.3;2.0;254.0;40.2;4.1;1.7;6549;2.3;6134;415
6;0;1996;970;15.6;1.9;429.0;44.2;6.9;1.8;649;10.5;1.9;243.0;37.5;3.9;1.7;6617;2.3;6209;408
7;0;1997;953;15.1;1.9;435.0;45.6;6.9;1.7;644;10.2;1.9;244.0;37.9;3.9;1.7;6704;2.3;6331;373
8;0;1998;861;13.4;1.9;391.0;45.3;6.1;1.7;631;9.8;1.9;243.0;38.5;3.8;1.7;6783;2.3;6413;370
9;0;1999;835;12.9;1.9;370.0;44.4;5.7;1.7;627;9.7;1.9;235.0;37.4;3.6;1.6;6855;2.3;6453;402
10;0;2000;781;11.9;1.9;342.0;43.7;5.2;1.7;605;9.2;1.9;228.0;37.6;3.5;1.6;6941;2.3;6547;394
