ID;BedrijfstakkenBranchesSBI2008;Perioden;ArbeidskostenPerGewerktUur_1;ArbeidskostenPerVoltijdeenheid_2;TotaalOpbouwArbeidskosten_3;Lonen_4;DirectLoonEnBijzondereBeloningen_5;SocialePremies_6;OverigeKosten_7
0;A-U Alle economische activiteiten;2008;30.08;50.8;100;76.8;66.6;20.1;3.1
1;A-U Alle economische activiteiten;2012;33.14;56.6;100;76.4;66.2;21.2;2.4
2;A-U Alle economische activiteiten;2016;34.72;59.1;100;76.7;66.7;20.8;2.6
3;A-U Alle economische activiteiten;2020;38.11;63.1;100;78.2;68.5;22.1;-0.3
4;A-F Landbouw en nijverheid;2008;29.68;52.2;100;77.1;66.8;20.8;2.0
5;A-F Landbouw en nijverheid;2012;32.85;58.0;100;76.5;66.3;21.8;1.7
6;A-F Landbouw en nijverheid;2016;34.81;61.5;100;77.3;67.4;21.5;1.2
7;A-F Landbouw en nijverheid;2020;38.03;64.9;100;78.6;68.8;22.6;-1.2
8;A Landbouw, bosbouw en visserij;2008;20.14;35.2;100;79.8;69.3;19.5;0.7
9;A Landbouw, bosbouw en visserij;2012;21.6;39.5;100;79.0;65.4;20.2;0.8
10;A Landbouw, bosbouw en visserij;2016;22.94;41.9;100;78.6;65.2;20.7;0.7
11;A Landbouw, bosbouw en visserij;2020;23.05;44.0;100;80.5;67.3;21.3;-1.7
12;B Delfstoffenwinning;2008;56.06;101.3;100;79.3;70.1;17.5;3.2
13;B Delfstoffenwinning;2012;58.2;105.3;100;80.8;74.6;17.1;2.1
14;B Delfstoffenwinning;2016;64.37;122.9;100;75.5;70.7;21.4;3.2
15;B Delfstoffenwinning;2020;66.26;117.0;100;75.3;69.7;23.6;1.1
16;B-E Nijverheid (geen bouw) en energie;2008;30.51;53.4;100;76.9;67.2;21.1;2.0
17;B-E Nijverheid (geen bouw) en energie;2012;33.98;59.5;100;76.4;66.9;22.0;1.6
18;B-E Nijverheid (geen bouw) en energie;2016;36.19;63.3;100;77.8;68.6;21.2;1.0
19;B-E Nijverheid (geen bouw) en energie;2020;39.69;67.0;100;79.2;70.0;22.7;-1.9
20;B-F Nijverheid en energie;2008;30.27;53.3;100;77.0;66.7;20.9;2.1
21;B-F Nijverheid en energie;2012;33.63;59.2;100;76.4;66.3;21.9;1.7
22;B-F Nijverheid en energie;2016;35.69;62.9;100;77.2;67.5;21.5;1.3
23;B-F Nijverheid en energie;2020;39.31;66.5;100;78.5;68.9;22.7;-1.2
24;C Industrie;2008;30.01;52.3;100;77.0;67.4;21.1;1.8
25;C Industrie;2012;33.16;57.9;100;76.5;66.9;22.0;1.5
26;C Industrie;2016;35.4;61.7;100;77.9;68.6;21.3;0.8
27;C Industrie;2020;39.11;65.6;100;79.6;70.2;22.7;-2.4
28;D Energievoorziening;2008;42.21;72.1;100;76.0;65.9;20.4;3.6
29;D Energievoorziening;2012;49.47;84.8;100;74.3;66.2;22.1;3.6
30;D Energievoorziening;2016;48.51;82.7;100;78.6;70.4;18.6;2.8
31;D Energievoorziening;2020;50.95;90.2;100;77.0;70.2;20.3;2.7
32;E Waterbedrijven en afvalbeheer;2008;29.4;55.9;100;74.4;64.5;22.3;3.2
33;E Waterbedrijven en afvalbeheer;2012;33.45;61.5;100;74.9;65.4;22.7;2.4
34;E Waterbedrijven en afvalbeheer;2016;33.7;63.0;100;76.1;66.2;22.2;1.7
35;E Waterbedrijven en afvalbeheer;2020;36.18;66.8;100;75.2;65.3;23.9;0.9
36;F Bouwnijverheid;2008;29.76;52.9;100;77.2;65.5;20.5;2.3
37;F Bouwnijverheid;2012;32.84;58.6;100;76.5;64.9;21.6;1.9
38;F Bouwnijverheid;2016;34.39;62.0;100;75.7;64.6;22.4;2.0
39;F Bouwnijverheid;2020;38.39;65.1;100;76.6;66.0;22.7;0.6
40;G-I Handel, vervoer en horeca;2008;24.54;43.3;100;78.1;67.6;19.1;2.7
41;G-I Handel, vervoer en horeca;2012;26.71;48.2;100;78.1;65.8;19.8;2.1
42;G-I Handel, vervoer en horeca;2016;28.03;50.0;100;77.3;65.3;20.2;2.5
43;G-I Handel, vervoer en horeca;2020;30.8;50.7;100;81.2;69.0;21.9;-3.1
44;G-N Commerciële dienstverlening;2008;28.66;50.2;100;78.5;67.7;18.3;3.2
45;G-N Commerciële dienstverlening;2012;31.37;55.8;100;78.2;67.2;19.5;2.4
46;G-N Commerciële dienstverlening;2016;32.26;57.2;100;78.1;67.4;19.5;2.4
47;G-N Commerciële dienstverlening;2020;35.21;59.9;100;80.4;69.9;21.0;-1.3
48;G Handel;2008;24.91;43.4;100;78.4;67.5;18.6;3.0
49;G Handel;2012;27.69;48.7;100;78.6;66.0;19.2;2.2
50;G Handel;2016;28.61;50.6;100;77.7;65.8;19.5;2.9
51;G Handel;2020;31.5;52.8;100;79.3;67.3;20.7;0.0
52;H Vervoer en opslag;2008;26.91;50.7;100;77.3;67.9;20.7;2.0
53;H Vervoer en opslag;2012;28.53;56.8;100;76.2;65.9;21.8;2.0
54;H Vervoer en opslag;2016;32.27;60.5;100;75.6;65.4;23.0;1.4
55;H Vervoer en opslag;2020;33.6;58.4;100;82.5;71.7;24.8;-7.3
56;I Horeca;2008;17.4;28.8;100;78.8;68.3;18.1;3.1
57;I Horeca;2012;18.04;31.2;100;80.1;63.5;17.5;2.4
58;I Horeca;2016;18.68;32.0;100;79.1;62.3;17.8;3.2
59;I Horeca;2020;21.62;29.6;100;93.0;75.1;22.8;-15.8
60;J Informatie en communicatie;2008;37.87;65.6;100;79.3;67.5;17.6;3.1
61;J Informatie en communicatie;2012;40.36;71.4;100;79.7;69.4;18.6;1.7
62;J Informatie en communicatie;2016;41.24;72.9;100;80.5;70.7;18.0;1.5
63;J Informatie en communicatie;2020;45.62;80.4;100;82.2;72.9;17.7;0.2
64;K Financiële dienstverlening;2008;48.09;80.3;100;75.5;64.7;20.4;4.1
65;K Financiële dienstverlening;2012;54.73;91.7;100;72.9;64.2;23.7;3.4
66;K Financiële dienstverlening;2016;54.13;92.0;100;77.1;68.3;19.8;3.1
67;K Financiële dienstverlening;2020;57.47;100.4;100;75.9;68.5;20.6;3.5
68;L Verhuur en handel van onroerend goed;2008;34.63;57.4;100;78.7;67.2;17.3;4.0
69;L Verhuur en handel van onroerend goed;2012;37.8;62.9;100;78.5;68.2;18.1;3.4
70;L Verhuur en handel van onroerend goed;2016;40.41;67.9;100;74.8;65.5;21.6;3.7
71;L Verhuur en handel van onroerend goed;2020;43.67;73.0;100;77.0;67.5;21.7;1.3
72;M-N Zakelijke dienstverlening;2008;27.72;49.0;100;79.9;69.1;16.7;3.4
73;M-N Zakelijke dienstverlening;2012;30.55;54.2;100;79.9;69.4;17.6;2.4
74;M-N Zakelijke dienstverlening;2016;30.73;54.7;100;78.9;68.8;18.9;2.1
75;M-N Zakelijke dienstverlening;2020;33.26;58.4;100;80.7;70.6;21.1;-1.7
76;M Specialistische zakelijke diensten;2008;37.68;65.6;100;80.8;69.5;15.7;3.5
77;M Specialistische zakelijke diensten;2012;41.67;73.4;100;80.6;70.7;16.7;2.7
78;M Specialistische zakelijke diensten;2016;43.16;76.5;100;79.3;70.1;18.3;2.4
79;M Specialistische zakelijke diensten;2020;46.01;80.3;100;81.0;71.8;19.8;-0.8
80;N Verhuur en overige zakelijke diensten;2008;20.38;36.5;100;78.8;68.5;18.1;3.1
81;N Verhuur en overige zakelijke diensten;2012;22.26;39.6;100;79.0;67.7;18.9;2.1
82;N Verhuur en overige zakelijke diensten;2016;23.09;41.2;100;78.5;67.3;19.7;1.8
83;N Verhuur en overige zakelijke diensten;2020;25.0;44.1;100;80.3;69.1;22.6;-2.9
84;O-Q Overheid en zorg;2008;33.73;51.7;100;73.6;64.4;22.7;3.7
85;O-Q Overheid en zorg;2012;37.0;57.6;100;73.5;64.7;23.6;2.9
