ID;Bedrijfsgroep;Positie;Geslacht;Nationaliteit;Personen_1
0;3;Positie A;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;655353
1;3;Positie A;Totaal mannen en vrouwen;Nederland;645718
2;3;Positie A;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;9635
3;3;Positie A;Totaal mannen en vrouwen;Duitschland;4163
4;3;Positie A;Totaal mannen en vrouwen;België;2560
5;3;Positie A;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;104
6;3;Positie A;Totaal mannen en vrouwen;Frankrijk;94
7;3;Positie A;Totaal mannen en vrouwen;Italië;209
8;3;Positie A;Totaal mannen en vrouwen;Zwitserland;62
9;3;Positie A;Totaal mannen en vrouwen;Oostenrijk;224
10;3;Positie A;Totaal mannen en vrouwen;Hongarije;103
11;3;Positie A;Totaal mannen en vrouwen;Rusland;82
12;3;Positie A;Totaal mannen en vrouwen;Polen;335
13;3;Positie A;Totaal mannen en vrouwen;Tsjechoslowakije;88
14;3;Positie A;Totaal mannen en vrouwen;Andere nationaliteit;389
15;3;Positie A;Totaal mannen en vrouwen;Geen nationaliteit;1128
16;3;Positie A;Totaal mannen en vrouwen;Onbekende nationaliteit;94
17;3;Positie A;Mannen;Totaal van alle nationaliteiten;539982
18;3;Positie A;Mannen;Nederland;532635
19;3;Positie A;Mannen;Totaal van alle vreemde nationaliteiten;7347
20;3;Positie A;Mannen;Duitschland;3131
21;3;Positie A;Mannen;België;1834
22;3;Positie A;Mannen;Groot Britannië en Noord Ierland;85
23;3;Positie A;Mannen;Frankrijk;72
24;3;Positie A;Mannen;Italië;194
25;3;Positie A;Mannen;Zwitserland;52
26;3;Positie A;Mannen;Oostenrijk;148
27;3;Positie A;Mannen;Hongarije;70
28;3;Positie A;Mannen;Rusland;71
29;3;Positie A;Mannen;Polen;293
30;3;Positie A;Mannen;Tsjechoslowakije;72
31;3;Positie A;Mannen;Andere nationaliteit;325
32;3;Positie A;Mannen;Geen nationaliteit;926
33;3;Positie A;Mannen;Onbekende nationaliteit;74
34;3;Positie A;Vrouwen;Totaal van alle nationaliteiten;115371
35;3;Positie A;Vrouwen;Nederland;113083
36;3;Positie A;Vrouwen;Totaal van alle vreemde nationaliteiten;2288
37;3;Positie A;Vrouwen;Duitschland;1032
38;3;Positie A;Vrouwen;België;726
39;3;Positie A;Vrouwen;Groot Britannië en Noord Ierland;19
40;3;Positie A;Vrouwen;Frankrijk;22
41;3;Positie A;Vrouwen;Italië;15
42;3;Positie A;Vrouwen;Zwitserland;10
43;3;Positie A;Vrouwen;Oostenrijk;76
44;3;Positie A;Vrouwen;Hongarije;33
45;3;Positie A;Vrouwen;Rusland;11
46;3;Positie A;Vrouwen;Polen;42
47;3;Positie A;Vrouwen;Tsjechoslowakije;16
48;3;Positie A;Vrouwen;Andere nationaliteit;64
49;3;Positie A;Vrouwen;Geen nationaliteit;202
50;3;Positie A;Vrouwen;Onbekende nationaliteit;20
51;3;Positie B;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;16584
52;3;Positie B;Totaal mannen en vrouwen;Nederland;15868
53;3;Positie B;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;716
54;3;Positie B;Totaal mannen en vrouwen;Duitschland;454
55;3;Positie B;Totaal mannen en vrouwen;België;50
56;3;Positie B;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;44
57;3;Positie B;Totaal mannen en vrouwen;Frankrijk;18
58;3;Positie B;Totaal mannen en vrouwen;Italië;5
59;3;Positie B;Totaal mannen en vrouwen;Zwitserland;11
60;3;Positie B;Totaal mannen en vrouwen;Oostenrijk;24
61;3;Positie B;Totaal mannen en vrouwen;Hongarije;7
62;3;Positie B;Totaal mannen en vrouwen;Rusland;11
63;3;Positie B;Totaal mannen en vrouwen;Polen;5
64;3;Positie B;Totaal mannen en vrouwen;Tsjechoslowakije;11
65;3;Positie B;Totaal mannen en vrouwen;Andere nationaliteit;43
66;3;Positie B;Totaal mannen en vrouwen;Geen nationaliteit;22
67;3;Positie B;Totaal mannen en vrouwen;Onbekende nationaliteit;11
68;3;Positie B;Mannen;Totaal van alle nationaliteiten;15991
69;3;Positie B;Mannen;Nederland;15309
70;3;Positie B;Mannen;Totaal van alle vreemde nationaliteiten;682
71;3;Positie B;Mannen;Duitschland;429
72;3;Positie B;Mannen;België;48
73;3;Positie B;Mannen;Groot Britannië en Noord Ierland;42
74;3;Positie B;Mannen;Frankrijk;16
75;3;Positie B;Mannen;Italië;5
76;3;Positie B;Mannen;Zwitserland;11
77;3;Positie B;Mannen;Oostenrijk;21
78;3;Positie B;Mannen;Hongarije;7
79;3;Positie B;Mannen;Rusland;11
80;3;Positie B;Mannen;Polen;5
81;3;Positie B;Mannen;Tsjechoslowakije;11
82;3;Positie B;Mannen;Andere nationaliteit;43
83;3;Positie B;Mannen;Geen nationaliteit;22
84;3;Positie B;Mannen;Onbekende nationaliteit;11
85;3;Positie B;Vrouwen;Totaal van alle nationaliteiten;593
86;3;Positie B;Vrouwen;Nederland;559
87;3;Positie B;Vrouwen;Totaal van alle vreemde nationaliteiten;34
88;3;Positie B;Vrouwen;Duitschland;25
89;3;Positie B;Vrouwen;België;2
90;3;Positie B;Vrouwen;Groot Britannië en Noord Ierland;2
91;3;Positie B;Vrouwen;Frankrijk;2
92;3;Positie B;Vrouwen;Italië;0
93;3;Positie B;Vrouwen;Zwitserland;0
94;3;Positie B;Vrouwen;Oostenrijk;3
95;3;Positie B;Vrouwen;Hongarije;0
96;3;Positie B;Vrouwen;Rusland;0
97;3;Positie B;Vrouwen;Polen;0
98;3;Positie B;Vrouwen;Tsjechoslowakije;0
99;3;Positie B;Vrouwen;Andere nationaliteit;0
100;3;Positie B;Vrouwen;Geen nationaliteit;0
101;3;Positie B;Vrouwen;Onbekende nationaliteit;0
102;3;Positie C;Totaal mannen en vrouwen;Totaal van alle nationaliteiten;59023
103;3;Positie C;Totaal mannen en vrouwen;Nederland;56620
104;3;Positie C;Totaal mannen en vrouwen;Totaal van alle vreemde nationaliteiten;2403
105;3;Positie C;Totaal mannen en vrouwen;Duitschland;1643
106;3;Positie C;Totaal mannen en vrouwen;België;262
107;3;Positie C;Totaal mannen en vrouwen;Groot Britannië en Noord Ierland;55
108;3;Positie C;Totaal mannen en vrouwen;Frankrijk;39
109;3;Positie C;Totaal mannen en vrouwen;Italië;26
110;3;Positie C;Totaal mannen en vrouwen;Zwitserland;21
111;3;Positie C;Totaal mannen en vrouwen;Oostenrijk;72
112;3;Positie C;Totaal mannen en vrouwen;Hongarije;15
113;3;Positie C;Totaal mannen en vrouwen;Rusland;9
114;3;Positie C;Totaal mannen en vrouwen;Polen;18
115;3;Positie C;Totaal mannen en vrouwen;Tsjechoslowakije;34
116;3;Positie C;Totaal mannen en vrouwen;Andere nationaliteit;44
117;3;Positie C;Totaal mannen en vrouwen;Geen nationaliteit;145
