ID;SBI93;Perioden;BanenVanWerknemersTotaal_1;MannelijkeWerknemers_2;VrouwelijkeWerknemers_3
0;A-Q Alle economische activiteiten ..;2006 december voorlopig;7692.6;4227.5;3465.1
1;A-Q Alle economische activiteiten ..;2006 december nader voorlopig;7660.9;4260.9;3400.0
2;A-Q Alle economische activiteiten ..;2007 december voorlopig;7865.3;4358.3;3507.0
3;A-Q Alle economische activiteiten ..;2007 december nader voorlopig;7885.6;4282.1;3603.5
4;A-Q Alle economische activiteiten ..;2008 december voorlopig;7993.6;4320.3;3673.3
5;A-Q Alle economische activiteiten ..;2008 december nader voorlopig;7892.3;4248.5;3643.8
6;A-Q Alle economische activiteiten ..;2009 december voorlopig;7788.6;4156.6;3632.0
7;0000b Landbouw, bosbouw, visserij (A+B);2006 december voorlopig;119.5;84.2;35.3
8;0000b Landbouw, bosbouw, visserij (A+B);2006 december nader voorlopig;120.0;85.9;34.1
9;0000b Landbouw, bosbouw, visserij (A+B);2007 december voorlopig;120.8;85.9;34.9
10;0000b Landbouw, bosbouw, visserij (A+B);2007 december nader voorlopig;120.8;84.7;36.2
11;0000b Landbouw, bosbouw, visserij (A+B);2008 december voorlopig;122.0;85.6;36.4
12;0000b Landbouw, bosbouw, visserij (A+B);2008 december nader voorlopig;113.2;79.9;33.2
13;0000b Landbouw, bosbouw, visserij (A+B);2009 december voorlopig;111.9;79.6;32.3
14;011 Akker- en tuinbouw;2006 december voorlopig;68.6;41.9;26.7
15;011 Akker- en tuinbouw;2006 december nader voorlopig;69.0;43.2;25.8
16;011 Akker- en tuinbouw;2007 december voorlopig;68.3;42.2;26.0
17;011 Akker- en tuinbouw;2007 december nader voorlopig;68.6;41.6;26.9
18;011 Akker- en tuinbouw;2008 december voorlopig;70.7;43.4;27.3
19;011 Akker- en tuinbouw;2008 december nader voorlopig;62.8;38.4;24.4
20;011 Akker- en tuinbouw;2009 december voorlopig;60.8;37.5;23.2
21;0111 Akkerbouw;2006 december voorlopig;3.3;2.5;0.8
22;0111 Akkerbouw;2006 december nader voorlopig;3.3;2.6;0.8
23;0111 Akkerbouw;2007 december voorlopig;3.5;2.6;0.9
24;0111 Akkerbouw;2007 december nader voorlopig;3.5;2.5;0.9
25;0111 Akkerbouw;2008 december voorlopig;3.9;2.8;1.1
26;0111 Akkerbouw;2008 december nader voorlopig;3.1;2.4;0.8
27;0111 Akkerbouw;2009 december voorlopig;2.9;2.2;0.7
28;0112 Tuinbouw (geen fruitteelt);2006 december voorlopig;62.1;37.5;24.7
29;0112 Tuinbouw (geen fruitteelt);2006 december nader voorlopig;62.4;38.5;23.9
30;0112 Tuinbouw (geen fruitteelt);2007 december voorlopig;61.4;37.4;24.0
31;0112 Tuinbouw (geen fruitteelt);2007 december nader voorlopig;61.7;37.0;24.8
32;0112 Tuinbouw (geen fruitteelt);2008 december voorlopig;60.4;36.7;23.6
33;0112 Tuinbouw (geen fruitteelt);2008 december nader voorlopig;56.9;34.3;22.6
34;0112 Tuinbouw (geen fruitteelt);2009 december voorlopig;54.9;33.5;21.4
35;01121 Teelt van groenten, bloemen en ..;2006 december voorlopig;54.2;31.7;22.5
36;01121 Teelt van groenten, bloemen en ..;2006 december nader voorlopig;54.4;32.6;21.8
37;01121 Teelt van groenten, bloemen en ..;2007 december voorlopig;53.3;31.5;21.8
38;01121 Teelt van groenten, bloemen en ..;2007 december nader voorlopig;53.7;31.2;22.5
39;01121 Teelt van groenten, bloemen en ..;2008 december voorlopig;52.2;30.8;21.4
40;01121 Teelt van groenten, bloemen en ..;2008 december nader voorlopig;49.4;28.9;20.6
41;01121 Teelt van groenten, bloemen en ..;2009 december voorlopig;47.7;28.2;19.5
42;01122 Teelt van boomkwekerijgewassen;2006 december voorlopig;8.0;5.8;2.2
43;01122 Teelt van boomkwekerijgewassen;2006 december nader voorlopig;8.0;5.9;2.1
44;01122 Teelt van boomkwekerijgewassen;2007 december voorlopig;8.1;5.9;2.2
45;01122 Teelt van boomkwekerijgewassen;2007 december nader voorlopig;8.1;5.8;2.2
46;01122 Teelt van boomkwekerijgewassen;2008 december voorlopig;8.1;5.9;2.3
47;01122 Teelt van boomkwekerijgewassen;2008 december nader voorlopig;7.5;5.4;2.1
48;01122 Teelt van boomkwekerijgewassen;2009 december voorlopig;7.2;5.3;1.9
49;0113 Fruitteelt;2006 december voorlopig;3.2;2.0;1.2
50;0113 Fruitteelt;2006 december nader voorlopig;3.2;2.1;1.1
51;0113 Fruitteelt;2007 december voorlopig;3.4;2.2;1.2
52;0113 Fruitteelt;2007 december nader voorlopig;3.3;2.1;1.2
53;0113 Fruitteelt;2008 december voorlopig;6.5;3.9;2.6
54;0113 Fruitteelt;2008 december nader voorlopig;2.7;1.7;1.0
55;0113 Fruitteelt;2009 december voorlopig;2.9;1.8;1.1
56;012 Fokken en houden van dieren;2006 december voorlopig;10.6;7.7;2.9
57;012 Fokken en houden van dieren;2006 december nader voorlopig;10.9;8.0;2.9
58;012 Fokken en houden van dieren;2007 december voorlopig;12.0;8.7;3.2
59;012 Fokken en houden van dieren;2007 december nader voorlopig;11.8;8.5;3.3
60;012 Fokken en houden van dieren;2008 december voorlopig;12.3;8.8;3.4
61;012 Fokken en houden van dieren;2008 december nader voorlopig;12.2;8.8;3.4
