ID;Geslacht;Perioden;Fietsbezitters_1;BromSnorfietsbezitters_2;Motorbezitters_3;Autobezitters_4;RijbewijsbezittersMotor_5;RijbewijsbezittersAuto_6
0;1;1985;10942;522;124;4600;901.0;7263
1;1;1986;11333;572;123;4642;880.0;7388
2;1;1987;11242;516;126;4755;916.0;7529
3;1;1988;11525;520;130;4921;907.0;7814
4;1;1989;11675;473;141;5086;966.0;8037
5;1;1990;11782;493;155;5196;982.0;8204
6;1;1991;11959;475;182;5224;1064.0;8420
7;1;1992;12238;461;227;5297;1069.0;8566
8;1;1993;12566;478;265;5411;1141.0;8752
9;1;1994;12573;534;291;5558;1191.0;8957
10;1;1995;12668;547;308;5633;1229.0;9040
11;1;1996;12768;553;335;5740;1262.0;9159
12;1;1997;12905;543;360;5871;1271.0;9323
13;1;1998;12965;546;388;6051;1282.0;9455
14;1;1999;12956;520;409;6276;;9408
15;1;2000;13026;533;433;6478;;9543
16;1;2001;13212;504;456;6655;;9684
17;1;2002;13197;508;487;6804;;9806
18;1;2003;13385;499;512;6879;;9944
19;1;2004;13826;434;533;6907;;10007
20;1;2005;13447;478;395;7025;;9973
21;1;2006;13489;484;409;7148;;10090
22;1;2007;13572;463;418;7312;;10148
23;2;1985;5252;336;108;3509;807.0;4291
24;2;1986;5525;378;111;3516;774.0;4337
25;2;1987;5455;344;117;3556;810.0;4398
26;2;1988;5604;344;120;3627;817.0;4517
27;2;1989;5730;313;129;3671;864.0;4636
28;2;1990;5742;303;138;3710;874.0;4709
29;2;1991;5871;285;163;3682;943.0;4788
30;2;1992;6061;278;199;3670;942.0;4870
31;2;1993;6271;294;234;3768;988.0;4909
32;2;1994;6242;319;254;3689;1016.0;4979
33;2;1995;6289;306;269;3723;1058.0;5015
34;2;1996;6333;313;295;3779;1084.0;5052
35;2;1997;6401;311;320;3828;1082.0;5124
36;2;1998;6426;311;337;3864;1081.0;5169
37;2;1999;6503;313;347;3971;;5151
38;2;2000;6537;319;374;4027;;5211
39;2;2001;6614;310;396;4096;;5277
40;2;2002;6617;322;418;4131;;5314
41;2;2003;6708;309;445;4158;;5387
42;2;2004;6930;265;447;4215;;5373
43;2;2005;6772;293;337;4280;;5365
44;2;2006;6746;303;345;4255;;5396
45;2;2007;6798;273;352;4295;;5423
46;3;1985;5690;187;16;1091;95.0;2972
47;3;1986;5808;194;12;1126;106.0;3051
48;3;1987;5787;172;9;1199;106.0;3131
49;3;1988;5921;175;10;1294;91.0;3297
50;3;1989;5945;160;12;1416;103.0;3401
51;3;1990;6040;190;17;1486;108.0;3494
52;3;1991;6088;189;20;1542;122.0;3632
53;3;1992;6177;183;27;1626;127.0;3696
54;3;1993;6295;184;31;1643;153.0;3844
55;3;1994;6331;215;37;1869;176.0;3979
56;3;1995;6379;241;39;1910;171.0;4024
57;3;1996;6435;240;39;1962;178.0;4107
58;3;1997;6504;232;40;2043;189.0;4198
59;3;1998;6539;235;51;2186;202.0;4286
60;3;1999;6453;207;62;2306;;4258
61;3;2000;6489;214;59;2452;;4333
62;3;2001;6598;193;60;2559;;4407
63;3;2002;6580;186;69;2673;;4492
64;3;2003;6677;190;67;2721;;4556
65;3;2004;6895;168;86;2691;;4634
66;3;2005;6675;184;58;2745;;4608
67;3;2006;6744;181;64;2892;;4694
68;3;2007;6774;190;65;3016;;4725
