ID;Perioden;TotaalIslamieten_1;TotaalIslamietenRelatief_2;TotaalIslamieten_3;EersteGeneratie_4;TweedeGeneratie_5;TotaalNietWesters_6;TotaalNietWestersRelatief_7;Afghanistan_8;Irak_9;Iran_10;Marokko_11;Somalie_12;Suriname_13;Turkije_14;OverigNietWesters_15;TotaalWesters_16;TotaalWestersRelatief_17;TotaalHindoes_18;TotaalHindoesRelatief_19;TotaalHindoes_20;EersteGeneratie_21;TweedeGeneratie_22;TotaalNietWesters_23;NietWesterseRelatief_24;India_25;Suriname_26;OverigNietWesters_27;TotaalWesters_28;TotaalWestersRelatief_29
0;1971;54;0.4;54;;;;;;;;;;;;;;;3;0.0;3;;;;;;;;;
1;1972;70;0.5;70;;;;;;;;;;;;;;;5;0.0;5;;;;;;;;;
2;1973;81;0.6;81;;;;;;;;;;;;;;;6;0.0;6;;;;;;;;;
3;1974;96;0.7;96;;;;;;;;;;;;;;;9;0.1;9;;;;;;;;;
4;1975;114;0.8;114;;;;;;;;;;;;;;;14;0.1;14;;;;;;;;;
5;1976;144;1.0;144;;;;;;;;;;;;;;;24;0.2;24;;;;;;;;;
6;1977;161;1.2;161;;;;;;;;;;;;;;;25;0.2;25;;;;;;;;;
7;1978;180;1.3;180;;;;;;;;;;;;;;;26;0.2;26;;;;;;;;;
8;1979;204;1.5;204;;;;;;;;;;;;;;;29;0.2;29;;;;;;;;;
9;1980;236;1.7;236;;;;;;;;;;;;;;;34;0.2;34;;;;;;;;;
10;1981;274;1.9;274;;;;;;;;;;;;;;;40;0.3;40;;;;;;;;;
11;1982;299;2.1;299;;;;;;;;;;;;;;;41;0.3;41;;;;;;;;;
12;1983;314;2.2;314;;;;;;;;;;;;;;;43;0.3;43;;;;;;;;;
13;1984;326;2.3;326;;;;;;;;;;;;;;;45;0.3;45;;;;;;;;;
14;1985;337;2.3;337;;;;;;;;;;;;;;;47;0.3;47;;;;;;;;;
15;1986;354;2.4;354;;;;;;;;;;;;;;;50;0.3;50;;;;;;;;;
16;1987;373;2.6;373;;;;;;;;;;;;;;;53;0.4;53;;;;;;;;;
17;1988;399;2.7;399;;;;;;;;;;;;;;;56;0.4;56;;;;;;;;;
18;1989;427;2.9;427;;;;;;;;;;;;;;;58;0.4;58;;;;;;;;;
19;1990;458;3.1;458;;;;;;;;;;;;;;;61;0.4;61;;;;;;;;;
20;1991;498;3.3;498;;;;;;;;;;;;;;;64;0.4;64;;;;;;;;;
21;1992;534;3.5;534;;;;;;;;;;;;;;;68;0.4;68;;;;;;;;;
22;1993;566;3.7;566;;;;;;;;;;;;;;;71;0.5;71;;;;;;;;;
23;1994;602;3.9;602;;;;;;;;;;;;;;;75;0.5;75;;;;;;;;;
24;1995;625;4.1;625;414.0;211.0;596.0;52.8;3.0;8.0;14.0;213.0;17.0;27.0;249.0;65.0;28.0;2.2;82;0.5;82;54.0;27.0;81.0;7.2;7.0;71.0;3.0;1.0;0.0
25;1996;654;4.2;654;428.0;225.0;624.0;53.3;5.0;11.0;16.0;220.0;20.0;28.0;256.0;68.0;30.0;2.3;83;0.5;83;55.0;29.0;83.0;7.1;8.0;72.0;3.0;1.0;0.0
26;1997;687;4.4;687;447.0;241.0;657.0;53.8;8.0;15.0;19.0;227.0;24.0;28.0;264.0;72.0;31.0;2.3;85;0.5;85;55.0;30.0;84.0;6.9;8.0;73.0;3.0;1.0;0.0
27;1998;724;4.6;724;467.0;257.0;693.0;54.2;11.0;22.0;20.0;236.0;26.0;29.0;273.0;77.0;32.0;2.3;87;0.6;87;56.0;31.0;86.0;6.7;8.0;74.0;3.0;1.0;0.0
28;1999;765;4.9;765;490.0;275.0;732.0;54.4;16.0;29.0;22.0;245.0;27.0;29.0;281.0;82.0;33.0;2.4;89;0.6;89;57.0;32.0;88.0;6.6;9.0;76.0;4.0;1.0;0.0
29;2000;801;5.1;801;509.0;292.0;767.0;54.4;21.0;32.0;23.0;255.0;29.0;30.0;290.0;88.0;34.0;2.5;91;0.6;91;57.0;34.0;90.0;6.4;9.0;77.0;4.0;1.0;0.0
30;2001;844;5.3;844;534.0;310.0;807.0;54.4;26.0;37.0;24.0;264.0;30.0;30.0;299.0;96.0;37.0;2.7;93;0.6;93;58.0;35.0;92.0;6.2;10.0;79.0;4.0;1.0;0.0
31;2002;886;5.5;886;558.0;328.0;846.0;54.3;31.0;40.0;26.0;275.0;29.0;31.0;309.0;104.0;40.0;2.8;95;0.6;95;59.0;36.0;95.0;6.1;10.0;80.0;4.0;1.0;0.0
32;2003;919;5.7;919;573.0;346.0;877.0;54.1;34.0;41.0;28.0;285.0;28.0;31.0;319.0;112.0;42.0;2.9;97;0.6;97;59.0;38.0;96.0;5.9;10.0;81.0;4.0;1.0;0.0
33;2004;944;5.8;944;582.0;362.0;901.0;54.0;36.0;42.0;28.0;296.0;25.0;32.0;328.0;116.0;43.0;3.0;99;0.6;99;60.0;39.0;98.0;5.9;11.0;83.0;5.0;1.0;0.0
