ID;SelectieEersteJaar;SelectieTweedeJaar;Perioden;Koopkrachtverandering_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageVanCategorieInEersteJaar_8;PercentageAchteruit_9
0;806;806;1989-1991;2.4;-11.0;-2.2;2.4;8.5;18.0;100;100;35.0
1;806;806;1990-1991;0.7;-18.0;-4.7;0.7;8.5;23.0;100;100;46.0
2;806;806;1991-1992;0.5;-17.0;-4.7;0.5;7.7;21.0;100;100;44.0
3;806;806;1991-1993;0.8;-13.0;-3.6;0.8;6.1;14.0;100;100;42.0
4;806;806;1992-1993;1.0;-18.0;-4.8;1.0;7.7;20.0;100;100;42.0
5;806;806;1993-1994;0.0;-18.0;-5.6;0.0;7.5;21.0;100;100;50.0
6;806;806;1993-1995;0.5;-12.0;-3.8;0.5;5.9;15.0;100;100;46.0
7;806;806;1994-1995;1.0;-17.0;-4.6;1.0;8.6;23.0;100;100;42.0
8;806;806;1995-1996;1.3;-17.0;-4.4;1.3;8.5;22.0;100;100;41.0
9;806;806;1995-1997;1.3;-12.0;-3.1;1.3;6.8;16.0;100;100;39.0
10;806;806;1996-1997;1.5;-16.0;-4.5;1.5;9.6;23.0;100;100;41.0
11;806;806;1997-1998;2.8;-15.0;-3.4;2.8;10.1;24.0;100;100;35.0
12;806;806;1997-1999;1.9;-11.0;-2.6;1.9;7.6;17.0;100;100;36.0
13;806;806;1998-1999;1.2;-17.0;-4.6;1.2;9.7;25.0;100;100;40.0
14;806;806;1999-2000;2.0;-16.0;-3.6;2.0;11.2;27.0;100;100;37.0
15;806;801;1989-1991;5.4;-18.0;-6.0;5.4;19.0;38.0;6;6;37.0
16;806;801;1990-1991;1.0;-36.0;-16.7;1.0;21.2;56.0;6;6;48.0
17;806;801;1991-1992;1.0;-35.0;-16.2;1.0;21.2;58.0;6;6;48.0
18;806;801;1991-1993;0.0;-22.0;-10.4;0.0;12.7;30.0;6;6;50.0
19;806;801;1992-1993;0.6;-34.0;-16.5;0.6;19.7;54.0;6;6;49.0
20;806;801;1993-1994;3.3;-32.0;-14.0;3.3;25.7;68.0;6;6;44.0
21;806;801;1993-1995;3.0;-18.0;-7.3;3.0;16.7;38.0;6;6;43.0
22;806;801;1994-1995;5.5;-31.0;-12.2;5.5;30.0;80.0;6;6;42.0
23;806;801;1995-1996;4.3;-33.0;-13.6;4.3;26.9;72.0;6;6;43.0
24;806;801;1995-1997;4.2;-19.0;-6.3;4.2;17.1;35.0;6;6;39.0
25;806;801;1996-1997;6.2;-32.0;-12.0;6.2;30.2;72.0;6;6;41.0
26;806;801;1997-1998;5.8;-28.0;-10.8;5.8;28.7;69.0;6;6;41.0
27;806;801;1997-1999;5.0;-17.0;-5.5;5.0;18.5;38.0;6;6;38.0
28;806;801;1998-1999;4.9;-28.0;-10.7;4.9;27.5;66.0;6;6;42.0
29;806;801;1999-2000;5.2;-34.0;-12.6;5.2;27.1;69.0;6;6;42.0
30;806;802;1989-1991;3.7;-9.0;-1.2;3.7;9.7;18.0;60;60;30.0
31;806;802;1990-1991;2.2;-15.0;-4.0;2.2;9.8;23.0;60;60;40.0
32;806;802;1991-1992;1.7;-14.0;-4.2;1.7;8.9;21.0;60;60;42.0
33;806;802;1991-1993;2.0;-11.0;-2.6;2.0;7.4;15.0;60;60;37.0
34;806;802;1992-1993;2.4;-16.0;-3.8;2.4;9.0;21.0;60;60;38.0
35;806;802;1993-1994;1.8;-16.0;-4.6;1.8;8.8;21.0;59;59;42.0
36;806;802;1993-1995;1.9;-11.0;-2.8;1.9;7.2;16.0;59;59;38.0
37;806;802;1994-1995;2.3;-14.0;-4.1;2.3;10.1;23.0;59;59;40.0
38;806;802;1995-1996;2.3;-15.0;-4.3;2.3;9.7;22.0;60;60;40.0
39;806;802;1995-1997;2.3;-10.0;-2.8;2.3;7.9;16.0;60;60;37.0
40;806;802;1996-1997;2.5;-15.0;-4.4;2.5;10.6;23.0;60;60;40.0
41;806;802;1997-1998;3.4;-15.0;-3.6;3.4;11.9;25.0;61;61;36.0
42;806;802;1997-1999;2.7;-10.0;-2.4;2.7;9.0;18.0;62;62;35.0
43;806;802;1998-1999;2.7;-16.0;-4.8;2.7;11.4;25.0;62;62;39.0
44;806;802;1999-2000;3.6;-15.0;-3.8;3.6;12.6;27.0;62;62;37.0
45;806;803;1989-1991;0.3;-10.0;-2.5;0.3;3.5;9.0;20;20;45.0
46;806;803;1990-1991;-0.7;-13.0;-3.2;-0.7;2.6;12.0;19;19;60.0
47;806;803;1991-1992;0.0;-12.0;-3.1;0.0;2.2;11.0;19;19;49.0
48;806;803;1991-1993;0.1;-10.0;-2.9;0.1;2.0;7.0;20;20;47.0
49;806;803;1992-1993;0.2;-13.0;-3.4;0.2;2.2;10.0;19;19;45.0
50;806;803;1993-1994;-1.3;-14.0;-4.7;-1.3;1.3;9.0;20;20;68.0
51;806;803;1993-1995;-0.6;-10.0;-3.7;-0.6;1.2;6.0;20;20;62.0
52;806;803;1994-1995;0.2;-13.0;-3.1;0.2;2.1;10.0;20;20;47.0
53;806;803;1995-1996;0.6;-11.0;-1.9;0.6;2.8;10.0;20;20;39.0
54;806;803;1995-1997;0.7;-9.0;-2.2;0.7;2.9;8.0;20;20;39.0
55;806;803;1996-1997;0.7;-12.0;-2.9;0.7;3.8;12.0;20;20;41.0
56;806;803;1997-1998;2.5;-9.0;-0.4;2.5;4.6;11.0;20;20;27.0
57;806;803;1997-1999;1.4;-8.0;-1.5;1.4;3.0;7.0;20;20;33.0
58;806;803;1998-1999;0.4;-12.0;-2.5;0.4;2.1;9.0;20;20;41.0
59;806;803;1999-2000;0.6;-10.0;-1.7;0.6;4.2;15.0;20;20;38.0
60;806;804;1989-1991;0.6;-19.0;-6.2;0.6;5.5;15.0;12;12;45.0
61;806;804;1990-1991;-0.4;-26.0;-8.1;-0.4;6.6;23.0;12;12;54.0
62;806;804;1991-1992;0.1;-24.0;-7.6;0.1;6.1;21.0;12;12;49.0
63;806;804;1991-1993;-0.5;-19.0;-7.7;-0.5;3.7;12.0;13;13;53.0
64;806;804;1992-1993;-0.2;-28.0;-10.0;-0.2;5.2;19.0;13;13;52.0
65;806;804;1993-1994;-2.0;-28.0;-10.9;-2.0;4.3;20.0;13;13;64.0
66;806;804;1993-1995;-1.2;-20.0;-8.5;-1.2;3.2;12.0;12;12;62.0
67;806;804;1994-1995;0.2;-26.0;-8.0;0.2;6.3;22.0;13;13;48.0
68;806;804;1995-1996;0.3;-25.0;-7.8;0.3;7.1;22.0;12;12;47.0
69;806;804;1995-1997;0.4;-17.0;-6.2;0.4;5.0;13.0;11;11;46.0
70;806;804;1996-1997;1.0;-23.0;-6.2;1.0;8.4;23.0;11;11;42.0
71;806;804;1997-1998;1.7;-22.0;-5.2;1.7;8.2;22.0;10;10;38.0
72;806;804;1997-1999;0.9;-19.0;-5.8;0.9;5.2;13.0;9;9;42.0
73;806;804;1998-1999;0.7;-25.0;-6.6;0.7;7.9;22.0;9;9;41.0
74;806;804;1999-2000;0.9;-23.0;-5.7;0.9;8.4;25.0;9;9;40.0
75;806;805;1989-1991;3.2;-16.0;-5.0;3.2;11.8;24.0;2;2;39.0
76;806;805;1990-1991;0.6;-26.0;-9.5;0.6;12.0;31.0;2;2;48.0
77;806;805;1991-1992;-0.7;-24.0;-9.4;-0.7;10.3;29.0;2;2;53.0
78;806;805;1991-1993;0.0;-18.0;-8.0;0.0;8.1;19.0;2;2;50.0
79;806;805;1992-1993;1.3;-26.0;-10.1;1.3;11.5;30.0;3;3;47.0
80;806;805;1993-1994;0.1;-27.0;-10.1;0.1;11.2;33.0;3;3;50.0
81;806;805;1993-1995;1.6;-16.0;-5.3;1.6;9.7;25.0;3;3;44.0
82;806;805;1994-1995;1.0;-24.0;-9.0;1.0;13.7;38.0;3;3;47.0
83;806;805;1995-1996;1.0;-24.0;-8.7;1.0;11.8;37.0;3;3;47.0
84;806;805;1995-1997;0.0;-17.0;-7.0;0.0;8.9;23.0;3;3;50.0
85;806;805;1996-1997;0.0;-25.0;-10.2;0.0;12.7;37.0;3;3;50.0
86;806;805;1997-1998;-1.2;-24.0;-10.4;-1.2;9.3;33.0;3;3;54.0
87;806;805;1997-1999;0.6;-17.0;-6.6;0.6;8.7;22.0;3;3;48.0
88;806;805;1998-1999;1.8;-24.0;-7.8;1.8;15.3;43.0;3;3;44.0
89;806;805;1999-2000;5.1;-24.0;-6.8;5.1;20.5;46.0;3;3;38.0
90;801;806;1989-1991;2.4;-24.0;-10.1;2.4;14.4;29.0;7;100;44.0
91;801;806;1990-1991;-2.9;-43.0;-22.3;-2.9;16.3;44.0;7;100;55.0
92;801;806;1991-1992;-3.1;-43.0;-21.9;-3.1;15.4;40.0;6;100;55.0
93;801;806;1991-1993;-3.2;-30.0;-15.4;-3.2;7.9;21.0;6;100;58.0
