ID;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
0;1901;122.0;;4.5
1;1902;142.0;;15.0
2;1903;163.0;;34.5
3;1904;102.0;657.9;11.2
4;1905;132.0;123.0;7.4
5;1906;181.0;294.6;18.9
6;1907;154.0;458.4;15.2
7;1908;135.0;102.1;7.2
8;1909;189.0;297.1;8.5
9;1910;146.0;366.3;13.2
10;1911;217.0;441.6;20.0
11;1912;283.0;466.7;21.7
12;1913;427.0;911.5;30.1
13;1914;271.0;393.4;15.7
14;1915;269.0;117.6;15.2
15;1916;377.0;260.7;18.1
16;1917;344.0;544.5;31.3
17;1918;325.0;716.1;39.6
18;1919;649.0;1056.8;61.7
19;1920;481.0;2354.9;66.5
20;1921;299.0;1281.8;47.7
21;1922;325.0;1223.9;44.0
22;1923;289.0;1216.4;56.4
23;1924;239.0;3156.0;27.1
24;1925;262.0;780.9;31.7
25;1926;212.0;281.3;9.1
26;1927;230.0;201.5;13.5
27;1928;205.0;634.5;16.9
28;1929;226.0;889.9;21.3
29;1930;212.0;229.3;11.0
30;1931;215.0;766.3;28.2
31;1932;216.0;1636.4;32.0
32;1933;184.0;483.4;14.8
33;1934;152.0;90.1;6.2
34;1935;152.0;244.0;12.9
35;1936;96.0;77.4;10.4
36;1937;95.0;32.2;5.6
37;1938;141.0;124.8;6.4
38;1939;90.0;91.4;5.3
39;1940;23.0;43.1;3.3
40;1941;;;
41;1942;;;
42;1943;;;
43;1944;;;
44;1945;118.0;161.2;36.5
45;1946;270.0;681.6;72.1
46;1947;272.0;203.4;59.9
47;1948;183.0;131.4;17.7
48;1949;116.0;289.4;14.3
49;1950;79.0;162.5;17.6
50;1951;85.0;66.7;14.2
51;1952;40.0;31.2;3.8
52;1953;58.0;29.9;11.2
53;1954;91.0;59.3;18.7
54;1955;63.0;133.0;21.2
55;1956;49.0;228.1;38.1
56;1957;37.0;7.2;1.4
57;1958;73.0;37.3;5.1
58;1959;48.0;14.0;7.6
59;1960;40.0;526.1;84.2
60;1961;43.0;24.7;8.6
61;1962;24.0;9.1;2.2
62;1963;104.0;37.8;26.1
63;1964;53.0;43.9;8.5
64;1965;60.0;54.6;23.2
65;1966;20.0;12.6;11.2
66;1967;8.0;6.2;1.6
67;1968;11.0;13.7;4.6
68;1969;28.0;21.7;12.3
69;1970;47.0;293.5;86.2
70;1971;25.0;98.2;37.2
71;1972;58.0;137.0;25.2
72;1973;27.0;598.1;64.8
73;1974;41.0;11.7;12.2
74;1975;15.0;0.7;1.1
75;1976;28.0;15.7;21.0
76;1977;37.0;246.4;43.9
77;1978;32.0;5.8;9.9
78;1979;51.0;310.0;50.5
79;1980;22.0;56.8;25.6
80;1981;11.0;24.1;8.6
81;1982;12.0;215.4;69.8
82;1983;9.0;118.2;20.3
83;1984;11.0;29.2;16.2
84;1985;45.0;89.4;22.6
85;1986;35.0;38.9;17.0
86;1987;28.0;58.3;12.6
87;1988;38.0;8.9;5.2
88;1989;27.0;23.8;15.4
89;1990;29.0;206.7;25.0
90;1991;28.0;96.4;42.1
91;1992;23.0;85.4;52.4
92;1993;12.0;44.7;20.7
93;1994;17.0;47.4;21.8
94;1995;14.0;691.5;55.0
95;1996;12.0;7.4;8.1
96;1997;17.0;14.6;7.2
97;1998;22.0;33.2;30.8
98;1999;24.0;75.8;58.9
99;2000;23.0;9.4;10.3
100;2001;16.0;45.1;37.4
101;2002;16.0;245.5;28.6
102;2003;14.0;15.0;10.8
103;2004;12.0;62.2;104.2
104;2005;28.0;41.7;29.0
105;2006;31.0;15.8;11.3
106;2007;20.0;26.4;20.7
107;2008;21.0;120.6;51.9
108;2009;25.0;4.6;3.6
109;2010;21.0;59.2;14.1
110;2011;17.0;22.0;47.1
111;2012;18.0;219.4;89.6
112;2013;24.0;19.4;4.5
113;2014;25.0;40.9;10.2
114;2015;27.0;47.6;42.4
115;2016;25.0;19.2;11.1
116;2017;32.0;306.3;146.9
117;2018;28.0;239.1;33.7
118;2019;26.0;391.0;318.7
119;2020;9.0;211.0;105.3
120;2021;22.0;59.3;28.2
121;2022;33.0;39.4;16.5
122;2023;52.0;142.1;17.4
