ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;Vestigingen_1;k_0WerkzamePersonen_2;k_1WerkzamePersoon_3;k_2Tot10WerkzamePersonen_4;k_10OfMeerWerkzamePersonen_5;Eenmanszaken_6;VOFCVEnMaatschap_7;NVSEnBVS_8;OverigeRechtsvormen_9
0;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2010;;;;;;;;;
1;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2011;;;;;;;;;
2;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2012;;;;;;;;;
3;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2013;;;;;;;;;
4;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2014;;;;;;;;;
5;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2015;1637360.0;63910.0;1112470.0;368640.0;92335.0;924375.0;205445.0;431120.0;76435.0
6;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2016;1707525.0;65290.0;1177980.0;370580.0;93685.0;979665.0;208850.0;442455.0;76555.0
7;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2017;1761660.0;68835.0;1225425.0;372110.0;95275.0;1023745.0;209090.0;451435.0;77395.0
8;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2018;1843990.0;69900.0;1297410.0;378250.0;98430.0;1084495.0;213605.0;467450.0;78460.0
9;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2019;1937265.0;70275.0;1381340.0;384535.0;101110.0;1154290.0;216895.0;481915.0;84175.0
10;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2020;2037640.0;72800.0;1474035.0;386785.0;104020.0;1237740.0;219880.0;495645.0;84370.0
11;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2021;2108805.0;74260.0;1537085.0;393560.0;103900.0;1296500.0;222750.0;507760.0;81795.0
12;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2022;2279980.0;75470.0;1691260.0;405875.0;107370.0;1403185.0;228240.0;559350.0;89200.0
13;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2023;2363295.0;78520.0;1774925.0;400650.0;109195.0;1499450.0;221760.0;555315.0;86765.0
14;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2024;2512580.0;82300.0;1914250.0;409320.0;106710.0;1615485.0;223945.0;584830.0;88325.0
15;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2025;2556000.0;87240.0;1961180.0;401040.0;106545.0;1649060.0;220795.0;597895.0;88245.0
16;A-U Alle economische activiteiten;Nederland;2010;;;;;;;;;
17;A-U Alle economische activiteiten;Nederland;2011;;;;;;;;;
18;A-U Alle economische activiteiten;Nederland;2012;;;;;;;;;
19;A-U Alle economische activiteiten;Nederland;2013;;;;;;;;;
20;A-U Alle economische activiteiten;Nederland;2014;;;;;;;;;
21;A-U Alle economische activiteiten;Nederland;2015;1637345.0;63905.0;1112465.0;368640.0;92335.0;924375.0;205445.0;431115.0;76435.0
22;A-U Alle economische activiteiten;Nederland;2016;1707515.0;65280.0;1177975.0;370580.0;93685.0;979665.0;208850.0;442450.0;76550.0
23;A-U Alle economische activiteiten;Nederland;2017;1761655.0;68835.0;1225425.0;372110.0;95275.0;1023740.0;209090.0;451430.0;77390.0
24;A-U Alle economische activiteiten;Nederland;2018;1843985.0;69895.0;1297410.0;378250.0;98430.0;1084490.0;213605.0;467445.0;78455.0
25;A-U Alle economische activiteiten;Nederland;2019;1933240.0;70270.0;1378560.0;383375.0;101030.0;1154210.0;216895.0;481910.0;80240.0
26;A-U Alle economische activiteiten;Nederland;2020;2033385.0;72795.0;1471110.0;385560.0;103920.0;1237665.0;219880.0;495640.0;80195.0
27;A-U Alle economische activiteiten;Nederland;2021;2104540.0;74255.0;1534100.0;392380.0;103805.0;1296455.0;222745.0;507755.0;77580.0
28;A-U Alle economische activiteiten;Nederland;2022;2275240.0;75465.0;1687910.0;404580.0;107280.0;1403140.0;228240.0;559350.0;84510.0
29;A-U Alle economische activiteiten;Nederland;2023;2358600.0;78515.0;1771700.0;399290.0;109095.0;1499405.0;221760.0;555315.0;82120.0
30;A-U Alle economische activiteiten;Nederland;2024;2507800.0;82300.0;1910880.0;408005.0;106615.0;1615445.0;223945.0;584825.0;83580.0
31;A-U Alle economische activiteiten;Nederland;2025;2551540.0;87235.0;1958080.0;399785.0;106445.0;1649030.0;220795.0;597895.0;83820.0
32;A-U Alle economische activiteiten;Buitenland;2010;;;;;;;;;
33;A-U Alle economische activiteiten;Buitenland;2011;;;;;;;;;
34;A-U Alle economische activiteiten;Buitenland;2012;;;;;;;;;
35;A-U Alle economische activiteiten;Buitenland;2013;;;;;;;;;
36;A-U Alle economische activiteiten;Buitenland;2014;;;;;;;;;
37;A-U Alle economische activiteiten;Buitenland;2015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;A-U Alle economische activiteiten;Buitenland;2016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;A-U Alle economische activiteiten;Buitenland;2017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;A-U Alle economische activiteiten;Buitenland;2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;A-U Alle economische activiteiten;Buitenland;2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
