ID;Sbi93;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;OnderTijdsdrukWerken_4;Haasten_5;RegelmatigVeelKrachtZetten_6;k_5KgTillen_7;k_5KgDuwenTrekken_8;k_5KgDragen_9;RegelmatigHardPraten_10;RegelmatigGebruikVanGehoorbeschermers_11;RegelmatigTeMakenMetTrillingen_12;GevaarlijkWerk_13;WaterigeOplossingen_14;StoffenOpUwHuid_15;AdemtStoffenIn_16;BesmettePersonen_17;InOngemakkelijkeWerkhoudingWerken_18;TijdensWerkRepeterendeBewegingMaken_19;UurPerDagAanBeeldschermVoorWerk_20;UurPerWeekAanBeeldschermVoorPrive_21;ZelfBeslissen_22;VolgordeWerkzaamhedenBepalen_23;WerktempoBepalen_24;OplossingenBedenken_25;VerlofNemen_26;EmotioneelMoeilijkeWerksituaties_27;EmotioneelVeeleisendWerk_28;EmotioneelBetrokkenBijWerk_29;VanKlanten_30;VanLeidinggevendenOfCollegaS_31;DoorKlanten_32;DoorLeidinggevendenOfCollegaS_33;DoorKlanten_34;DoorLeidinggevendenOfCollegaS_35;DoorKlanten_36;DoorLeidinggevendenOfCollegaS_37;AantalOngevallenPer100000Werknemers_38;TotaalAandeelWerknemersMetOngeval_39;OngevalZonderVerzuim_40;OngevalMetTenMinste0DagenVerzuim_41;OngevalMetTenMinste1DagVerzuim_42;OngevalMetTenMinste4DagenVerzuim_43;UitsluitendLichamelijkLetsel_44;UitsluitendGeestelijkLetsel_45;LichamelijkEnGeestelijkLetsel_46;BurnOutKlachten_47;EmotioneelUitgeput_48;LeegVoelen_49;SOchtendsMoeVoelen_50;VergtVeelOmMetMensenTeWerken_51;UitgeputDoorWerk_52;TevredenMetArbeidsomstandigheden_53;TevredenMetWerk_54;WilTot65eWerkzaamBlijven_55;InStaatTot65eWerkzaamTeBlijven_56;DoorLichterWerkLangerWerkzaam_57;Na65eWerkzaamBlijven_58
0;Totaal;2005;45.0;49.5;31.0;40.2;29.2;24.8;31.8;28.0;27.1;10.1;9.6;;;;;;;;;3.5;6.1;;;;;;;;;;;;;;;;;12400;7.0;3.6;3.4;3.3;2.4;4.7;1.7;0.5;;;;;;;69.4;;21.1;40.0;35.7;
1;Totaal;2006;45.2;51.6;32.1;40.3;29.3;23.8;31.0;27.4;26.3;9.4;9.0;;;;;;;;;3.7;6.0;;;;;;;;;;;;;;;;;9800;6.3;3.1;3.3;3.1;2.3;4.4;1.5;0.4;;;;;;;71.5;;26.5;42.3;36.5;
2;Totaal;2007;33.9;43.2;26.2;;;18.4;;;;7.3;;9.7;3.7;;;;;10.9;35.6;3.7;;;;;;;7.4;12.3;13.9;4.4;1.8;19.7;11.5;5.8;0.5;7.0;8.6;12200;6.8;3.5;3.4;3.2;2.7;4.9;1.3;0.5;11.3;11.7;27.6;14.0;8.4;10.9;72.6;77.4;34.0;41.4;39.5;
3;Totaal;2008;32.3;41.8;26.7;;;20.5;;;;7.2;;9.7;;15.8;9.9;8.7;5.6;11.0;34.5;3.8;;64.6;65.8;61.1;69.8;50.8;7.5;11.8;12.5;4.8;1.8;18.9;10.7;6.5;0.6;6.8;8.4;14400;7.2;3.6;3.6;3.4;2.7;5.1;1.4;0.6;12.4;12.4;28.8;14.9;9.4;11.7;76.1;78.4;36.3;44.4;40.2;11.7
4;Totaal;2009;32.8;41.3;26.0;;;18.2;;;;6.4;;9.2;3.7;15.7;10.0;8.5;9.5;10.4;33.4;3.8;;62.7;64.6;60.7;69.2;50.5;7.8;12.5;13.7;5.0;1.7;19.4;11.2;6.3;0.5;7.3;8.4;13100;6.9;3.6;3.3;3.1;2.5;4.7;1.6;0.5;12.6;12.3;27.8;14.9;9.4;11.6;74.1;78.5;42.5;44.8;41.1;13.0
5;Totaal;2010;34.4;42.1;26.9;;;21.5;;;;6.7;;9.7;4.3;16.6;9.9;8.1;5.8;10.2;36.2;3.8;;62.7;64.2;59.8;68.7;50.2;7.7;12.1;13.2;5.0;1.8;18.3;9.9;6.1;0.5;6.5;7.2;13400;7.1;3.8;3.4;3.2;2.6;4.9;1.6;0.6;13.1;13.3;29.8;16.2;9.3;12.2;77.2;78.8;44.0;45.3;40.2;14.3
6;A+B Landbouw & visserij;2005;42.2;37.6;24.3;26.0;22.7;49.9;63.7;59.3;54.4;14.2;21.0;;;;;;;;;1.3;6.9;;;;;;;;;;;;;;;;;15200;12.0;5.7;6.3;6.3;4.0;9.6;1.3;1.1;;;;;;;68.0;;22.7;30.9;43.2;
7;A+B Landbouw & visserij;2006;32.7;44.6;19.9;18.8;15.0;48.9;64.7;59.6;52.7;15.1;16.6;;;;;;;;;1.2;6.4;;;;;;;;;;;;;;;;;11000;8.7;4.6;4.1;3.4;2.9;6.2;2.0;0.4;;;;;;;76.9;;38.5;30.7;42.1;
8;A+B Landbouw & visserij;2007;31.0;34.5;20.6;;;31.8;;;;6.8;;21.6;2.9;;;;;15.2;55.2;1.4;;;;;;;2.3;2.0;10.2;0.5;1.4;3.8;7.2;1.1;1.7;1.9;7.1;22500;10.5;5.0;5.5;4.5;2.8;8.7;0.8;1.1;9.3;8.4;24.6;10.6;5.0;9.6;76.4;80.7;40.4;35.3;46.1;
9;A+B Landbouw & visserij;2008;25.7;29.1;17.5;;;36.6;;;;10.2;;24.7;;20.1;5.7;10.5;2.3;24.0;59.1;1.5;;54.7;45.2;57.6;49.2;61.4;1.2;3.1;9.5;1.9;2.0;3.2;5.4;0.9;0.6;2.9;8.7;35100;9.8;6.5;3.3;3.3;2.1;8.5;0.8;0.5;7.7;4.5;20.6;10.8;5.5;7.8;74.6;77.9;42.5;41.1;43.9;16.8
