ID;SectorenActiva;TegensectorenPassiva;BalansstandenEnTransacties;Perioden;SpaartegoedenEnDepositoS_1;KortlopendeSchuldbewijzen_2;LanglopendeSchuldbewijzen_3;KortlopendeLeningen_4;LanglopendeLeningen_5;BeursgenoteerdeAandelen_6;AandelenInBeleggingsfondsen_7
0;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;1999 1e kwartaal;295118.0;;;146129.0;759667.0;;
1;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;1999 2e kwartaal;302004.0;;;152622.0;770439.0;;
2;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;1999 3e kwartaal;314307.0;;;154662.0;782117.0;;
3;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;1999 4e kwartaal;314483.0;;;158696.0;796314.0;;
4;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;1999;295118.0;;;146129.0;759667.0;;
5;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2000 1e kwartaal;319829.0;;;159211.0;812666.0;;
6;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2000 2e kwartaal;341481.0;;;168348.0;815985.0;;
7;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2000 3e kwartaal;333179.0;;;173697.0;821679.0;;
8;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2000 4e kwartaal;353539.0;;;179635.0;833618.0;;
9;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2000;319829.0;;;159211.0;812666.0;;
10;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2001 1e kwartaal;349605.0;;;180862.0;839646.0;;
11;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2001 2e kwartaal;371479.0;;;173289.0;847142.0;;
12;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2001 3e kwartaal;373421.0;;;172916.0;858310.0;;
13;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2001 4e kwartaal;382191.0;;;177194.0;869466.0;;
14;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2001;349605.0;;;180862.0;839646.0;;
15;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2002 1e kwartaal;397896.0;;;175643.0;884653.0;;
16;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2002 2e kwartaal;408791.0;;;180780.0;892083.0;;
17;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2002 3e kwartaal;413319.0;;;177297.0;898155.0;;
18;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2002 4e kwartaal;420415.0;;;188434.0;907962.0;;
19;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2002;397896.0;;;175643.0;884653.0;;
20;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2003 1e kwartaal;423083.0;;;180070.0;922917.0;;
21;Totaal binnenlandse sectoren;Totaal binnenlandse sectoren;Beginbalans;2003 2e kwartaal;448681.0;;;176411.0;934032.0;;
