ID;PolitieregioS;Cijfersoort;Perioden;DelictenTotaal_1;Geweldsdelicten_2;Vermogensdelicten_3;Vandalismedelicten_4;DelictenTotaal_5;Geweldsdelicten_6;Vermogensdelicten_7;Vandalismedelicten_8;OpEenPolitiebureau_9;Telefonisch_10;ViaInternet_11;TerPlekkePlaatse_12;Anders_13;TevredenheidOverPolitieBijAangifte_14;PreventieAdviesBijAangifte_15;InformatieOverVerloopVanDeZaak_16;HelptTochNiet_17;HetWasNietBelangrijk_18;HetIsOpgelost_19;DitIsGeenZaakVoorPolitie_20;DanVolgenRepresailles_21;AndereRedenInclusiefOnbekend_22;ZouWeerAangifteDoen_23;ContactenTotaal_24;HandhavingTotaal_25;Bekeuring_26;Waarschuwing_27;Controle_28;AangifteMeldingTotaal_29;AangifteMeldingMisdrijf_30;MeldingVerdachteSituatie_31;GetuigeVanMisdrijf_32;AndereContactenTotaal_33;Hulpvraag_34;Vergunningaanvraag_35;InformatieEnAdvies_36;OpenDag_37;OverigeContacten_38;Ontevreden_39;Tevreden_40;Handhaving_41;AangifteMelding_42;AndereContacten_43;TevredenheidOverPolitieTotaal_44;JeZietDePolitieInDeBuurtTeWeinig_45;ZeKomenTeWeinigUitDeAuto_46;ZeZijnHierTeWeinigAanspreekbaar_47;ZeHebbenHierTeWeinigTijd_48;ZeKomenNietSnelAlsJeZeRoept_49;BeschikbaarheidSchaalscore_50;ZichtbaarheidInStraat_51;Vaker_52;NietVakerNietMinderVaak_53;MinderVaak_54;MaaktNietUit_55;DePolitieBiedtBescherming_56;DePolitieHeeftContactMetDeBewoners_57;DePolitieReageertOpBuurtproblemen_58;DePolitieDoetHaarBest_59;DePolitiePaktDeZakenEfficientAan_60;FunctionerenPolitieSchaalscore_61;ZeBekeurenHierTeWeinig_62;ZeTredenNietHardGenoegOp_63;ZeGrijpenNietIn_64;OptredenPolitieSchaalscore_65
0;Nederland;Waarde;2005;35.9;30.7;45.0;27.0;24.3;14.1;37.2;16.2;46.7;38.6;10.5;2.4;1.8;38.1;9.5;27.9;41.8;24.2;7.7;11.4;1.8;13.1;43.4;27.7;13.4;7.4;2.3;3.7;49.5;35.3;11.9;2.4;37.0;6.1;0.9;4.1;0.3;25.7;28.1;52.4;50.5;44.3;63.9;42.9;41.6;37.4;35.5;33.8;23.6;4.8;63.3;35.7;35.7;3.2;25.0;41.2;19.9;45.1;48.5;28.6;5.8;23.6;28.2;22.1;5.7
1;Nederland;Waarde;2006;36.8;31.4;45.8;27.4;24.7;16.8;34.0;17.6;46.7;38.6;10.5;2.4;1.8;37.6;10.8;26.6;39.2;25.8;8.7;11.5;2.1;12.8;47.5;28.5;13.1;6.8;2.4;3.9;49.6;36.8;9.8;3.0;37.4;7.9;0.9;4.4;0.5;23.6;28.4;55.0;51.2;48.2;65.1;42.6;42.3;37.4;36.3;31.8;22.0;4.8;63.4;33.9;32.4;4.1;29.2;39.6;18.7;44.8;48.6;28.2;5.8;22.2;26.2;20.6;5.8
2;Nederland;Waarde;2007;36.4;31.5;46.8;25.5;25.7;18.1;37.5;17.1;42.4;41.0;13.0;2.1;1.5;41.6;11.3;29.0;37.4;26.4;9.0;12.4;1.5;13.3;47.9;28.4;12.3;7.0;2.1;3.2;51.5;37.1;11.7;2.7;36.2;8.3;1.1;4.1;0.5;22.2;26.3;56.9;50.6;50.6;68.0;44.3;41.0;35.0;34.2;29.6;19.7;5.0;64.1;33.3;34.2;4.0;28.3;39.6;19.6;46.4;50.5;29.6;5.9;21.9;24.7;19.0;5.9
3;Nederland;Waarde;2008;35.0;30.4;47.0;25.2;24.5;15.8;38.0;17.3;36.2;41.4;17.6;2.3;2.6;39.3;13.0;29.2;36.8;25.4;10.2;12.8;1.6;13.3;45.9;27.5;12.0;5.7;2.4;3.9;49.4;33.7;13.0;2.7;38.6;6.7;1.1;4.9;0.7;25.2;26.8;57.0;50.3;51.1;66.7;43.5;41.0;34.6;34.3;29.2;19.0;5.0;64.9;33.7;33.0;4.9;28.0;39.8;20.5;45.4;49.7;28.7;5.9;22.1;26.3;20.2;5.8
4;Nederland;Marge;2005;2.5;6.1;3.8;3.8;2.2;4.6;3.7;3.1;1.9;1.9;1.2;0.6;0.5;4.2;2.4;3.7;2.8;2.5;1.5;1.8;0.8;1.9;2.2;1.2;1.8;1.4;0.8;1.0;2.6;2.5;1.7;0.8;2.5;1.3;0.5;1.0;0.3;2.3;2.4;2.6;7.0;3.7;4.2;1.3;1.3;1.3;1.3;1.3;1.1;0.1;1.3;1.3;1.3;0.5;1.2;1.3;1.1;1.3;1.4;1.2;0.1;1.1;1.2;1.1;0.1
5;Nederland;Marge;2006;1.6;3.7;2.5;2.2;1.3;2.8;2.3;1.8;2.0;2.0;1.3;0.6;0.5;2.4;1.5;2.1;1.6;1.5;0.9;1.1;0.5;1.1;1.3;0.7;0.9;0.7;0.4;0.5;1.4;1.4;0.9;0.5;1.4;0.8;0.3;0.6;0.2;1.2;1.3;1.4;4.0;2.0;2.2;0.7;0.7;0.7;0.7;0.7;0.6;0.0;0.7;0.7;0.7;0.3;0.7;0.7;0.6;0.7;0.7;0.7;0.0;0.6;0.6;0.6;0.0
6;Nederland;Marge;2007;1.6;3.6;2.6;2.2;1.5;2.9;2.5;1.9;2.2;2.1;1.5;0.6;0.5;2.6;1.6;2.3;1.7;1.6;1.0;1.2;0.4;1.2;1.4;0.7;1.0;0.8;0.4;0.5;1.5;1.4;1.0;0.5;1.4;0.8;0.3;0.6;0.2;1.2;1.3;1.5;4.1;2.1;2.3;0.8;0.7;0.7;0.7;0.7;0.6;0.0;0.7;0.7;0.7;0.3;0.7;0.7;0.6;0.8;0.8;0.7;0.0;0.6;0.7;0.6;0.0
7;Nederland;Marge;2008;1.6;3.5;2.5;2.1;1.3;2.7;2.4;1.9;2.1;2.2;1.7;0.7;0.7;2.6;1.7;2.3;1.7;1.5;1.0;1.2;0.4;1.2;1.4;0.7;1.0;0.7;0.5;0.6;1.5;1.4;1.0;0.5;1.4;0.7;0.3;0.7;0.3;1.3;1.3;1.5;4.3;2.1;2.3;0.7;0.7;0.7;0.7;0.7;0.6;0.0;0.7;0.7;0.7;0.3;0.7;0.7;0.6;0.7;0.7;0.7;0.0;0.6;0.7;0.6;0.0
8;Groningen;Waarde;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Groningen;Waarde;2006;24.8;23.2;28.7;19.7;15.3;6.3;19.2;13.3;33.3;48.9;12.8;2.7;2.3;49.1;14.7;38.7;45.2;25.4;6.8;14.3;1.9;6.4;43.4;25.6;19.1;10.0;4.2;4.8;44.1;32.2;9.6;2.3;36.8;6.7;2.5;3.0;0.7;23.9;25.7;58.9;;54.0;77.7;47.1;34.3;36.1;33.1;27.8;18.6;5.1;55.9;25.5;35.1;4.4;34.6;40.1;16.6;42.4;49.2;28.6;5.8;22.8;24.3;19.5;5.8
