ID;Componenten;Perioden;InputprijsindexBouwkosten_1;OntwikkelingTOVEenJaarEerder_2
0;Bouwkosten totaal;2008 januari;97.6;
1;Bouwkosten totaal;2008 februari;97.8;
2;Bouwkosten totaal;2008 maart;97.9;
3;Bouwkosten totaal;2008 april;98.9;
4;Bouwkosten totaal;2008 mei;99.2;
5;Bouwkosten totaal;2008 juni;99.5;
6;Bouwkosten totaal;2008 juli;100.7;
7;Bouwkosten totaal;2008 augustus;100.6;
8;Bouwkosten totaal;2008 september;100.5;
9;Bouwkosten totaal;2008 oktober;100.2;
10;Bouwkosten totaal;2008 november;99.8;
11;Bouwkosten totaal;2008 december;99.8;
12;Bouwkosten totaal;2008;99.4;
13;Bouwkosten totaal;2009 januari;100.5;3.0
14;Bouwkosten totaal;2009 februari;100.6;2.9
15;Bouwkosten totaal;2009 maart;100.6;2.7
16;Bouwkosten totaal;2009 april;99.9;1.0
17;Bouwkosten totaal;2009 mei;99.9;0.7
18;Bouwkosten totaal;2009 juni;99.8;0.3
19;Bouwkosten totaal;2009 juli;99.4;-1.3
20;Bouwkosten totaal;2009 augustus;99.5;-1.1
21;Bouwkosten totaal;2009 september;99.5;-0.9
22;Bouwkosten totaal;2009 oktober;98.8;-1.5
23;Bouwkosten totaal;2009 november;98.7;-1.1
24;Bouwkosten totaal;2009 december;98.7;-1.1
25;Bouwkosten totaal;2009;99.7;0.3
26;Bouwkosten totaal;2010 januari;99.2;-1.3
27;Bouwkosten totaal;2010 februari;99.3;-1.3
28;Bouwkosten totaal;2010 maart;99.6;-0.9
29;Bouwkosten totaal;2010 april;100.0;0.1
30;Bouwkosten totaal;2010 mei;100.1;0.3
31;Bouwkosten totaal;2010 juni;100.0;0.2
32;Bouwkosten totaal;2010 juli;100.1;0.7
33;Bouwkosten totaal;2010 augustus;100.2;0.7
34;Bouwkosten totaal;2010 september;100.3;0.7
35;Bouwkosten totaal;2010 oktober;100.3;1.5
36;Bouwkosten totaal;2010 november;100.3;1.6
37;Bouwkosten totaal;2010 december;100.6;1.9
38;Bouwkosten totaal;2010;100.0;0.3
39;Bouwkosten totaal;2011 januari;101.2;2.0
40;Bouwkosten totaal;2011 februari;101.3;2.0
41;Bouwkosten totaal;2011 maart;101.3;1.6
42;Bouwkosten totaal;2011 april;101.8;1.8
43;Bouwkosten totaal;2011 mei;101.8;1.7
44;Bouwkosten totaal;2011 juni;101.9;1.9
45;Bouwkosten totaal;2011 juli;102.2;2.1
46;Bouwkosten totaal;2011 augustus;102.2;2.0
47;Bouwkosten totaal;2011 september;102.3;2.0
48;Bouwkosten totaal;2011 oktober;102.3;2.0
49;Bouwkosten totaal;2011 november;102.3;1.9
50;Bouwkosten totaal;2011 december;102.3;1.7
51;Bouwkosten totaal;2011;101.9;1.9
52;Bouwkosten totaal;2012 januari;103.1;1.9
53;Bouwkosten totaal;2012 februari;103.4;2.0
54;Bouwkosten totaal;2012 maart;103.4;2.1
55;Bouwkosten totaal;2012 april;103.7;1.9
