ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;AantalHHBehorendeTotDoelpopulatie_2;AantalHuishoudensMetEenLaagInkomen_3;AantalHHOnderOfRondHetSocMin_4
63;Noord-Holland;Paar met kinderen;289.7;281.7;6.0;4.0
64;Noord-Holland;Eenoudergezin;80.9;75.9;21.0;25.0
65;Zuid-Holland;Totaal particulier huishouden;1462.2;1404.2;9.0;9.0
66;Zuid-Holland;Eenpersoonshuishouden;506.6;479.7;13.0;14.0
67;Zuid-Holland;Paar zonder kinderen;405.0;394.6;3.0;4.0
68;Zuid-Holland;Paar met kinderen;403.8;392.3;6.0;4.0
69;Zuid-Holland;Eenoudergezin;99.4;93.3;22.0;26.0
70;Zeeland;Totaal particulier huishouden;157.1;150.7;7.0;7.0
71;Zeeland;Eenpersoonshuishouden;46.2;44.1;12.0;12.0
72;Zeeland;Paar zonder kinderen;52.4;50.8;3.0;3.0
73;Zeeland;Paar met kinderen;47.1;45.3;5.0;3.0
74;Zeeland;Eenoudergezin;7.6;7.1;20.0;24.0
75;Noord-Brabant;Totaal particulier huishouden;963.4;931.5;7.0;7.0
76;Noord-Brabant;Eenpersoonshuishouden;263.4;251.7;12.0;12.0
77;Noord-Brabant;Paar zonder kinderen;306.0;298.7;3.0;4.0
78;Noord-Brabant;Paar met kinderen;314.9;306.5;5.0;4.0
79;Noord-Brabant;Eenoudergezin;49.6;46.6;19.0;23.0
80;Limburg;Totaal particulier huishouden;472.5;450.3;8.0;9.0
81;Limburg;Eenpersoonshuishouden;134.6;128.0;14.0;15.0
82;Limburg;Paar zonder kinderen;151.6;145.8;4.0;5.0
83;Limburg;Paar met kinderen;145.2;138.1;5.0;4.0
84;Limburg;Eenoudergezin;26.4;24.6;21.0;25.0
85;Oost-Groningen;Totaal particulier huishouden;65.1;63.0;9.0;9.0
86;Oost-Groningen;Eenpersoonshuishouden;18.2;17.6;13.0;14.0
87;Oost-Groningen;Paar zonder kinderen;22.0;21.5;5.0;5.0
88;Oost-Groningen;Paar met kinderen;19.8;19.1;6.0;4.0
89;Oost-Groningen;Eenoudergezin;3.4;3.2;24.0;27.0
90;Delfzijl en omgeving;Totaal particulier huishouden;22.1;21.5;9.0;9.0
91;Delfzijl en omgeving;Eenpersoonshuishouden;6.4;6.2;13.0;13.0
92;Delfzijl en omgeving;Paar zonder kinderen;7.4;7.3;4.0;4.0
93;Delfzijl en omgeving;Paar met kinderen;6.5;6.3;7.0;5.0
94;Delfzijl en omgeving;Eenoudergezin;1.2;1.1;30.0;34.0
95;Overig Groningen;Totaal particulier huishouden;152.6;146.5;10.0;10.0
96;Overig Groningen;Eenpersoonshuishouden;55.1;52.4;15.0;15.0
97;Overig Groningen;Paar zonder kinderen;45.3;43.7;4.0;4.0
98;Overig Groningen;Paar met kinderen;39.3;38.1;6.0;4.0
