ID;LandVanHerkomst;TypeAccommodatie;Perioden;Gasten_1;Overnachtingen_2;Bestedingen_3
0;Totaal land van herkomst;Totaal accommodaties;2005/'06;10012;25210;3545.0
1;Totaal land van herkomst;Hotel en pension;2005/'06;8081;15143;3102.0
2;Totaal land van herkomst;Andere accommodatie;2005/'06;1931;10067;442.0
3;België;Totaal accommodaties;2005/'06;918;2241;192.0
4;België;Hotel en pension;2005/'06;597;862;
5;België;Andere accommodatie;2005/'06;320;1379;
6;Duitsland;Totaal accommodaties;2005/'06;2570;9487;628.0
7;Duitsland;Hotel en pension;2005/'06;1266;2240;
8;Duitsland;Andere accommodatie;2005/'06;1304;7248;
9;Frankrijk;Totaal accommodaties;2005/'06;527;985;139.0
10;Frankrijk;Hotel en pension;2005/'06;468;788;
11;Frankrijk;Andere accommodatie;2005/'06;59;197;
12;Groot-Brittannië;Totaal accommodaties;2005/'06;1853;4133;874.0
13;Groot-Brittannië;Hotel en pension;2005/'06;1744;3440;
14;Groot-Brittannië;Andere accommodatie;2005/'06;109;693;
15;Italië en Spanje;Totaal accommodaties;2005/'06;697;1491;235.0
16;Italië en Spanje;Hotel en pension;2005/'06;639;1279;
17;Italië en Spanje;Andere accommodatie;2005/'06;57;212;
18;Overige landen in Europa;Totaal accommodaties;2005/'06;1339;2844;505.0
19;Overige landen in Europa;Hotel en pension;2005/'06;1269;2558;
20;Overige landen in Europa;Andere accommodatie;2005/'06;70;286;
21;Verenigde Staten;Totaal accommodaties;2005/'06;872;1485;279.0
22;Verenigde Staten;Hotel en pension;2005/'06;868;1459;
23;Verenigde Staten;Andere accommodatie;2005/'06;4;26;
24;Overige landen;Totaal accommodaties;2005/'06;1238;2543;694.0
25;Overige landen;Hotel en pension;2005/'06;1231;2516;
26;Overige landen;Andere accommodatie;2005/'06;7;27;
