ID;Periods;GovernmentRevenue_1;GovernmentExpenditure_2;BalanceOfTheGeneralGovernmentSector_3;MaastrichtDebtEMU_4;FiscalBurden_5;FinalConsumptionOfGeneralGovernment_6;GovernmentRevenueSeasonalAdjusted_7;GovernmentExpenditureSeasonalAdjusted_8;BalanceOfGGSectorSeasonalAdjusted_9;NetSaving_10;NetSavingAndCapitalTransfers_11;GovernmentRevenue_12;GovernmentExpenditure_13;BalanceOfTheGeneralGovernmentSector_14;GovernmentDebtEMU_15;FiscalBurden_16;FinalConsumptionOfGeneralGovernment_17;GovernmentRevenueSeasonalAdjusted_18;GovernmentExpenditureSeasonalAdjusted_19;BalanceOfGGSectorSeasonalAdjusted_20;NetSaving_21;NetSavingAndCapitalTransfers_22;Persons_23;FteJobs_24;HoursWorked_25;MaterialConsumptionOfGovernmentIMOC_26
0;1995;152021;180812;-28791;241459.0;122590;73583;;;;-10582;-27354;46.1;54.8;-8.7;73.2;37.1;22.3;;;;-3.2;-8.3;1016.0;926.0;1493.0;
1;1996;159580;166162;-6582;246449.0;128452;73430;;;;-4968;-5169;46.2;48.1;-1.9;71.4;37.2;21.3;;;;-1.4;-1.5;1010.0;922.0;1491.0;2.0
2;1997;165801;171721;-5920;243270.0;134809;77200;;;;-3118;-4241;44.9;46.5;-1.6;65.8;36.5;20.9;;;;-0.8;-1.1;1020.0;929.0;1496.0;1.6
3;1998;173893;179165;-5272;247875.0;143015;81804;;;;-1996;-3614;44.0;45.4;-1.3;62.8;36.2;20.7;;;;-0.5;-0.9;1034.0;953.0;1511.0;1.9
4;1999 1st quarter;45271;44825;446;;36972;20342;46818.0;45796.0;1022.0;822;597;;;;;;;45.7;44.7;1.0;;;;;;
5;1999 2nd quarter;47052;48591;-1539;;39598;22589;45452.0;46191.0;-739.0;-601;-949;;;;;;;43.7;44.4;-0.7;;;;;;
6;1999 3rd quarter;44465;44186;279;;37369;20365;47422.0;46734.0;688.0;1304;936;;;;;;;44.8;44.2;0.7;;;;;;
7;1999 4th quarter;50422;48420;2002;246600.0;42287;22814;47581.0;47303.0;278.0;3388;3239;44.6;44.3;0.3;58.7;37.2;20.5;44.1;43.8;0.3;1.2;0.9;;;;
8;1999;187210;186022;1188;246600.0;156226;86110;;;;4913;3823;44.6;44.3;0.3;58.7;37.2;20.5;;;;1.2;0.9;1062.0;965.0;1530.0;1.9
9;2000 1st quarter;46703;46969;-266;255361.0;38224;21916;48286.0;47980.0;306.0;322;95;44.1;43.9;0.1;59.6;36.8;20.5;44.0;43.7;0.3;1.0;0.8;;;;
10;2000 2nd quarter;52048;50950;1098;247036.0;43671;24308;50208.0;48437.0;1771.0;2041;1744;44.3;43.6;0.7;56.6;37.0;20.5;44.9;43.3;1.6;1.6;1.4;;;;
11;2000 3rd quarter;46827;46096;731;247141.0;38969;21929;50008.0;48752.0;1256.0;1682;1370;44.1;43.3;0.8;55.6;36.7;20.5;43.8;42.7;1.1;1.7;1.5;;;;
12;2000 4th quarter;54951;51378;3573;236233.0;45957;24551;51950.0;50167.0;1783.0;5406;5348;44.3;43.2;1.1;52.2;36.9;20.5;44.6;43.1;1.5;2.1;1.9;;;;
13;2000;200529;195393;5136;236233.0;166821;92704;;;;9451;8557;44.3;43.2;1.1;52.2;36.9;20.5;;;;2.1;1.9;1082.0;977.0;1539.0;3.9
14;2001 1st quarter;50298;50961;-663;237849.0;41193;23875;51824.0;52084.0;-260.0;621;111;44.2;43.2;1.0;51.5;36.8;20.5;43.5;43.7;-0.2;2.1;1.9;;;;
15;2001 2nd quarter;54464;55328;-864;247157.0;43961;26426;52572.0;52652.0;-80.0;801;102;43.9;43.4;0.6;52.6;36.2;20.6;43.7;43.8;-0.1;1.8;1.5;;;;
16;2001 3rd quarter;50029;50741;-712;243925.0;41205;23923;53478.0;53599.0;-121.0;1000;374;44.0;43.7;0.3;51.2;36.2;20.7;44.1;44.2;-0.1;1.6;1.2;;;;
17;2001 4th quarter;55808;55828;-20;239037.0;46302;26704;52871.0;54431.0;-1560.0;2201;2054;43.6;44.1;-0.5;49.5;35.8;20.9;43.2;44.4;-1.3;1.0;0.5;;;;
