ID;Regions;Periods;AveragePurchasePrice_1
0;The Netherlands;1995;93750.0
1;The Netherlands;1996;102607.0
2;The Netherlands;1997;113163.0
3;The Netherlands;1998;124540.0
4;The Netherlands;1999;144778.0
5;The Netherlands;2000;172050.0
6;The Netherlands;2001;188397.0
7;The Netherlands;2002;199752.0
8;The Netherlands;2003;204829.0
9;The Netherlands;2004;212723.0
10;The Netherlands;2005;222706.0
11;The Netherlands;2006;235843.0
12;The Netherlands;2007;248325.0
13;The Netherlands;2008;254918.0
14;The Netherlands;2009;238259.0
15;The Netherlands;2010;239530.0
16;The Netherlands;2011;240059.0
17;The Netherlands;2012;226661.0
18;The Netherlands;2013;213353.0
19;The Netherlands;2014;222218.0
20;The Netherlands;2015;230194.0
21;The Netherlands;2016;243837.0
22;The Netherlands;2017;263295.0
23;The Netherlands;2018;287267.0
24;The Netherlands;2019;307978.0
25;The Netherlands;2020;334488.0
26;The Netherlands;2021;386714.0
27;The Netherlands;2022;428591.0
28;The Netherlands;2023;416153.0
29;The Netherlands;2024;450985.0
30;Noord-Nederland (LD);1995;72907.0
31;Noord-Nederland (LD);1996;78744.0
32;Noord-Nederland (LD);1997;85644.0
33;Noord-Nederland (LD);1998;94150.0
34;Noord-Nederland (LD);1999;108234.0
35;Noord-Nederland (LD);2000;128028.0
36;Noord-Nederland (LD);2001;143439.0
37;Noord-Nederland (LD);2002;155884.0
38;Noord-Nederland (LD);2003;161238.0
39;Noord-Nederland (LD);2004;169464.0
40;Noord-Nederland (LD);2005;179297.0
41;Noord-Nederland (LD);2006;190778.0
42;Noord-Nederland (LD);2007;198867.0
43;Noord-Nederland (LD);2008;201895.0
44;Noord-Nederland (LD);2009;190861.0
45;Noord-Nederland (LD);2010;192257.0
46;Noord-Nederland (LD);2011;191274.0
47;Noord-Nederland (LD);2012;182010.0
48;Noord-Nederland (LD);2013;171395.0
49;Noord-Nederland (LD);2014;174682.0
50;Noord-Nederland (LD);2015;181842.0
51;Noord-Nederland (LD);2016;190935.0
52;Noord-Nederland (LD);2017;203310.0
53;Noord-Nederland (LD);2018;216465.0
54;Noord-Nederland (LD);2019;230412.0
55;Noord-Nederland (LD);2020;253843.0
56;Noord-Nederland (LD);2021;296338.0
57;Noord-Nederland (LD);2022;332306.0
58;Noord-Nederland (LD);2023;328645.0
59;Noord-Nederland (LD);2024;356207.0
60;Oost-Nederland (LD);1995;94927.0
61;Oost-Nederland (LD);1996;103429.0
62;Oost-Nederland (LD);1997;113675.0
63;Oost-Nederland (LD);1998;124735.0
64;Oost-Nederland (LD);1999;145248.0
65;Oost-Nederland (LD);2000;173955.0
66;Oost-Nederland (LD);2001;189176.0
67;Oost-Nederland (LD);2002;199201.0
68;Oost-Nederland (LD);2003;205324.0
69;Oost-Nederland (LD);2004;213368.0
70;Oost-Nederland (LD);2005;219537.0
71;Oost-Nederland (LD);2006;230546.0
72;Oost-Nederland (LD);2007;240869.0
73;Oost-Nederland (LD);2008;244668.0
74;Oost-Nederland (LD);2009;231152.0
75;Oost-Nederland (LD);2010;230439.0
76;Oost-Nederland (LD);2011;227931.0
77;Oost-Nederland (LD);2012;218053.0
78;Oost-Nederland (LD);2013;203120.0
79;Oost-Nederland (LD);2014;210182.0
80;Oost-Nederland (LD);2015;214439.0
81;Oost-Nederland (LD);2016;225260.0
82;Oost-Nederland (LD);2017;243068.0
83;Oost-Nederland (LD);2018;263244.0
84;Oost-Nederland (LD);2019;281575.0
85;Oost-Nederland (LD);2020;308009.0
86;Oost-Nederland (LD);2021;358936.0
87;Oost-Nederland (LD);2022;402744.0
88;Oost-Nederland (LD);2023;396409.0
89;Oost-Nederland (LD);2024;426882.0
90;West-Nederland (LD);1995;96079.0
91;West-Nederland (LD);1996;105359.0
92;West-Nederland (LD);1997;116500.0
93;West-Nederland (LD);1998;128373.0
94;West-Nederland (LD);1999;150549.0
95;West-Nederland (LD);2000;179105.0
96;West-Nederland (LD);2001;195339.0
97;West-Nederland (LD);2002;206232.0
98;West-Nederland (LD);2003;210867.0
99;West-Nederland (LD);2004;219236.0
100;West-Nederland (LD);2005;230694.0
101;West-Nederland (LD);2006;244866.0
102;West-Nederland (LD);2007;259586.0
103;West-Nederland (LD);2008;268223.0
104;West-Nederland (LD);2009;249839.0
105;West-Nederland (LD);2010;253528.0
106;West-Nederland (LD);2011;255658.0
107;West-Nederland (LD);2012;239438.0
108;West-Nederland (LD);2013;227547.0
109;West-Nederland (LD);2014;237708.0
110;West-Nederland (LD);2015;247357.0
111;West-Nederland (LD);2016;264412.0
112;West-Nederland (LD);2017;288951.0
113;West-Nederland (LD);2018;319865.0
114;West-Nederland (LD);2019;344342.0
