ID;EnergieafnemersSBI93;AantalBedrijven_1;GeenAardgasverbruik_2;k_05000_3;k_5000170000_4;k_1700001mln_5;k_1Mln10Mln_6;k_10Mln15Mln_7;k_15MlnEnMeer_8;TotaalAardgasverbruik_9;k_05000_10;k_5000170000_11;k_1700001mln_12;k_1Mln10Mln_13;k_10Mln15Mln_14;k_15MlnEnMeer_15;AantalBedrijven_16;GeenElektriciteitsverbruik_17;k_010000_18;k_1000050000_19;k_500001Mln_20;k_1Mln10Mln_21;k_10Mln20Mln_22;k_20Mln50Mln_23;k_50Mln100Mln_24;k_100MlnEnMeer_25;TotaalElektriciteitsverbruik_26;GeenElektriciteitsverbruik_27;k_010000_28;k_1000050000_29;k_500001Mln_30;k_1Mln10Mln_31;k_10Mln20Mln_32;k_20Mln50Mln_33;k_50Mln100Mln_34;k_100MlnEnMeer_35
0;14-37 Industrie+winning(niet v.olie,gas);45400;4820;19685;19080;1215;475;40;85;9449.4;47.8;519.1;494.0;1439.4;479.8;6469.0;45400;1775;13940;16165;11580;1575;245;45;40;40;33499.0;-1387.7;98.2;386.1;2340.5;4926.6;4107.4;1625.8;2542.9;18858.7
1;15+16 Voedings- en genotmiddelenind.;5070;160;415;4010;310;140;10;20;1910.6;1.3;114.1;140.1;448.9;150.7;1055.4;5070;85;150;2230;2150;360;65;5;10;5;4715.1;-126.3;0.6;67.1;376.0;1278.2;1132.6;248.7;810.7;927.5
2;17-19 Textiel,kleding en lederindustrie;3430;580;1875;870;70;30;0;0;143.4;3.4;20.0;27.8;77.8;14.5;0.0;3430;310;1430;1185;430;75;5;0;0;0;494.2;0.0;4.4;24.3;89.2;248.5;67.4;60.4;0.0;0.0
3;20 Hout-, kurk- en rietwarenindustrie;1915;235;825;835;20;0;0;0;42.4;1.8;20.6;5.9;0.0;14.0;0.0;1915;80;745;510;545;35;0;0;0;0;216.6;-6.7;5.4;13.0;114.0;74.8;16.0;0.0;0.0;0.0
4;21 Papier(waren)- en karton(waren)ind;385;40;5;265;40;20;5;10;843.8;0.0;10.9;16.0;72.4;46.5;697.9;385;30;0;70;185;75;20;5;0;5;1331.2;-125.3;0.0;2.4;49.0;246.7;401.9;113.7;74.3;568.6
5;22 Uitgeverij, drukkerij, reproductie;7030;715;3745;2510;50;10;0;0;110.8;8.8;52.6;21.9;27.4;0.0;0.0;7030;185;2995;2170;1570;95;10;0;0;0;841.3;0.0;23.6;57.0;272.0;272.2;183.6;32.9;0.0;0.0
6;23 Aardolie-, steenkoolverwerkend ind;35;15;0;10;5;5;0;5;629.6;0.0;0.4;1.4;17.4;0.0;610.4;35;15;0;0;10;5;0;0;0;5;-225.8;-839.2;0.0;0.1;3.7;12.6;15.0;48.0;0.0;534.0
7;24 Chemische industrie;760;195;40;320;95;80;5;25;3444.0;0.1;14.8;39.8;273.7;82.4;3033.1;760;75;110;130;240;120;45;10;15;20;9817.9;-289.8;0.1;3.7;74.5;462.7;742.7;479.6;958.0;7386.4
8;25 Rubber-, kunststofverwerkende ind;1190;185;290;610;85;20;0;0;144.9;1.0;22.3;33.1;64.4;24.1;0.0;1190;75;55;400;455;170;30;5;0;0;1468.2;0.0;0.4;14.8;118.0;642.2;442.7;188.6;61.5;0.0
9;14+26 Bouwmat.ind+winning zand,grnd,klei;1865;235;785;680;75;70;5;15;879.6;2.3;20.4;34.5;238.5;73.9;509.9;1865;105;145;980;480;125;25;0;5;5;1865.2;0.0;1.0;15.3;123.1;353.4;334.9;82.1;332.7;622.7
10;27 Basismetaalindustrie;245;45;55;95;20;25;5;5;589.8;0.1;4.5;7.4;71.2;62.0;444.5;245;30;50;40;65;35;15;5;5;5;8637.2;0.0;0.2;1.1;20.8;118.0;243.7;101.2;180.6;7971.4
11;28 Metaalproductenindustrie;6840;560;2990;3100;165;30;0;0;216.2;5.9;84.5;64.4;61.4;0.0;0.0;6840;105;2480;1900;2180;170;5;0;0;0;1123.2;0.0;17.8;51.8;433.7;424.4;121.5;73.9;0.0;0.0
12;29 Machine- en apparatenindustrie;4390;520;1880;1870;110;10;0;0;125.7;5.2;60.2;37.1;23.2;0.0;0.0;4390;260;855;1830;1340;100;5;0;0;0;647.0;0.0;5.8;36.2;279.0;245.5;80.6;0.0;0.0;0.0
13;30-33 Verv. v. elektrische apparaten;3610;490;1785;1275;40;15;0;0;173.2;3.8;29.8;14.4;25.7;0.0;99.5;3610;210;1410;1305;610;55;10;5;0;0;1386.9;-0.4;8.2;29.7;117.5;142.0;153.8;154.2;61.8;720.0
14;34+35 Transportmiddelenindustrie;2265;205;920;1065;60;10;0;0;104.8;3.4;26.9;24.1;20.3;11.7;18.3;2265;75;265;1360;480;80;5;0;0;0;638.6;0.0;2.0;28.8;106.6;216.0;93.8;0.0;63.3;128.1
15;36+37 Verv.meubels, ov.ind.voorb.v recyc;6365;645;4075;1575;65;5;0;0;91.0;10.7;37.1;26.1;17.1;0.0;0.0;6365;145;3250;2045;840;75;5;0;0;0;542.0;0.0;28.7;40.8;163.4;189.4;77.2;42.5;0.0;0.0
