ID;Creditproviders;Periods;NewLoans_1;OutstandingContracts_2;CreditGranted_3;Interest_4;Repayments_5;OutstandingBalance_6;OutstandingBalanceExclInterest_7;OutstandingContracts_8;LimitsGranted_9;NewLimitsGranted_10;CreditGranted_11;Interest_12;Repayments_13;OutstandingBalance_14;LimitsGranted_15;NewLimitsGranted_16;OutstandingContracts_17;LimitsGranted_18;NewLimitsGranted_19;CreditGranted_20;Interest_21;Repayments_22;OutstandingBalance_23;LimitsGranted_24;NewLimitsGranted_25
0;Credit providers total;1998 January;31.0;651.0;157.0;24.0;188.0;3190.0;2653.0;;5195;102;440;56;466;7743;14368;294;;40.0;3.0;43.0;4.0;10.0;558.0;626.0;41.0
1;Credit providers total;1998 February;29.0;656.0;139.0;25.0;150.0;3204.0;2662.0;;5230;114;415;56;451;7764;14435;312;;43.0;3.0;47.0;4.0;10.0;598.0;662.0;47.0
2;Credit providers total;1998 March;31.0;659.0;146.0;26.0;174.0;3202.0;2634.0;;5271;113;485;56;511;7794;14517;308;;46.0;3.0;61.0;4.0;18.0;645.0;707.0;52.0
3;Credit providers total;1998 April;28.0;664.0;136.0;23.0;156.0;3206.0;2661.0;;5328;114;462;60;450;7866;14659;321;;48.0;4.0;55.0;5.0;16.0;689.0;750.0;55.0
4;Credit providers total;1998 May;27.0;670.0;136.0;25.0;155.0;3212.0;2661.0;;5389;102;454;60;486;7894;14769;323;;50.0;3.0;53.0;4.0;26.0;720.0;782.0;52.0
5;Credit providers total;1998 June;36.0;669.0;168.0;30.0;170.0;3240.0;2685.0;;5368;100;434;57;542;7844;14829;310;;52.0;3.0;48.0;5.0;20.0;753.0;822.0;45.0
6;Credit providers total;1998 July;29.0;676.0;138.0;26.0;183.0;3221.0;2691.0;;5468;109;480;60;525;7859;14943;321;;55.0;4.0;55.0;5.0;17.0;796.0;866.0;55.0
7;Credit providers total;1998 August;25.0;679.0;119.0;21.0;136.0;3225.0;2672.0;;5530;108;440;59;450;7908;15024;321;;58.0;3.0;49.0;5.0;5.0;845.0;916.0;48.0
8;Credit providers total;1998 September;29.0;682.0;133.0;25.0;156.0;3228.0;2674.0;;5602;136;521;60;462;8026;15321;433;;61.0;4.0;74.0;5.0;30.0;894.0;965.0;71.0
9;Credit providers total;1998 October;28.0;687.0;132.0;24.0;163.0;3220.0;2665.0;;5626;138;536;59;500;8121;15395;406;;64.0;4.0;60.0;5.0;19.0;940.0;1009.0;61.0
10;Credit providers total;1998 November;28.0;690.0;128.0;23.0;151.0;3220.0;2662.0;;5684;112;492;58;476;8194;15503;377;;66.0;4.0;65.0;5.0;23.0;987.0;1058.0;64.0
11;Credit providers total;1998 December;31.0;694.0;124.0;22.0;218.0;3148.0;2600.0;;5732;116;509;60;491;8271;15621;399;;70.0;4.0;67.0;6.0;10.0;1049.0;1120.0;64.0
12;Credit providers total;1999 January;27.0;691.0;135.0;22.0;175.0;3129.0;2592.0;;5775;94;451;58;468;8312;15748;308;;72.0;3.0;53.0;7.0;31.0;1079.0;1152.0;49.0
13;Credit providers total;1999 February;25.0;699.0;133.0;23.0;157.0;3129.0;2595.0;;5821;111;457;59;464;8365;15882;345;;74.0;3.0;60.0;7.0;32.0;1114.0;1188.0;53.0
14;Credit providers total;1999 March;29.0;705.0;156.0;26.0;178.0;3133.0;2599.0;;5853;118;539;57;519;8442;16044;411;;76.0;4.0;77.0;7.0;39.0;1159.0;1239.0;69.0
15;Credit providers total;1999 April;28.0;709.0;148.0;22.0;160.0;3143.0;2606.0;;5894;114;508;57;489;8518;16208;378;;78.0;3.0;56.0;8.0;38.0;1185.0;1267.0;46.0
16;Credit providers total;1999 May;23.0;708.0;129.0;21.0;153.0;3140.0;2611.0;;5898;83;468;56;486;8556;16309;333;;79.0;3.0;51.0;8.0;43.0;1201.0;1284.0;44.0
17;Credit providers total;1999 June;28.0;712.0;149.0;21.0;166.0;3144.0;2619.0;;5906;103;527;58;543;8599;16427;399;;81.0;3.0;61.0;8.0;43.0;1227.0;1314.0;55.0
18;Credit providers total;1999 July;28.0;714.0;143.0;21.0;166.0;3143.0;2615.0;;5946;106;548;58;512;8693;16611;394;;82.0;3.0;65.0;8.0;52.0;1248.0;1336.0;56.0
19;Credit providers total;1999 August;24.0;712.0;125.0;21.0;161.0;3128.0;2617.0;;5981;103;524;59;472;8804;16767;381;;83.0;3.0;62.0;8.0;45.0;1273.0;1361.0;56.0
20;Credit providers total;1999 September;25.0;714.0;128.0;21.0;143.0;3134.0;2624.0;;6022;113;533;58;498;8897;16908;393;;85.0;3.0;63.0;8.0;42.0;1302.0;1389.0;58.0
21;Credit providers total;1999 October;24.0;718.0;131.0;20.0;143.0;3142.0;2628.0;;6062;116;530;60;478;9009;17044;403;;86.0;3.0;59.0;8.0;49.0;1321.0;1408.0;52.0
22;Credit providers total;1999 November;26.0;721.0;143.0;21.0;150.0;3156.0;2643.0;;6001;98;518;61;489;9099;17135;394;;88.0;3.0;53.0;9.0;43.0;1340.0;1428.0;50.0
23;Credit providers total;1999 December;22.0;721.0;116.0;18.0;170.0;3120.0;2616.0;;6021;104;507;61;566;9101;17186;379;;88.0;3.0;63.0;9.0;8.0;1405.0;1498.0;53.0
24;Credit providers total;2000 January;24.0;722.0;123.0;24.0;151.0;3117.0;2611.0;;6130;158;520;64;532;9153;17398;342;;89.0;3.0;54.0;10.0;43.0;1425.0;1515.0;46.0
25;Credit providers total;2000 February;24.0;716.0;128.0;23.0;155.0;3112.0;2606.0;;6250;184;537;65;525;9231;17387;372;;91.0;3.0;57.0;10.0;36.0;1455.0;1544.0;52.0
26;Credit providers total;2000 March;28.0;717.0;135.0;24.0;159.0;3112.0;2604.0;;6337;178;624;67;582;9339;17499;450;;92.0;4.0;69.0;10.0;48.0;1487.0;1578.0;64.0
27;Credit providers total;2000 April;23.0;722.0;115.0;22.0;132.0;3116.0;2605.0;;6477;234;534;66;541;9398;17595;406;;94.0;3.0;58.0;10.0;41.0;1514.0;1604.0;54.0
28;Credit providers total;2000 May;25.0;716.0;127.0;25.0;144.0;3123.0;2612.0;;6581;189;573;68;556;9483;17770;446;;95.0;4.0;69.0;10.0;93.0;1499.0;1587.0;66.0
29;Credit providers total;2000 June;23.0;712.0;117.0;20.0;144.0;3116.0;2616.0;;6661;219;490;69;523;9518;17851;505;;96.0;3.0;66.0;10.0;45.0;1530.0;1619.0;58.0
30;Credit providers total;2000 July;24.0;717.0;121.0;22.0;124.0;3135.0;2631.0;;6823;233;535;71;489;9635;18050;439;;98.0;3.0;54.0;11.0;40.0;1555.0;1644.0;55.0
31;Credit providers total;2000 August;25.0;710.0;118.0;23.0;165.0;3110.0;2607.0;;6987;195;557;71;527;9736;18202;435;;100.0;3.0;61.0;11.0;44.0;1583.0;1677.0;60.0
32;Credit providers total;2000 September;22.0;711.0;106.0;20.0;132.0;3104.0;2598.0;;7117;190;527;75;493;9845;18327;407;;100.0;3.0;50.0;11.0;52.0;1592.0;1687.0;57.0
33;Credit providers total;2000 October;25.0;714.0;124.0;25.0;148.0;3105.0;2600.0;;7239;217;562;79;543;9942;18445;458;;98.0;3.0;51.0;12.0;48.0;1607.0;1703.0;48.0
34;Credit providers total;2000 November;22.0;714.0;110.0;22.0;142.0;3096.0;2579.0;;7361;196;552;80;540;10034;18567;480;;101.0;3.0;45.0;13.0;51.0;1615.0;1710.0;47.0
35;Credit providers total;2000 December;16.0;704.0;83.0;20.0;134.0;3065.0;2552.0;;7435;173;517;81;569;10063;18586;406;;101.0;2.0;34.0;13.0;30.0;1631.0;1737.0;30.0
36;Credit providers total;2001 January;20.0;693.0;116.0;24.0;170.0;3035.0;2531.0;;7445;169;548;80;471;10219;19079;397;;100.0;2.0;32.0;13.0;80.0;1596.0;1698.0;30.0
37;Credit providers total;2001 February;18.0;688.0;103.0;22.0;132.0;3027.0;2521.0;;7452;167;502;80;535;10267;19207;385;;100.0;2.0;37.0;13.0;53.0;1593.0;1694.0;33.0
38;Credit providers total;2001 March;20.0;678.0;116.0;25.0;158.0;3010.0;2502.0;;7450;148;567;81;541;10374;19303;408;;100.0;2.0;38.0;13.0;53.0;1591.0;1693.0;35.0
39;Credit providers total;2001 April;19.0;675.0;110.0;23.0;132.0;3011.0;2499.0;;7453;167;515;82;595;10377;19348;391;;100.0;2.0;34.0;12.0;48.0;1589.0;1691.0;31.0
40;Credit providers total;2001 May;21.0;671.0;132.0;24.0;148.0;3019.0;2503.0;;7513;136;536;82;611;10384;19429;393;;99.0;2.0;29.0;12.0;37.0;1593.0;1690.0;30.0
41;Credit providers total;2001 June;19.0;666.0;111.0;22.0;134.0;3018.0;2501.0;;7472;139;496;82;546;10417;19489;376;;99.0;1.0;17.0;12.0;55.0;1567.0;1670.0;18.0
42;Credit providers total;2001 July;20.0;681.0;115.0;23.0;162.0;2994.0;2471.0;;7467;150;574;84;583;10492;19874;418;;99.0;1.0;19.0;13.0;41.0;1558.0;1657.0;22.0
43;Credit providers total;2001 August;17.0;677.0;99.0;23.0;97.0;3019.0;2491.0;;7458;127;529;85;468;10638;20014;379;;98.0;2.0;33.0;12.0;42.0;1561.0;1649.0;29.0
44;Credit providers total;2001 September;15.0;666.0;87.0;21.0;145.0;2981.0;2451.0;;7449;129;502;85;543;10681;20028;341;;98.0;1.0;30.0;12.0;48.0;1556.0;1645.0;25.0
45;Credit providers total;2001 October;18.0;669.0;105.0;23.0;143.0;2967.0;2439.0;;7461;145;572;86;568;10771;20142;411;;97.0;2.0;47.0;12.0;57.0;1558.0;1645.0;33.0
46;Credit providers total;2001 November;16.0;667.0;93.0;21.0;134.0;2947.0;2415.0;;7427;150;519;86;518;10857;20280;381;;97.0;1.0;34.0;12.0;57.0;1547.0;1641.0;26.0
