ID;EnergySourcesTechniques;EnergyApplication;Periods;FinalConsumptionInTerajoule_1;InTotalEnergeticFinalConsumption_2;AvoidedPrimaryEnergyInTJ_3;AvoidedPrimaryEnergyInTotalUse_4;AvoidedCarbonDioxideEmissionInKton_5;AvoidedCO2EmissionInOfTotEmiss_6
0;Total energy sources;Total energy applications;1990;20887.0;1.15;15861.0;0.59;998.0;0.63
1;Total energy sources;Total energy applications;1991;21845.0;1.12;17493.0;0.62;1092.0;0.66
2;Total energy sources;Total energy applications;1992;22592.0;1.18;18389.0;0.66;1137.0;0.7
3;Total energy sources;Total energy applications;1993;22534.0;1.13;19122.0;0.67;1188.0;0.71
4;Total energy sources;Total energy applications;1994;22933.0;1.17;19977.0;0.7;1262.0;0.76
5;Total energy sources;Total energy applications;1995;24065.0;1.18;21639.0;0.73;1387.0;0.81
6;Total energy sources;Total energy applications;1996;24280.0;1.1;24502.0;0.79;1588.0;0.89
7;Total energy sources;Total energy applications;1997;27028.0;1.28;27540.0;0.92;1799.0;1.05
8;Total energy sources;Total energy applications;1998;28043.0;1.32;29653.0;0.99;1940.0;1.12
9;Total energy sources;Total energy applications;1999;27951.0;1.34;31653.0;1.06;2067.0;1.23
10;Total energy sources;Total energy applications;2000;29376.0;1.37;35030.0;1.15;2343.0;1.38
11;Total energy sources;Total energy applications;2001;31062.0;1.43;39640.0;1.26;2747.0;1.57
12;Total energy sources;Total energy applications;2002;34871.0;1.61;47102.0;1.5;3336.0;1.9
13;Total energy sources;Total energy applications;2003;35423.0;1.61;48027.0;1.49;;
14;Total energy sources;Total energy applications;2004;42021.0;1.86;59769.0;1.81;;
15;Total energy sources;Total energy applications;2005;51604.0;2.31;80097.0;2.43;;
16;Total energy sources;Total energy applications;2006;57261.0;2.65;87265.0;2.71;;
17;Total energy sources;Total energy applications;2007;68499.0;3.08;92762.0;2.78;;
18;Total energy sources;Total energy applications;2008;76387.0;3.35;109227.0;3.29;;
19;Total energy sources;Total energy applications;2009;88066.0;4.1;126053.0;3.89;;
