ID;Perioden;Overheidsinkomsten_1;Overheidsuitgaven_2;Overheidssaldo_3;OverheidsschuldEMU_4;CollectieveLasten_5;Overheidsconsumptie_6;OverheidsinkomstenSeizoengecorrigeerd_7;OverheidsuitgavenSeizoengecorrigeerd_8;OverheidssaldoSeizoengecorrigeerd_9;NettoBesparingen_10;SaldoNettoBespEnKapitaaloverdr_11;Aardgasbaten_12;Overheidsinkomsten_13;Overheidsuitgaven_14;Overheidssaldo_15;OverheidsschuldEMU_16;CollectieveLasten_17;Overheidsconsumptie_18;OverheidsinkomstenSeizoengecorrigeerd_19;OverheidsuitgavenSeizoengecorrigeerd_20;OverheidssaldoSeizoengecorrigeerd_21;NettoBesparingen_22;SaldoNettoBespEnKapitaaloverdr_23;Aardgasbaten_24;WerkzamePersonen_25;Arbeidsjaren_26;GewerkteUren_27;MaterieleOverheidsconsumptieIMOC_28
0;1995;148977;177808;-28831;241064.0;121137;73904;;;;-10367;-27779;;45.2;54.0;-8.7;73.2;36.8;22.4;;;;-3.1;-8.4;;997.0;909.0;1466.0;
1;1996;156377;162719;-6342;246052.0;127158;73662;;;;-4790;-5611;;45.4;47.2;-1.8;71.4;36.9;21.4;;;;-1.4;-1.6;;991.0;905.0;1464.0;2.1
2;1997;162832;168737;-5905;242893.0;133619;77467;;;;-2987;-4766;;44.1;45.7;-1.6;65.8;36.2;21.0;;;;-0.8;-1.3;;1001.0;912.0;1469.0;1.5
3;1998;170245;175667;-5422;247525.0;140982;82122;;;;-1984;-4289;;43.2;44.6;-1.4;62.8;35.8;20.8;;;;-0.5;-1.1;;1016.0;936.0;1484.0;1.8
4;1999 1e kwartaal;44181;43990;191;;36478;20393;46035.0;45056.0;979.0;735;277;;;;;;;;45.1;44.1;1.0;;;;;;;
5;1999 2e kwartaal;46471;47864;-1393;;39105;22663;44708.0;45369.0;-661.0;-430;-863;;;;;;;;43.1;43.7;-0.6;;;;;;;
6;1999 3e kwartaal;43909;43387;522;;36872;20426;46535.0;45992.0;543.0;1558;1119;;;;;;;;44.1;43.5;0.5;;;;;;;
7;1999 4e kwartaal;49318;47649;1669;246248.0;41769;22901;46674.0;46479.0;195.0;3244;2835;;43.8;43.6;0.2;58.7;36.8;20.6;43.2;43.1;0.2;1.2;0.8;;;;;
8;1999;183879;182890;989;246248.0;154224;86383;;;;5107;3368;;43.8;43.6;0.2;58.7;36.8;20.6;;;;1.2;0.8;;1043.0;948.0;1503.0;1.9
9;2000 1e kwartaal;45440;45871;-431;255009.0;37718;21946;47321.0;46985.0;336.0;256;-207;;43.3;43.2;0.1;59.6;36.4;20.6;43.1;42.8;0.3;1.1;0.7;;;;;
10;2000 2e kwartaal;51489;50090;1399;246684.0;43164;24367;49463.0;47470.0;1993.0;2344;1962;;43.6;42.9;0.7;56.6;36.6;20.6;44.2;42.4;1.8;1.7;1.3;;;;;
11;2000 3e kwartaal;46315;45209;1106;246788.0;38460;21970;49178.0;47915.0;1263.0;2051;1667;;43.4;42.5;0.8;55.6;36.3;20.5;43.1;42.0;1.1;1.8;1.4;;;;;
12;2000 4e kwartaal;53652;50360;3292;235879.0;45426;24627;50855.0;49115.0;1740.0;5236;4914;;43.6;42.4;1.2;52.2;36.5;20.6;43.7;42.2;1.5;2.2;1.8;;;;;
13;2000;196896;191530;5366;235879.0;164768;92910;;;;9887;8336;;43.6;42.4;1.2;52.2;36.5;20.6;;;;2.2;1.8;;1063.0;960.0;1512.0;4.0
14;2001 1e kwartaal;48810;49479;-669;237495.0;40421;23913;50644.0;50715.0;-71.0;712;-35;;43.4;42.3;1.1;51.5;36.3;20.6;42.5;42.6;-0.1;2.2;1.8;;;;;
15;2001 2e kwartaal;53392;54160;-768;246803.0;43190;26491;51315.0;51365.0;-50.0;897;112;;43.1;42.4;0.6;52.6;35.7;20.7;42.8;42.8;0.0;1.9;1.4;;;;;
16;2001 3e kwartaal;48970;49580;-610;243570.0;40431;23971;52087.0;52446.0;-359.0;1092;395;;43.0;42.8;0.3;51.2;35.6;20.8;43.1;43.4;-0.3;1.7;1.1;;;;;
17;2001 4e kwartaal;54357;54421;-64;238681.0;45505;26785;51613.0;53039.0;-1426.0;2263;1852;;42.7;43.1;-0.4;49.5;35.2;21.0;42.3;43.4;-1.2;1.0;0.5;;;;;
18;2001;205529;207640;-2111;238681.0;169547;101160;;;;4964;2324;6350.0;42.7;43.1;-0.4;49.5;35.2;21.0;;;;1.0;0.5;1.3;1088.0;982.0;1548.0;3.9
19;2002 1e kwartaal;50700;52246;-1546;243268.0;42415;26233;52340.0;53677.0;-1337.0;-60;-486;;42.7;43.3;-0.6;50.0;35.3;21.3;42.4;43.4;-1.1;0.9;0.4;;;;;
20;2002 2e kwartaal;54117;57587;-3470;246526.0;44869;28965;52106.0;54652.0;-2546.0;-1751;-2010;;42.4;43.5;-1.2;50.2;35.3;21.6;41.7;43.8;-2.0;0.3;-0.1;;;;;
21;2002 3e kwartaal;48718;51927;-3209;245719.0;40628;26284;51972.0;54807.0;-2835.0;-1491;-1809;;41.9;43.5;-1.7;49.5;34.9;21.8;41.2;43.4;-2.2;-0.2;-0.5;;;;;
22;2002 4e kwartaal;55198;57121;-1923;244916.0;46273;29385;52310.0;55594.0;-3284.0;695;411;;41.7;43.7;-2.0;48.9;34.8;22.1;41.3;43.9;-2.6;-0.5;-0.8;;;;;
23;2002;208733;218881;-10148;244916.0;174185;110867;;;;-2607;-3894;5282.0;41.7;43.7;-2.0;48.9;34.8;22.1;;;;-0.5;-0.8;1.1;1114.0;1003.0;1592.0;3.3
24;2003 1e kwartaal;52126;54830;-2704;252292.0;43509;27779;53599.0;56444.0;-2845.0;-1235;-1609;;41.6;43.9;-2.2;50.0;34.7;22.3;42.0;44.3;-2.2;-0.7;-1.0;;;;;
25;2003 2e kwartaal;55265;60032;-4767;251106.0;45577;30611;53537.0;57102.0;-3565.0;-2994;-3320;;41.6;44.1;-2.5;49.5;34.7;22.5;42.0;44.8;-2.8;-1.0;-1.2;;;;;
26;2003 3e kwartaal;48907;55113;-6206;257011.0;40605;27894;52159.0;58039.0;-5880.0;-4092;-4434;;41.5;44.6;-3.1;50.4;34.5;22.7;40.6;45.2;-4.6;-1.5;-1.8;;;;;
27;2003 4e kwartaal;57065;59233;-2168;256483.0;47413;31154;53827.0;57532.0;-3705.0;491;196;;41.6;44.7;-3.1;50.0;34.5;22.9;41.5;44.4;-2.9;-1.5;-1.8;;;;;
28;2003;213363;229208;-15845;256483.0;177104;117438;;;;-7830;-9167;5980.0;41.6;44.7;-3.1;50.0;34.5;22.9;;;;-1.5;-1.8;1.2;1140.0;1022.0;1635.0;2.6
29;2004 1e kwartaal;52543;55508;-2965;263050.0;43417;28161;53994.0;57200.0;-3206.0;-2185;-2437;;41.4;44.6;-3.1;51.0;34.3;22.8;41.4;43.9;-2.5;-1.7;-1.9;;;;;
30;2004 2e kwartaal;56699;60342;-3643;266951.0;46018;31050;55280.0;57519.0;-2239.0;-2797;-2981;;41.4;44.2;-2.9;51.3;34.1;22.7;41.9;43.6;-1.7;-1.6;-1.9;;;;;
31;2004 3e kwartaal;52566;55015;-2449;271348.0;42851;28324;56065.0;57934.0;-1869.0;-1536;-1760;;41.7;43.9;-2.1;51.7;34.3;22.6;42.2;43.6;-1.4;-1.1;-1.3;;;;;
32;2004 4e kwartaal;59772;60172;-400;266332.0;50154;31594;56052.0;58333.0;-2281.0;1134;1074;;41.9;43.7;-1.8;50.3;34.5;22.5;41.9;43.6;-1.7;-1.0;-1.2;;;;;
33;2004;221580;231037;-9457;266332.0;182440;119129;;;;-5384;-6104;6681.0;41.9;43.7;-1.8;50.3;34.5;22.5;;;;-1.0;-1.2;1.3;1136.0;1004.0;1606.0;1.7
34;2005 1e kwartaal;54563;55155;-592;267583.0;45386;29020;55926.0;56764.0;-838.0;-1185;-1379;;41.9;43.2;-1.3;50.2;34.6;22.5;41.5;42.1;-0.6;-0.8;-0.9;;;;;
35;2005 2e kwartaal;57926;60851;-2925;282197.0;47707;31946;56919.0;58129.0;-1210.0;-2653;-2772;;41.7;42.9;-1.2;52.4;34.5;22.4;41.7;42.6;-0.9;-0.8;-0.9;;;;;
36;2005 3e kwartaal;55122;55800;-678;275991.0;45333;29238;58929.0;58834.0;95.0;-401;-244;;41.8;42.6;-0.8;50.7;34.6;22.4;42.5;42.4;0.1;-0.6;-0.6;;;;;
37;2005 4e kwartaal;64385;62787;1598;274277.0;52775;32531;60119.0;60800.0;-681.0;4561;3937;;42.1;42.6;-0.5;49.8;34.7;22.3;42.8;43.3;-0.5;0.1;-0.1;;;;;
38;2005;231996;234593;-2597;274277.0;191201;122735;;;;322;-458;7579.0;42.1;42.6;-0.5;49.8;34.7;22.3;;;;0.1;-0.1;1.4;1122.0;985.0;1571.0;2.2
39;2006 1e kwartaal;59990;60506;-516;275100.0;49755;32055;61010.0;62151.0;-1141.0;394;54;;42.4;42.9;-0.5;49.2;34.9;22.5;42.6;43.4;-0.8;0.3;0.2;;;;;
40;2006 2e kwartaal;63693;65766;-2073;275719.0;51523;35111;63000.0;62898.0;102.0;-1372;-1456;;42.8;43.1;-0.3;48.5;35.1;22.7;43.4;43.3;0.1;0.6;0.4;;;;;
41;2006 3e kwartaal;60015;60653;-638;273093.0;49385;32428;64674.0;63979.0;695.0;391;181;;43.1;43.4;-0.3;47.4;35.3;22.9;44.0;43.5;0.5;0.7;0.5;;;;;
42;2006 4e kwartaal;69740;66704;3036;264157.0;58184;35957;64958.0;64647.0;311.0;4285;4274;;43.4;43.4;0.0;45.2;35.7;23.2;43.5;43.3;0.2;0.6;0.5;;;;;
43;2006;253438;253629;-191;264157.0;208847;135551;;;;3698;3053;10610.0;43.4;43.4;0.0;45.2;35.7;23.2;;;;0.6;0.5;1.8;1115.0;979.0;1555.0;1.9
44;2007 1e kwartaal;64470;63425;1045;269287.0;52802;34146;64649.0;65071.0;-422.0;2072;1751;;43.4;43.2;0.2;45.4;35.7;23.2;42.4;42.7;-0.3;0.9;0.8;;;;;
45;2007 2e kwartaal;65230;68655;-3425;274447.0;54501;37329;65003.0;65648.0;-645.0;-2516;-2504;;43.1;43.1;0.0;45.6;35.7;23.2;42.4;42.8;-0.4;0.7;0.6;;;;;
46;2007 3e kwartaal;59186;62921;-3735;271917.0;49604;34316;64421.0;66325.0;-1904.0;-2718;-2969;;42.4;42.9;-0.5;44.5;35.2;23.2;41.4;42.7;-1.2;0.2;0.1;;;;;
47;2007 4e kwartaal;74049;69370;4679;266221.0;61140;38070;68878.0;67341.0;1537.0;6108;6182;;42.5;42.7;-0.2;43.0;35.2;23.2;43.6;42.6;1.0;0.5;0.4;;;;;
48;2007;262935;264371;-1436;266221.0;218047;143861;;;;2946;2460;9762.0;42.5;42.7;-0.2;43.0;35.2;23.2;;;;0.5;0.4;1.6;1124.0;982.0;1560.0;2.5
49;2008 1e kwartaal;70681;68085;2596;275163.0;56798;36048;69940.0;69870.0;70.0;4502;4098;;42.9;42.9;0.0;43.9;35.4;23.2;43.5;43.5;0.0;0.9;0.8;;;;;
50;2008 2e kwartaal;70079;72944;-2865;278215.0;58079;39398;70180.0;69714.0;466.0;-1124;-1043;;43.1;43.0;0.1;43.8;35.5;23.3;43.5;43.2;0.3;1.1;1.0;;;;;
51;2008 3e kwartaal;63956;66084;-2128;283797.0;53465;36280;70195.0;69501.0;694.0;-1349;-1473;;43.3;43.0;0.4;44.1;35.7;23.3;43.1;42.7;0.4;1.3;1.2;;;;;
