ID;Kenmerken;Perioden;EmotioneelUitgeput_1;LeegGevoel_2;SOchtendsMoeVoelen_3;UitgeputDoorWerk_4;OpZijn_5;BurnOutKlachten_6;Malaiseklachten_7;Migraine_8;WerkgebondenKlachtenBovensteLedematen_9;TotaalRugklachten_10;RSI_11;ZiekteverzuimDoorRSIInAfgelopenJaar_12;MinderGoedeGezondheid_13;ZiekteverzuimInAfgelopen2Maanden_14;k_15DagenVerzuimd_15;k_610DagenVerzuimd_16;k_11OfMeerDagenVerzuimd_17;VerzuimDoorOngeval_18;OngevalInVerkeer_19;OngevalOpWerk_20;Sportongeval_21;OngevalThuisOfElders_22;VerzuimAlleenDoorZiekte_23
0;15 tot 65 jarigen;1997;15;32;15;13;9;10;10.0;7.0;34.0;26.0;19.0;3.0;11;21;65.0;13.0;22.0;11.0;16.0;34.0;22.0;29.0;89.0
1;15 tot 65 jarigen;1998;12;29;13;11;7;8;10.0;8.0;29.0;25.0;16.0;3.0;12;20;63.0;15.0;22.0;9.0;24.0;42.0;13.0;21.0;91.0
2;15 tot 65 jarigen;1999;14;30;14;13;9;9;11.0;9.0;35.0;24.0;21.0;4.0;13;22;62.0;14.0;24.0;9.0;16.0;31.0;28.0;25.0;91.0
3;15 tot 65 jarigen;2000;12;28;14;12;9;8;12.0;9.0;37.0;23.0;23.0;3.0;13;22;63.0;13.0;24.0;10.0;22.0;31.0;18.0;30.0;90.0
4;15 tot 65 jarigen;2001;14;30;17;12;10;10;;;36.0;;;;13;23;62.0;13.0;25.0;10.0;17.0;26.0;27.0;30.0;90.0
5;15 tot 65 jarigen;2002;13;32;16;13;10;9;;;37.0;;;;13;23;62.0;14.0;25.0;9.0;19.0;33.0;18.0;30.0;91.0
6;15 tot 65 jarigen;2003;15;32;17;12;8;10;;;;;;;14;23;66.0;12.0;22.0;9.0;24.0;32.0;14.0;30.0;91.0
7;15 tot 65 jarigen;2004;15;32;18;13;10;11;;;;;;;13;21;67.0;12.0;21.0;9.0;22.0;25.0;20.0;33.0;91.0
8;18 tot 65 jarigen;1997;15;32;15;13;9;10;11.0;7.0;34.0;26.0;19.0;3.0;11;21;65.0;12.0;22.0;10.0;15.0;35.0;21.0;29.0;90.0
9;18 tot 65 jarigen;1998;12;28;12;11;7;8;10.0;8.0;29.0;26.0;16.0;3.0;12;20;62.0;15.0;23.0;9.0;24.0;42.0;13.0;21.0;91.0
10;18 tot 65 jarigen;1999;14;30;14;13;9;10;11.0;9.0;35.0;24.0;21.0;4.0;13;22;62.0;14.0;25.0;9.0;16.0;30.0;28.0;25.0;91.0
11;18 tot 65 jarigen;2000;12;28;14;12;9;8;12.0;9.0;37.0;23.0;23.0;3.0;13;22;63.0;13.0;24.0;10.0;22.0;31.0;18.0;30.0;90.0
