ID;InstitutionalInvestors;Periods;TotalAssets_1;TotalCurrencyAndTransferableDeposits_2;InEuroS_3;InForeignCurrency_4;TotalDeposits_5;TotalInEuroS_6;MonetaryFinancialInstitutions_7;RestOfTheWorld_8;TotalInForeignCurrency_9;MonetaryFinancialInstitutions_10;RestOfTheWorld_11;TotalShortTermSecurities_12;TotalGovernment_13;CentralGovernment_14;TotalFinancialCorporations_15;MonetaryFinancialInstitutions_16;OtherFinIntermAndFinAux_17;TotalOtherDomestic_18;NonFinancialCorporations_19;PrivateCompanies_20;GovernmentCompanies_21;ShortTermSecuritiesRestOfTheWorld_22;TotalLongTermSecurities_23;TotalGovernment_24;CentralGovernment_25;LocalGovernment_26;TotalFinancialCorporations_27;MonetaryFinancialInstitutions_28;NonMMFInvestmentFunds_29;OtherFinIntermAndFinAux_30;CaptiveFinInstAndMoneyLenders_31;InsuranceCorporationsAndPensionFunds_32;TotalOtherDomestic_33;NonFinancialCorporations_34;PrivateCompanies_35;InstitutionsProvidingHealthCare_36;GovernmentCompanies_37;LongTermSecuritiesRestOfTheWorld_38;TotalShortTermLoans_39;TotalGovernment_40;CentralGovernment_41;LocalGovernment_42;SocialSecurityFunds_43;TotalFinancialCorporations_44;NonMMFInvestmentFunds_45;OtherFinIntermAndFinAux_46;InsuranceCorporationsAndPensionFunds_47;TotalOtherDomestic_48;NonFinancialCorporations_49;PrivateCompanies_50;GovernmentCompanies_51;HouseholdsIncludingNPISH_52;ShortTermLoansRestOfTheWorld_53;TotalLongTermLoans_54;TotalGovernment_55;CentralGovernment_56;LocalGovernment_57;SocialSecurityFunds_58;TotalFinancialCorporations_59;MonetaryFinancialInstitutions_60;NonMMFInvestmentFunds_61;OtherFinIntermAndFinAux_62;InsuranceCorporationsAndPensionFunds_63;TotalOtherDomestic_64;NonFinancialCorporations_65;PrivateCompanies_66;InstitutionsProvidingHealthCare_67;GovernmentCompanies_68;HousingCorporations_69;HouseholdsIncludingNPISH_70;LongTermLoansRestOfTheWorld_71;TotalMortgageLoans_72;HousesOfficesAndShops_73;RuralEstates_74;Other_75;RestOfTheWorld_76;TotalListedShares_77;TotalFinancialCorporations_78;MonetaryFinancialInstitutions_79;OtherFinIntermAndFinAux_80;CaptiveFinInstAndMoneyLenders_81;InsuranceCorporationsAndPensionFunds_82;NonFinancialCorporations_83;PrivateCompanies_84;GovernmentCompanies_85;ListedSharesRestOfTheWorld_86;TotalUnlistedShares_87;TotalFinancialCorporations_88;MonetaryFinancialInstitutions_89;OtherFinIntermAndFinAux_90;InsuranceCorporationsAndPensionFunds_91;NonFinancialCorporations_92;PrivateCompanies_93;UnlistedSharesRestOfTheWorld_94;InvestmentFundSharesOrUnitsTotal_95;TotalFinancialCorporations_96;MoneyMarketFunds_97;NonMMFInvestmentFunds_98;InvFundShOrUnitsRestOfTheWorld_99;InsPensionAndStGuaranteeSch_100;NonLifeInsuranceTechnicalReserves_101;OtherEntitlements_102;FinancialDerivatives_103;OtherAccountsReceivablePayable_104;TotalDirectProperty_105;Houses_106;OtherDomestic_107;OfficesAndShops_108;RuralEstates_109;Other_110;RestOfTheWorld_111;OtherAssets_112;TotalLiabilities_113;TotalShortTermSecurities_114;ShortTermSecuritiesRestOfTheWorld_115;TotalLongTermSecurities_116;TotalGovernment_117;CentralGovernment_118;LocalGovernment_119;SocialSecurityFunds_120;TotalFinancialCorporations_121;MonetaryFinancialInstitutions_122;NonMMFInvestmentFunds_123;OtherFinIntermAndFinAux_124;InsuranceCorporationsAndPensionFunds_125;TotalOtherDomestic_126;HouseholdsIncludingNPISH_127;LongTermSecuritiesRestOfTheWorld_128;TotalShortTermLoans_129;TotalGovernment_130;CentralGovernment_131;SocialSecurityFunds_132;TotalFinancialCorporations_133;MonetaryFinancialInstitutions_134;NonMMFInvestmentFunds_135;OtherFinIntermAndFinAux_136;InsuranceCorporationsAndPensionFunds_137;TotalOtherDomestic_138;NonFinancialCorporations_139;HouseholdsIncludingNPISH_140;ShortTermLoansRestOfTheWorld_141;TotalLongTermLoans_142;TotalGovernment_143;CentralGovernment_144;LocalGovernment_145;SocialSecurityFunds_146;TotalFinancialCorporations_147;MonetaryFinancialInstitutions_148;NonMMFInvestmentFunds_149;OtherFinIntermAndFinAux_150;InsuranceCorporationsAndPensionFunds_151;TotalOtherDomestic_152;NonFinancialCorporations_153;HouseholdsIncludingNPISH_154;LongTermLoansRestOfTheWorld_155;TotalEquityAndShares_156;TotalGovernment_157;CentralGovernment_158;LocalGovernment_159;SocialSecurityFunds_160;TotalFinancialCorporations_161;MonetaryFinancialInstitutions_162;NonMMFInvestmentFunds_163;OtherFinIntermAndFinAux_164;InsuranceCorporationsAndPensionFunds_165;TotalOtherDomestic_166;NonFinancialCorporations_167;HouseholdsIncludingNPISH_168;EquityAndSharesRestOfTheWorld_169;InsPensionAndStGuaranteeSch_170;NonLifeInsuranceTechnicalReserves_171;LifeInsuranceAndAnnuityEntitlements_172;PensionEntitlements_173;OtherEntitlements_174;ProvForCallsUnderStandGuarantees_175;EntitlementsToNonPensionBenefits_176;FinancialDerivatives_177;OtherAccountsReceivablePayable_178;OtherLiabilities_179
0;Total institutional investors;1998;729719;4468;3670;798;14494;13887;13887;0;607;417;190;856;94;94;331;162;169;142;142;11.0;131.0;289;215537;95947;95355;592;28051;23281;53;4717;0;0;6431;6431;4598.0;3.0;1831.0;85108;3485;149;74;20;56;2458;0;1414;1045;451;381;280.0;101.0;70;427;109440;23741;13355;10369;17;42884;26403;288;6725;9468;38060;37690;6950.0;5056.0;4682.0;21002.0;370;4756;38502.0;37428.0;119.0;951.0;5.0;220119;37242;7203;30039;0;0;53596;52808.0;787.0;129281;4650;3091;0;549;2542;440;440.0;1119;21188;21188;1868;19320;;21049;;;3952;24147;47501;13915;20574;18819.0;293.0;1462.0;13011;329;729719;0;0;638;0;0;0;0;52;0;0;0;52;300;300;286;9084;396;0;396;7698;3305;0;3681;712;244;175;69;747;14254;32;2;7;23;13316;2938;0;629;9749;327;133;194;578;97083;37;2;0;35;52109;51;958;26934;24166;36342;0;36342;8596;580997.0;;;;;;;;11585;16077
1;Total institutional investors;1999;843880;5407;4838;569;17333;15406;15399;8;1927;395;1532;859;45;45;233;197;36;151;151;151.0;0.0;430;222609;77329;76841;487;23799;18986;20;4339;0;454;5568;5568;3807.0;5.0;1755.0;115913;3887;249;68;30;152;2794;0;2030;765;326;267;245.0;22.0;59;518;95225;16038;7143;8895;0;39619;22840;290;7380;9110;33935;33662;7103.0;4317.0;4049.0;18193.0;273;5634;41366.0;40471.0;103.0;788.0;4.0;319282;40149;9385;30764;0;0;49985;49490.0;496.0;229148;9353;7783;0;3965;3818;314;314.0;1256;22580;22580;1390;21190;;22975;;;5011;24869;52755;15788;21844;20156.0;429.0;1259.0;15122;368;843880;0;0;1035;0;0;0;0;746;272;0;0;474;164;164;125;12381;520;0;520;10564;5926;0;4232;406;286;194;92;1010;15238;19;1;7;11;14155;4163;0;592;9400;318;133;185;746;118253;82;2;0;80;54494;44;890;27179;26381;53017;0;53017;10661;661080.0;;;;;;;;17010;18882
2;Total institutional investors;2000;885658;8006;6769;1237;18213;16574;16574;0;1639;531;1108;494;57;57;139;128;11;9;9;9.0;0.0;290;246417;69103;68933;169;25911;19112;27;6325;0;447;5184;5184;4590.0;1.0;593.0;146219;6461;225;1;0;224;5417;0;4817;600;251;214;152.0;63.0;37;568;78935;11377;3490;7887;0;34064;20862;300;4620;8281;28434;28114;5320.0;4091.0;3088.0;15615.0;320;5060;45238.0;44254.0;111.0;870.0;3.0;315362;35124;7564;27544;0;15;45750;45509.0;241.0;234488;11308;9401;3;4531;4867;304;304.0;1602;28843;28843;1303;27540;;23725;;;5151;31462;65633;17719;26469;24098.0;607.0;1764.0;21444;410;885658;0;0;1140;0;0;0;0;762;288;0;0;474;167;167;210;11089;118;0;118;10022;4446;0;5016;560;754;639;115;194;22071;173;1;113;59;20758;10492;0;1684;8582;327;131;196;813;135624;55;2;0;53;59934;29;1762;26238;31905;63588;0;63588;12047;691476.0;;;;;;;;16620;7639
3;Total institutional investors;2001;878770;7144;6213;931;16903;15337;15333;4;1566;476;1090;878;0;0;314;257;57;0;0;0.0;0.0;564;259830;54782;54619;163;21790;14133;25;7242;0;390;6230;6230;5963.0;2.0;265.0;177028;6355;195;37;48;110;4858;0;3960;898;630;624;344.0;280.0;7;671;72449;8288;2344;5944;0;36353;21061;279;4227;10786;22708;22394;3891.0;3102.0;2358.0;13043.0;314;5100;47308.0;46322.0;46.0;926.0;14.0;304627;34475;6533;27912;0;30;38494;38493.0;1.0;231658;12131;9200;6;4347;4847;395;395.0;2535;26309;26309;401;25908;;22796;;;5339;24309;71976;19761;28990;25983.0;735.0;2271.0;23225;416;878770;0;0;1054;2;0;0;2;668;253;0;0;415;167;167;217;10420;67;0;67;9281;4494;0;4058;729;449;354;95;623;25546;121;1;105;15;24224;11686;0;1209;11329;437;265;172;764;119934;54;2;0;52;54876;8;1144;22843;30881;53558;0;53558;11446;689098.0;;;;;;;;22154;10564
4;Total institutional investors;2002;823080;9048;8301;747;24258;20858;20858;0;3400;2222;1178;857;0;0;316;254;62;0;0;0.0;0.0;541;280993;48652;48424;228;24503;13905;34;10259;0;305;6311;6311;6039.0;2.0;270.0;201527;6819;326;47;156;123;4616;0;4030;586;473;465;322.0;143.0;8;1404;63399;6902;2116;4786;0;37830;22119;230;4873;10608;14708;13880;4088.0;2046.0;1667.0;6079.0;828;3959;47760.0;46786.0;44.0;915.0;15.0;239574;31597;6050;25510;0;37;29397;29396.0;1.0;178580;11826;8243;17;4486;3740;369;369.0;3214;26278;26278;396;25882;;16934;;;6940;26267;61697;19894;26114;23435.0;731.0;1948.0;15689;430;823080;0;0;886;20;0;0;20;573;234;7;0;332;187;187;106;9219;37;0;37;7138;3591;0;3049;498;492;424;68;1552;21238;33;1;0;32;20087;8077;0;1172;10838;426;253;173;692;98247;35;2;0;33;48590;4;1297;17576;29713;38526;0;38526;11096;662325.0;;;;;;;;20066;11099
5;Total institutional investors;2003;897907;10329;9010;1319;22882;20505;19733;772;2377;1306;1071;1082;11;11;520;455;65;0;0;0.0;0.0;551;307945;44327;44165;162;26471;12866;90;13266;0;249;6963;6963;6674.0;2.0;287.0;230184;6775;142;0;8;134;5681;0;4677;1004;392;384;358.0;26.0;8;560;59348;4532;1966;2566;0;40331;20066;217;7742;12306;11677;11212;3966.0;1374.0;1365.0;4507.0;465;2808;44180.0;43205.0;44.0;915.0;16.0;284133;35917;6575;29291;0;51;32984;32983.0;1.0;215232;15931;9604;21;5661;3922;499;499.0;5828;31914;31914;531;31383;;16144;;;10378;26453;59990;19134;25995;23271.0;628.0;2096.0;14861;423;897907;0;0;1227;26;4;0;22;552;213;8;0;331;366;366;283;12401;33;0;33;9125;2845;0;5276;1004;583;509;74;2660;22267;0;0;0;0;21189;8056;0;610;12523;397;225;172;681;108811;245;2;0;243;56633;4;1416;19922;35291;39845;0;39845;12088;726650.0;;;;;;;;16167;10384
6;Total institutional investors;2004;971152;9008;7626;1382;23919;20089;18785;1304;3830;460;3370;696;0;0;250;250;0;40;40;40.0;0.0;406;361549;43945;43761;184;29265;12710;254;16049;0;252;6866;6866;6597.0;1.0;268.0;281473;5730;152;0;18;134;3822;0;3409;413;269;261;235.0;26.0;8;1487;47325;3583;1770;1813;0;31173;16790;191;7104;7088;10541;10227;4443.0;1196.0;1085.0;3503.0;314;2028;40339.0;39836.0;110.0;378.0;15.0;317162;38805;7672;31075;0;58;33009;33008.0;1.0;245348;17845;11119;25;6486;4608;499;499.0;6227;37231;37231;608;36623;;13612;;;12915;24141;59245;19525;26130;23728.0;743.0;1659.0;13590;435;971152;0;0;1732;10;4;0;6;701;195;82;0;424;338;338;683;9756;36;0;36;6514;3048;0;3053;413;126;58;68;3080;15548;0;0;0;0;14436;6959;0;198;7279;376;200;176;736;118415;559;2;0;557;68681;2;2871;26040;39768;35647;0;35647;13528;793117.0;;;;;;;;22436;10148
7;Total institutional investors;2005 before break;1108522;10834;9427;1407;25813;22606;19000;3606;3207;1243;1964;125;0;0;21;4;17;0;0;0.0;0.0;104;406405;44491;44357;134;29459;11469;157;17601;0;232;6804;6804;6511.0;1.0;292.0;325651;8955;1538;1342;59;137;5438;0;5016;422;271;263;248.0;15.0;8;1708;44616;2939;1612;1327;0;32272;18039;184;7043;7006;7948;7621;2808.0;1083.0;874.0;2856.0;327;1457;38398.0;37517.0;113.0;746.0;22.0;402023;46803;9725;37078;0;0;29705;29704.0;1.0;325515;21778;9739;42;4514;5183;815;815.0;11224;44249;44249;690;43559;;13978;;;6097;23930;60643;18685;25540;23268.0;1034.0;1238.0;16418;678;1108522;0;0;2394;9;3;0;6;626;237;3;0;386;1072;1072;687;17292;61;0;61;13134;5112;0;7600;422;220;92;128;3877;14786;0;0;0;0;13666;6286;0;190;7190;382;256;126;738;126816;787;2;0;785;74688;0;1502;25946;47240;31878;0;31878;19463;905235.0;;;;;;;;33029;8970
8;Total institutional investors;2005 after break;1108522;10834;9427;1407;25813;22606;19000;3606;3207;1243;1964;125;0;0;21;4;17;0;0;0.0;0.0;104;406405;44491;44357;134;29459;11469;157;17601;0;232;6804;6804;6511.0;1.0;292.0;325651;8955;1538;1342;59;137;5438;0;5016;422;271;263;248.0;15.0;8;1708;44616;2939;1612;1327;0;32272;18039;184;7043;7006;7948;7621;2808.0;1083.0;874.0;2856.0;327;1457;38398.0;37517.0;113.0;746.0;22.0;324512;46803;9725;37078;0;0;29705;29704.0;1.0;248004;21778;9739;42;4514;5183;815;815.0;11224;121760;44249;690;43559;77511.0;13978;;;6097;23930;60643;18685;25540;23268.0;1034.0;1238.0;16418;678;1108522;0;0;2394;9;3;0;6;626;237;3;0;386;1072;1072;687;17292;61;0;61;13134;5112;0;7600;422;220;92;128;3877;14786;0;0;0;0;13666;6286;0;190;7190;382;256;126;738;126816;787;2;0;785;74688;0;1502;25946;47240;31878;0;31878;19463;905235.0;;;;;;;;33029;8970
9;Total institutional investors;2006;1208227;11846;10970;876;36721;33264;17995;15269;3457;1123;2334;3233;447;447;611;162;449;0;0;0.0;0.0;2175;424678;39204;39154;50;28554;10230;155;17950;0;219;6778;6778;6515.0;0.0;263.0;350142;12053;545;545;0;0;2963;0;2526;437;157;157;157.0;0.0;0;8388;43997;2671;1431;1240;0;32521;17920;179;6887;7535;7215;6698;2813.0;964.0;745.0;2176.0;517;1590;36307.0;35505.0;105.0;682.0;15.0;344584;48964;10273;38691;0;0;33870;33869.0;1.0;261750;30233;14239;50;7687;6502;833;833.0;15161;142851;50267;863;49404;92584.0;12647;;;8612;38456;61262;15354;26570;24259.0;958.0;1353.0;19338;747;1208227;0;0;2813;3;3;0;0;616;242;0;0;374;1064;1064;1130;40634;24;0;24;11171;3991;0;6743;437;261;135;126;29178;15452;0;0;0;0;14504;6607;0;183;7714;326;200;126;622;142319;0;0;0;0;82058;0;1948;26152;53958;34358;0;34358;25903;955999.0;;;;;;;;39755;11255
