ID;HerkomstgroeperingMoeder;Perioden;TotaalLevendgeborenen_1;GemiddeldKindertalPerVrouw_2
0;Totaal herkomstgroeperingen;2014;174575;1.71
1;Totaal herkomstgroeperingen;2015;177520;1.73
2;Totaal herkomstgroeperingen;2016;180330;1.74
3;Totaal herkomstgroeperingen;2017;182531;1.74
4;Totaal herkomstgroeperingen;2018;184529;1.75
5;Totaal herkomstgroeperingen;2019;186355;1.75
6;Totaal herkomstgroeperingen;2020;187483;1.75
7;Totaal herkomstgroeperingen;2021;188673;1.75
8;Totaal herkomstgroeperingen;2022;189812;1.75
9;Totaal herkomstgroeperingen;2023;190821;1.75
10;Totaal herkomstgroeperingen;2024;191530;1.75
11;Totaal herkomstgroeperingen;2025;192051;1.75
12;Totaal herkomstgroeperingen;2026;192522;1.75
13;Totaal herkomstgroeperingen;2027;192900;1.75
14;Totaal herkomstgroeperingen;2028;193175;1.75
15;Totaal herkomstgroeperingen;2029;193309;1.75
16;Totaal herkomstgroeperingen;2030;193272;1.75
17;Totaal herkomstgroeperingen;2031;193029;1.75
18;Totaal herkomstgroeperingen;2032;192550;1.75
19;Totaal herkomstgroeperingen;2033;191836;1.75
20;Totaal herkomstgroeperingen;2034;190912;1.75
21;Totaal herkomstgroeperingen;2035;189818;1.75
22;Totaal herkomstgroeperingen;2036;188621;1.75
23;Totaal herkomstgroeperingen;2037;187392;1.75
24;Totaal herkomstgroeperingen;2038;186194;1.75
25;Totaal herkomstgroeperingen;2039;185080;1.75
26;Totaal herkomstgroeperingen;2040;184095;1.75
27;Totaal herkomstgroeperingen;2041;183276;1.75
28;Totaal herkomstgroeperingen;2042;182669;1.75
29;Totaal herkomstgroeperingen;2043;182312;1.75
30;Totaal herkomstgroeperingen;2044;182230;1.75
31;Totaal herkomstgroeperingen;2045;182429;1.75
32;Totaal herkomstgroeperingen;2046;182888;1.75
33;Totaal herkomstgroeperingen;2047;183561;1.75
34;Totaal herkomstgroeperingen;2048;184397;1.75
35;Totaal herkomstgroeperingen;2049;185342;1.75
36;Totaal herkomstgroeperingen;2050;186340;1.75
37;Totaal herkomstgroeperingen;2051;187349;1.75
38;Totaal herkomstgroeperingen;2052;188326;1.75
39;Totaal herkomstgroeperingen;2053;189246;1.75
40;Totaal herkomstgroeperingen;2054;190082;1.75
41;Totaal herkomstgroeperingen;2055;190814;1.75
42;Totaal herkomstgroeperingen;2056;191424;1.75
43;Totaal herkomstgroeperingen;2057;191910;1.75
44;Totaal herkomstgroeperingen;2058;192269;1.75
45;Totaal herkomstgroeperingen;2059;192500;1.75
46;Autochtoon / tweedegeneratieallochtoon;2014;143821;1.72
47;Autochtoon / tweedegeneratieallochtoon;2015;146677;1.75
48;Autochtoon / tweedegeneratieallochtoon;2016;149276;1.77
49;Autochtoon / tweedegeneratieallochtoon;2017;151174;1.78
50;Autochtoon / tweedegeneratieallochtoon;2018;152874;1.79
51;Autochtoon / tweedegeneratieallochtoon;2019;154470;1.79
52;Autochtoon / tweedegeneratieallochtoon;2020;155444;1.79
53;Autochtoon / tweedegeneratieallochtoon;2021;156533;1.79
54;Autochtoon / tweedegeneratieallochtoon;2022;157592;1.79
55;Autochtoon / tweedegeneratieallochtoon;2023;158546;1.79
56;Autochtoon / tweedegeneratieallochtoon;2024;159218;1.79
57;Autochtoon / tweedegeneratieallochtoon;2025;159705;1.79
58;Autochtoon / tweedegeneratieallochtoon;2026;160135;1.79
59;Autochtoon / tweedegeneratieallochtoon;2027;160465;1.79
60;Autochtoon / tweedegeneratieallochtoon;2028;160688;1.79
61;Autochtoon / tweedegeneratieallochtoon;2029;160753;1.79
62;Autochtoon / tweedegeneratieallochtoon;2030;160639;1.79
63;Autochtoon / tweedegeneratieallochtoon;2031;160307;1.79
64;Autochtoon / tweedegeneratieallochtoon;2032;159724;1.79
65;Autochtoon / tweedegeneratieallochtoon;2033;158896;1.79
66;Autochtoon / tweedegeneratieallochtoon;2034;157848;1.79
67;Autochtoon / tweedegeneratieallochtoon;2035;156625;1.79
68;Autochtoon / tweedegeneratieallochtoon;2036;155289;1.79
69;Autochtoon / tweedegeneratieallochtoon;2037;153915;1.8
70;Autochtoon / tweedegeneratieallochtoon;2038;152568;1.8
71;Autochtoon / tweedegeneratieallochtoon;2039;151304;1.8
72;Autochtoon / tweedegeneratieallochtoon;2040;150169;1.8
73;Autochtoon / tweedegeneratieallochtoon;2041;149202;1.8
74;Autochtoon / tweedegeneratieallochtoon;2042;148453;1.8
75;Autochtoon / tweedegeneratieallochtoon;2043;147956;1.8
76;Autochtoon / tweedegeneratieallochtoon;2044;147738;1.8
77;Autochtoon / tweedegeneratieallochtoon;2045;147807;1.8
78;Autochtoon / tweedegeneratieallochtoon;2046;148141;1.8
79;Autochtoon / tweedegeneratieallochtoon;2047;148691;1.8
80;Autochtoon / tweedegeneratieallochtoon;2048;149411;1.8
81;Autochtoon / tweedegeneratieallochtoon;2049;150244;1.8
82;Autochtoon / tweedegeneratieallochtoon;2050;151128;1.8
83;Autochtoon / tweedegeneratieallochtoon;2051;152028;1.8
84;Autochtoon / tweedegeneratieallochtoon;2052;152899;1.8
85;Autochtoon / tweedegeneratieallochtoon;2053;153721;1.8
86;Autochtoon / tweedegeneratieallochtoon;2054;154454;1.79
87;Autochtoon / tweedegeneratieallochtoon;2055;155094;1.79
88;Autochtoon / tweedegeneratieallochtoon;2056;155612;1.79
89;Autochtoon / tweedegeneratieallochtoon;2057;156010;1.79
90;Autochtoon / tweedegeneratieallochtoon;2058;156289;1.79
91;Autochtoon / tweedegeneratieallochtoon;2059;156447;1.79
92;Eerstegeneratieallochtonen;2014;30754;1.7
93;Eerstegeneratieallochtonen;2015;30844;1.69
94;Eerstegeneratieallochtonen;2016;31054;1.67
95;Eerstegeneratieallochtonen;2017;31357;1.66
96;Eerstegeneratieallochtonen;2018;31655;1.65
97;Eerstegeneratieallochtonen;2019;31885;1.65
98;Eerstegeneratieallochtonen;2020;32040;1.64
99;Eerstegeneratieallochtonen;2021;32140;1.64
100;Eerstegeneratieallochtonen;2022;32220;1.64
101;Eerstegeneratieallochtonen;2023;32274;1.63
102;Eerstegeneratieallochtonen;2024;32312;1.63
103;Eerstegeneratieallochtonen;2025;32346;1.63
104;Eerstegeneratieallochtonen;2026;32387;1.62
105;Eerstegeneratieallochtonen;2027;32435;1.62
106;Eerstegeneratieallochtonen;2028;32487;1.62
107;Eerstegeneratieallochtonen;2029;32555;1.62
108;Eerstegeneratieallochtonen;2030;32633;1.61
109;Eerstegeneratieallochtonen;2031;32722;1.61
110;Eerstegeneratieallochtonen;2032;32826;1.61
111;Eerstegeneratieallochtonen;2033;32940;1.61
112;Eerstegeneratieallochtonen;2034;33064;1.61
113;Eerstegeneratieallochtonen;2035;33194;1.61
114;Eerstegeneratieallochtonen;2036;33333;1.6
115;Eerstegeneratieallochtonen;2037;33477;1.6
116;Eerstegeneratieallochtonen;2038;33627;1.6
117;Eerstegeneratieallochtonen;2039;33777;1.6
118;Eerstegeneratieallochtonen;2040;33926;1.6
119;Eerstegeneratieallochtonen;2041;34074;1.6
120;Eerstegeneratieallochtonen;2042;34216;1.6
121;Eerstegeneratieallochtonen;2043;34357;1.6
122;Eerstegeneratieallochtonen;2044;34492;1.6
123;Eerstegeneratieallochtonen;2045;34623;1.59
124;Eerstegeneratieallochtonen;2046;34747;1.59
125;Eerstegeneratieallochtonen;2047;34870;1.59
126;Eerstegeneratieallochtonen;2048;34986;1.59
127;Eerstegeneratieallochtonen;2049;35098;1.59
128;Eerstegeneratieallochtonen;2050;35213;1.59
129;Eerstegeneratieallochtonen;2051;35321;1.59
130;Eerstegeneratieallochtonen;2052;35426;1.59
131;Eerstegeneratieallochtonen;2053;35525;1.59
132;Eerstegeneratieallochtonen;2054;35628;1.59
133;Eerstegeneratieallochtonen;2055;35720;1.59
134;Eerstegeneratieallochtonen;2056;35812;1.59
135;Eerstegeneratieallochtonen;2057;35901;1.59
136;Eerstegeneratieallochtonen;2058;35979;1.59
137;Eerstegeneratieallochtonen;2059;36054;1.59
138;Westerse allochtonen;2014;10710;1.42
139;Westerse allochtonen;2015;11102;1.42
140;Westerse allochtonen;2016;11497;1.42
141;Westerse allochtonen;2017;11911;1.42
142;Westerse allochtonen;2018;12326;1.42
143;Westerse allochtonen;2019;12730;1.42
144;Westerse allochtonen;2020;13104;1.43
145;Westerse allochtonen;2021;13433;1.43
146;Westerse allochtonen;2022;13715;1.43
147;Westerse allochtonen;2023;13945;1.44
148;Westerse allochtonen;2024;14126;1.44
149;Westerse allochtonen;2025;14277;1.44
150;Westerse allochtonen;2026;14407;1.44
151;Westerse allochtonen;2027;14521;1.44
152;Westerse allochtonen;2028;14619;1.44
153;Westerse allochtonen;2029;14709;1.44
154;Westerse allochtonen;2030;14794;1.44
155;Westerse allochtonen;2031;14873;1.44
156;Westerse allochtonen;2032;14951;1.44
157;Westerse allochtonen;2033;15026;1.44
158;Westerse allochtonen;2034;15101;1.44
159;Westerse allochtonen;2035;15176;1.44
160;Westerse allochtonen;2036;15252;1.44
161;Westerse allochtonen;2037;15326;1.44
162;Westerse allochtonen;2038;15402;1.45
163;Westerse allochtonen;2039;15479;1.45
164;Westerse allochtonen;2040;15551;1.45
165;Westerse allochtonen;2041;15626;1.45
166;Westerse allochtonen;2042;15697;1.45
167;Westerse allochtonen;2043;15766;1.45
168;Westerse allochtonen;2044;15836;1.45
169;Westerse allochtonen;2045;15903;1.45
170;Westerse allochtonen;2046;15967;1.45
171;Westerse allochtonen;2047;16031;1.45
172;Westerse allochtonen;2048;16090;1.45
173;Westerse allochtonen;2049;16150;1.45
174;Westerse allochtonen;2050;16210;1.45
175;Westerse allochtonen;2051;16264;1.45
176;Westerse allochtonen;2052;16318;1.45
177;Westerse allochtonen;2053;16367;1.45
178;Westerse allochtonen;2054;16418;1.45
179;Westerse allochtonen;2055;16463;1.45
180;Westerse allochtonen;2056;16510;1.45
181;Westerse allochtonen;2057;16550;1.45
182;Westerse allochtonen;2058;16589;1.45
183;Westerse allochtonen;2059;16624;1.45
184;Niet-westerse allochtonen ;2014;20044;1.95
185;Niet-westerse allochtonen ;2015;19742;1.93
186;Niet-westerse allochtonen ;2016;19557;1.91
187;Niet-westerse allochtonen ;2017;19445;1.9
188;Niet-westerse allochtonen ;2018;19329;1.88
189;Niet-westerse allochtonen ;2019;19156;1.88
190;Niet-westerse allochtonen ;2020;18935;1.87
191;Niet-westerse allochtonen ;2021;18707;1.86
192;Niet-westerse allochtonen ;2022;18505;1.86
193;Niet-westerse allochtonen ;2023;18330;1.85
194;Niet-westerse allochtonen ;2024;18187;1.84
195;Niet-westerse allochtonen ;2025;18069;1.84
196;Niet-westerse allochtonen ;2026;17981;1.83
197;Niet-westerse allochtonen ;2027;17913;1.82
198;Niet-westerse allochtonen ;2028;17869;1.82
199;Niet-westerse allochtonen ;2029;17846;1.81
200;Niet-westerse allochtonen ;2030;17839;1.8
201;Niet-westerse allochtonen ;2031;17849;1.8
202;Niet-westerse allochtonen ;2032;17876;1.79
203;Niet-westerse allochtonen ;2033;17914;1.79
204;Niet-westerse allochtonen ;2034;17963;1.78
205;Niet-westerse allochtonen ;2035;18017;1.78
206;Niet-westerse allochtonen ;2036;18081;1.77
207;Niet-westerse allochtonen ;2037;18151;1.77
208;Niet-westerse allochtonen ;2038;18225;1.77
209;Niet-westerse allochtonen ;2039;18298;1.76
210;Niet-westerse allochtonen ;2040;18374;1.76
211;Niet-westerse allochtonen ;2041;18448;1.76
212;Niet-westerse allochtonen ;2042;18519;1.75
213;Niet-westerse allochtonen ;2043;18590;1.75
214;Niet-westerse allochtonen ;2044;18655;1.75
215;Niet-westerse allochtonen ;2045;18720;1.75
216;Niet-westerse allochtonen ;2046;18780;1.74
217;Niet-westerse allochtonen ;2047;18839;1.74
218;Niet-westerse allochtonen ;2048;18896;1.74
219;Niet-westerse allochtonen ;2049;18948;1.74
220;Niet-westerse allochtonen ;2050;19003;1.74
221;Niet-westerse allochtonen ;2051;19057;1.73
222;Niet-westerse allochtonen ;2052;19108;1.73
223;Niet-westerse allochtonen ;2053;19158;1.73
224;Niet-westerse allochtonen ;2054;19210;1.73
225;Niet-westerse allochtonen ;2055;19257;1.73
226;Niet-westerse allochtonen ;2056;19302;1.73
227;Niet-westerse allochtonen ;2057;19350;1.73
228;Niet-westerse allochtonen ;2058;19391;1.73
229;Niet-westerse allochtonen ;2059;19430;1.73
230;27 EU-landen;2014;7740;1.42
231;27 EU-landen;2015;8160;1.42
232;27 EU-landen;2016;8570;1.43
233;27 EU-landen;2017;8976;1.43
234;27 EU-landen;2018;9361;1.44
235;27 EU-landen;2019;9715;1.45
236;27 EU-landen;2020;10033;1.46
237;27 EU-landen;2021;10305;1.46
238;27 EU-landen;2022;10529;1.47
239;27 EU-landen;2023;10701;1.47
240;27 EU-landen;2024;10827;1.47
241;27 EU-landen;2025;10924;1.47
242;27 EU-landen;2026;11001;1.47
243;27 EU-landen;2027;11064;1.47
244;27 EU-landen;2028;11112;1.47
245;27 EU-landen;2029;11154;1.47
246;27 EU-landen;2030;11190;1.47
247;27 EU-landen;2031;11222;1.47
248;27 EU-landen;2032;11253;1.47
249;27 EU-landen;2033;11283;1.47
250;27 EU-landen;2034;11314;1.47
251;27 EU-landen;2035;11346;1.47
252;27 EU-landen;2036;11379;1.47
253;27 EU-landen;2037;11411;1.47
254;27 EU-landen;2038;11447;1.47
255;27 EU-landen;2039;11483;1.47
256;27 EU-landen;2040;11517;1.47
257;27 EU-landen;2041;11555;1.47
258;27 EU-landen;2042;11591;1.47
259;27 EU-landen;2043;11627;1.47
260;27 EU-landen;2044;11666;1.47
261;27 EU-landen;2045;11702;1.47
262;27 EU-landen;2046;11738;1.47
263;27 EU-landen;2047;11775;1.47
264;27 EU-landen;2048;11808;1.47
265;27 EU-landen;2049;11843;1.47
266;27 EU-landen;2050;11878;1.47
267;27 EU-landen;2051;11909;1.47
268;27 EU-landen;2052;11942;1.47
269;27 EU-landen;2053;11969;1.47
270;27 EU-landen;2054;12001;1.47
271;27 EU-landen;2055;12027;1.47
272;27 EU-landen;2056;12057;1.47
273;27 EU-landen;2057;12080;1.47
274;27 EU-landen;2058;12104;1.47
275;27 EU-landen;2059;12125;1.47
276;10;2014;2024;1.53
277;10;2015;2045;1.52
278;10;2016;2065;1.51
279;10;2017;2088;1.51
280;10;2018;2118;1.5
281;10;2019;2157;1.5
282;10;2020;2194;1.49
283;10;2021;2229;1.49
284;10;2022;2260;1.49
285;10;2023;2289;1.48
286;10;2024;2316;1.48
287;10;2025;2342;1.48
288;10;2026;2369;1.48
289;10;2027;2395;1.48
290;10;2028;2420;1.48
291;10;2029;2446;1.48
292;10;2030;2473;1.48
293;10;2031;2500;1.49
294;10;2032;2527;1.49
295;10;2033;2552;1.49
296;10;2034;2577;1.49
297;10;2035;2602;1.49
298;10;2036;2626;1.49
299;10;2037;2649;1.49
300;10;2038;2672;1.5
301;10;2039;2694;1.5
302;10;2040;2715;1.5
303;10;2041;2735;1.5
304;10;2042;2753;1.5
305;10;2043;2770;1.5
306;10;2044;2785;1.5
307;10;2045;2800;1.5
308;10;2046;2814;1.5
309;10;2047;2827;1.5
310;10;2048;2840;1.5
