ID;Sales;SBI08SectionsAndDivisions;AllPeriods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;WeightFactor_4
0;Total sales;B-E Industry (no construction), energy;2018 January;90.7;;;493529
1;Total sales;B-E Industry (no construction), energy;2018 February;90.5;-0.3;;493529
2;Total sales;B-E Industry (no construction), energy;2018 March;90.7;0.2;;493529
3;Total sales;B-E Industry (no construction), energy;2018 April;91.0;0.3;;493529
4;Total sales;B-E Industry (no construction), energy;2018 May;92.0;1.1;;493529
5;Total sales;B-E Industry (no construction), energy;2018 June;92.5;0.5;;493529
6;Total sales;B-E Industry (no construction), energy;2018 July;92.7;0.2;;493529
7;Total sales;B-E Industry (no construction), energy;2018 August;92.8;0.2;;493529
8;Total sales;B-E Industry (no construction), energy;2018 September;93.2;0.4;;493529
9;Total sales;B-E Industry (no construction), energy;2018 October;93.7;0.6;;493529
10;Total sales;B-E Industry (no construction), energy;2018 November;92.6;-1.2;;493529
11;Total sales;B-E Industry (no construction), energy;2018 December;91.2;-1.5;;493529
12;Total sales;B-E Industry (no construction), energy;2018;92.0;;;493529
13;Total sales;B-E Industry (no construction), energy;2019 January;92.0;0.9;1.4;493529
14;Total sales;B-E Industry (no construction), energy;2019 February;92.2;0.2;1.8;493529
15;Total sales;B-E Industry (no construction), energy;2019 March;92.3;0.2;1.8;493529
16;Total sales;B-E Industry (no construction), energy;2019 April;93.1;0.9;2.4;493529
17;Total sales;B-E Industry (no construction), energy;2019 May;93.2;0.0;1.3;493529
18;Total sales;B-E Industry (no construction), energy;2019 June;92.1;-1.1;-0.4;493529
19;Total sales;B-E Industry (no construction), energy;2019 July;92.1;-0.1;-0.6;493529
20;Total sales;B-E Industry (no construction), energy;2019 August;91.6;-0.5;-1.3;493529
21;Total sales;B-E Industry (no construction), energy;2019 September;91.9;0.3;-1.4;493529
22;Total sales;B-E Industry (no construction), energy;2019 October;92.0;0.2;-1.8;493529
23;Total sales;B-E Industry (no construction), energy;2019 November;92.1;0.1;-0.5;493529
24;Total sales;B-E Industry (no construction), energy;2019 December;92.4;0.3;1.3;493529
25;Total sales;B-E Industry (no construction), energy;2019;92.3;;0.3;493529
26;Total sales;B-E Industry (no construction), energy;2020 January;92.7;0.3;0.8;493529
27;Total sales;B-E Industry (no construction), energy;2020 February;92.1;-0.7;-0.1;493529
28;Total sales;B-E Industry (no construction), energy;2020 March;89.3;-3.1;-3.3;493529
29;Total sales;B-E Industry (no construction), energy;2020 April;87.1;-2.4;-6.5;493529
30;Total sales;B-E Industry (no construction), energy;2020 May;87.2;0.1;-6.4;493529
31;Total sales;B-E Industry (no construction), energy;2020 June;87.9;0.8;-4.6;493529
32;Total sales;B-E Industry (no construction), energy;2020 July;88.2;0.3;-4.2;493529
33;Total sales;B-E Industry (no construction), energy;2020 August;88.2;0.0;-3.7;493529
34;Total sales;B-E Industry (no construction), energy;2020 September;88.2;0.1;-4.0;493529
35;Total sales;B-E Industry (no construction), energy;2020 October;88.4;0.2;-4.0;493529
36;Total sales;B-E Industry (no construction), energy;2020 November;88.8;0.5;-3.6;493529
37;Total sales;B-E Industry (no construction), energy;2020 December;89.6;0.9;-3.0;493529
38;Total sales;B-E Industry (no construction), energy;2020;89.0;;-3.6;493529
39;Total sales;B-E Industry (no construction), energy;2021 January;91.7;2.3;-1.1;493529
40;Total sales;B-E Industry (no construction), energy;2021 February;93.0;1.5;1.0;493529
41;Total sales;B-E Industry (no construction), energy;2021 March;94.5;1.6;5.9;493529
42;Total sales;B-E Industry (no construction), energy;2021 April;96.0;1.5;10.2;493529
43;Total sales;B-E Industry (no construction), energy;2021 May;97.0;1.0;11.2;493529
44;Total sales;B-E Industry (no construction), energy;2021 June;98.1;1.1;11.5;493529
45;Total sales;B-E Industry (no construction), energy;2021 July;100.4;2.4;13.9;493529
46;Total sales;B-E Industry (no construction), energy;2021 August;101.4;1.0;14.9;493529
47;Total sales;B-E Industry (no construction), energy;2021 September;103.1;1.7;16.8;493529
48;Total sales;B-E Industry (no construction), energy;2021 October;106.8;3.6;20.8;493529
49;Total sales;B-E Industry (no construction), energy;2021 November;108.5;1.6;22.1;493529
50;Total sales;B-E Industry (no construction), energy;2021 December;109.7;1.1;22.4;493529
51;Total sales;B-E Industry (no construction), energy;2021;100.0;;12.4;493529
52;Total sales;B-E Industry (no construction), energy;2022 January;114.5;4.4;24.9;493529
53;Total sales;B-E Industry (no construction), energy;2022 February;115.5;0.9;24.1;493529
54;Total sales;B-E Industry (no construction), energy;2022 March;121.0;4.8;28.0;493529
55;Total sales;B-E Industry (no construction), energy;2022 April;125.5;3.8;30.8;493529
56;Total sales;B-E Industry (no construction), energy;2022 May;126.0;0.4;29.9;493529
57;Total sales;B-E Industry (no construction), energy;2022 June;128.1;1.7;30.7;493529
58;Total sales;B-E Industry (no construction), energy;2022 July;131.6;2.7;31.1;493529
59;Total sales;B-E Industry (no construction), energy;2022 August;134.1;1.9;32.3;493529
60;Total sales;B-E Industry (no construction), energy;2022 September;133.4;-0.5;29.4;493529
61;Total sales;B-E Industry (no construction), energy;2022 October;133.7;0.2;25.2;493529
62;Total sales;B-E Industry (no construction), energy;2022 November;131.2;-1.9;21.0;493529
63;Total sales;B-E Industry (no construction), energy;2022 December;129.1;-1.6;17.7;493529
64;Total sales;B-E Industry (no construction), energy;2022;127.0;;27.0;493529
65;Total sales;B-E Industry (no construction), energy;2023 January;130.7;1.2;14.2;493529
66;Total sales;B-E Industry (no construction), energy;2023 February;130.2;-0.4;12.8;493529
67;Total sales;B-E Industry (no construction), energy;2023 March;128.2;-1.6;5.9;493529
68;Total sales;B-E Industry (no construction), energy;2023 April;125.4;-2.1;-0.1;493529
69;Total sales;B-E Industry (no construction), energy;2023 May;123.3;-1.7;-2.1;493529
70;Total sales;B-E Industry (no construction), energy;2023 June;123.2;-0.1;-3.8;493529
71;Total sales;B-E Industry (no construction), energy;2023 July;121.6;-1.3;-7.6;493529
72;Total sales;B-E Industry (no construction), energy;2023 August;122.8;1.0;-8.4;493529
73;Total sales;B-E Industry (no construction), energy;2023 September;124.4;1.3;-6.8;493529
74;Total sales;B-E Industry (no construction), energy;2023 October;123.2;-0.9;-7.9;493529
75;Total sales;B-E Industry (no construction), energy;2023 November;122.8;-0.3;-6.4;493529
76;Total sales;B-E Industry (no construction), energy;2023 December;121.4;-1.2;-6.0;493529
77;Total sales;B-E Industry (no construction), energy;2023;124.8;;-1.7;493529
78;Total sales;B-E Industry (no construction), energy;2024 January;121.0;-0.3;-7.4;493529
79;Total sales;B-E Industry (no construction), energy;2024 February;121.0;0.0;-7.1;493529
80;Total sales;B-E Industry (no construction), energy;2024 March;121.5;0.4;-5.2;493529
81;Total sales;B-E Industry (no construction), energy;2024 April;121.8;0.2;-2.9;493529
82;Total sales;B-E Industry (no construction), energy;2024 May;121.0;-0.7;-1.9;493529
83;Total sales;B-E Industry (no construction), energy;2024 June;121.3;0.3;-1.5;493529
84;Total sales;B-E Industry (no construction), energy;2024 July;121.2;-0.1;-0.3;493529
85;Total sales;B-E Industry (no construction), energy;2024 August;120.4;-0.6;-1.9;493529
86;Total sales;B-E Industry (no construction), energy;2024 September;120.0;-0.3;-3.5;493529
87;Total sales;B-E Industry (no construction), energy;2024 October;120.4;0.3;-2.3;493529
88;Total sales;B-E Industry (no construction), energy;2024 November;121.5;0.9;-1.1;493529
89;Total sales;B-E Industry (no construction), energy;2024 December;121.8;0.3;0.4;493529
90;Total sales;B-E Industry (no construction), energy;2024;121.1;;-3.0;493529
91;Total sales;B-E Industry (no construction), energy;2025 January;123.5;1.4;2.1;493529
92;Total sales;B-E Industry (no construction), energy;2025 February;124.1;0.5;2.6;493529
93;Total sales;B Mining and quarrying;2018 January;77.6;;;11409
94;Total sales;B Mining and quarrying;2018 February;74.3;-4.3;;11409
95;Total sales;B Mining and quarrying;2018 March;75.3;1.4;;11409
96;Total sales;B Mining and quarrying;2018 April;74.7;-0.7;;11409
97;Total sales;B Mining and quarrying;2018 May;77.9;4.2;;11409
98;Total sales;B Mining and quarrying;2018 June;81.7;4.8;;11409
99;Total sales;B Mining and quarrying;2018 July;83.1;1.7;;11409
100;Total sales;B Mining and quarrying;2018 August;83.5;0.6;;11409
101;Total sales;B Mining and quarrying;2018 September;87.3;4.5;;11409
102;Total sales;B Mining and quarrying;2018 October;93.5;7.1;;11409
103;Total sales;B Mining and quarrying;2018 November;87.6;-6.3;;11409
104;Total sales;B Mining and quarrying;2018 December;84.1;-4.0;;11409
105;Total sales;B Mining and quarrying;2018;81.7;;;11409
106;Total sales;B Mining and quarrying;2019 January;83.4;-0.9;7.4;11409
107;Total sales;B Mining and quarrying;2019 February;84.0;0.7;13.0;11409
108;Total sales;B Mining and quarrying;2019 March;75.5;-10.1;0.3;11409
109;Total sales;B Mining and quarrying;2019 April;72.9;-3.4;-2.4;11409
110;Total sales;B Mining and quarrying;2019 May;72.6;-0.4;-6.8;11409
111;Total sales;B Mining and quarrying;2019 June;67.6;-6.9;-17.2;11409
112;Total sales;B Mining and quarrying;2019 July;64.8;-4.2;-22.0;11409
113;Total sales;B Mining and quarrying;2019 August;63.8;-1.4;-23.6;11409
114;Total sales;B Mining and quarrying;2019 September;65.0;1.8;-25.6;11409
115;Total sales;B Mining and quarrying;2019 October;70.1;7.9;-25.0;11409
116;Total sales;B Mining and quarrying;2019 November;71.1;1.4;-18.9;11409
117;Total sales;B Mining and quarrying;2019 December;73.3;3.1;-12.9;11409
118;Total sales;B Mining and quarrying;2019;72.0;;-11.9;11409
119;Total sales;B Mining and quarrying;2020 January;72.6;-0.9;-12.9;11409
120;Total sales;B Mining and quarrying;2020 February;67.3;-7.3;-19.8;11409
121;Total sales;B Mining and quarrying;2020 March;58.7;-12.8;-22.2;11409
122;Total sales;B Mining and quarrying;2020 April;54.7;-6.9;-25.0;11409
