ID;Geslacht;Leeftijd;GGDRegio;Perioden;FormeelOnverzekerdenOpPeildatum_1;NogOnverzekerd6MaandenNaPeildatum_2;FormeelOnverzekerdenOpPeildatum_3;NogOnverzekerd6MaandenNaPeildatum_4
0;3;9;Nederland;1 mei 2006;231160.0;172800.0;1.4;1.1
1;3;9;Nederland;1 mei 2007;201580.0;150710.0;1.2;0.9
2;3;9;Nederland;1 mei 2008;195860.0;152810.0;1.2;0.9
3;3;9;Nederland;1 mei 2009;193700.0;152240.0;1.2;0.9
4;3;9;Nederland;1 mei 2010;174610.0;136450.0;1.1;0.8
5;3;9;Hulpverleningsdienst Groningen (GG);1 mei 2006;7180.0;5530.0;1.3;1.0
6;3;9;Hulpverleningsdienst Groningen (GG);1 mei 2007;6550.0;4850.0;1.1;0.8
7;3;9;Hulpverleningsdienst Groningen (GG);1 mei 2008;5890.0;4480.0;1.0;0.8
8;3;9;Hulpverleningsdienst Groningen (GG);1 mei 2009;6080.0;4720.0;1.1;0.8
9;3;9;Hulpverleningsdienst Groningen (GG);1 mei 2010;5640.0;4380.0;1.0;0.8
10;3;9;GGD Drenthe (GG);1 mei 2006;3510.0;2680.0;0.7;0.6
11;3;9;GGD Drenthe (GG);1 mei 2007;2990.0;2270.0;0.6;0.5
12;3;9;GGD Drenthe (GG);1 mei 2008;2900.0;2210.0;0.6;0.5
13;3;9;GGD Drenthe (GG);1 mei 2009;2880.0;2250.0;0.6;0.5
14;3;9;GGD Drenthe (GG);1 mei 2010;2110.0;1650.0;0.4;0.3
15;3;9;GGD Regio IJssel-Vecht (GG);1 mei 2006;2960.0;2230.0;0.7;0.5
16;3;9;GGD Regio IJssel-Vecht (GG);1 mei 2007;2490.0;1860.0;0.6;0.4
17;3;9;GGD Regio IJssel-Vecht (GG);1 mei 2008;2300.0;1790.0;0.5;0.4
18;3;9;GGD Regio IJssel-Vecht (GG);1 mei 2009;;;;
19;3;9;GGD Regio IJssel-Vecht (GG);1 mei 2010;;;;
20;3;9;GGD IJsselland (GG);1 mei 2006;;;;
21;3;9;GGD IJsselland (GG);1 mei 2007;;;;
22;3;9;GGD IJsselland (GG);1 mei 2008;;;;
23;3;9;GGD IJsselland (GG);1 mei 2009;2250.0;1740.0;0.5;0.4
24;3;9;GGD IJsselland (GG);1 mei 2010;1950.0;1530.0;0.4;0.3
25;3;9;GGD Regio Twente (GG);1 mei 2006;6520.0;4570.0;1.1;0.7
26;3;9;GGD Regio Twente (GG);1 mei 2007;5290.0;3690.0;0.9;0.6
27;3;9;GGD Regio Twente (GG);1 mei 2008;4930.0;3860.0;0.8;0.6
28;3;9;GGD Regio Twente (GG);1 mei 2009;4960.0;3880.0;0.8;0.6
29;3;9;GGD Regio Twente (GG);1 mei 2010;4480.0;3610.0;0.7;0.6
30;3;9;GGD Gelre-IJssel (GG);1 mei 2006;6650.0;4990.0;0.9;0.7
31;3;9;GGD Gelre-IJssel (GG);1 mei 2007;5510.0;4110.0;0.8;0.6
32;3;9;GGD Gelre-IJssel (GG);1 mei 2008;4790.0;3860.0;0.7;0.5
33;3;9;GGD Gelre-IJssel (GG);1 mei 2009;5500.0;4560.0;0.6;0.5
34;3;9;GGD Gelre-IJssel (GG);1 mei 2010;4660.0;3740.0;0.5;0.4
35;3;9;GGD Regio Noord-Veluwe (GG);1 mei 2006;1010.0;800.0;0.6;0.5
36;3;9;GGD Regio Noord-Veluwe (GG);1 mei 2007;830.0;590.0;0.5;0.4
37;3;9;GGD Regio Noord-Veluwe (GG);1 mei 2008;830.0;650.0;0.5;0.4
38;3;9;GGD Regio Noord-Veluwe (GG);1 mei 2009;;;;
39;3;9;GGD Regio Noord-Veluwe (GG);1 mei 2010;;;;
40;3;9;Hulpverlening Gelderland-Midden (GG);1 mei 2006;9720.0;7790.0;1.5;1.2
41;3;9;Hulpverlening Gelderland-Midden (GG);1 mei 2007;8850.0;7270.0;1.4;1.1
42;3;9;Hulpverlening Gelderland-Midden (GG);1 mei 2008;8900.0;7170.0;1.4;1.1
43;3;9;Hulpverlening Gelderland-Midden (GG);1 mei 2009;8770.0;7340.0;1.3;1.1
44;3;9;Hulpverlening Gelderland-Midden (GG);1 mei 2010;7890.0;6400.0;1.2;1.0
45;3;9;GGD Rivierenland (GG);1 mei 2006;1670.0;1320.0;0.8;0.6
46;3;9;GGD Rivierenland (GG);1 mei 2007;1430.0;1140.0;0.7;0.5
47;3;9;GGD Rivierenland (GG);1 mei 2008;1380.0;1090.0;0.6;0.5
48;3;9;GGD Rivierenland (GG);1 mei 2009;1120.0;900.0;0.5;0.4
49;3;9;GGD Rivierenland (GG);1 mei 2010;950.0;730.0;0.4;0.3
50;3;9;GGD Regio Nijmegen (GG);1 mei 2006;4510.0;3580.0;1.4;1.1
51;3;9;GGD Regio Nijmegen (GG);1 mei 2007;4150.0;3330.0;1.3;1.0
52;3;9;GGD Regio Nijmegen (GG);1 mei 2008;4120.0;3380.0;1.3;1.1
53;3;9;GGD Regio Nijmegen (GG);1 mei 2009;4170.0;3450.0;1.3;1.1
54;3;9;GGD Regio Nijmegen (GG);1 mei 2010;3780.0;3010.0;1.2;0.9
55;3;9;Hulpverleningsdienst Flevoland (GG);1 mei 2006;5180.0;3800.0;1.4;1.0
56;3;9;Hulpverleningsdienst Flevoland (GG);1 mei 2007;4410.0;3320.0;1.2;0.9
57;3;9;Hulpverleningsdienst Flevoland (GG);1 mei 2008;4230.0;3330.0;1.1;0.9
58;3;9;Hulpverleningsdienst Flevoland (GG);1 mei 2009;;;;
59;3;9;Hulpverleningsdienst Flevoland (GG);1 mei 2010;;;;
