ID;Geslacht;Leeftijd;RegioS;Perioden;TotaalArbeidsongeschiktheidsuitkeringen_1;WAOUitkeringen_2;WajongUitkeringen_3;WAZUitkeringen_4;IVAUitkeringen_5;WGAUitkeringen_6
0;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1998 1e kwartaal;888170.0;716500.0;114090.0;57590.0;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1998 2e kwartaal;892550.0;719280.0;115430.0;57850.0;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1998 3e kwartaal;895160.0;721360.0;115990.0;57820.0;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1998 4e kwartaal;906840.0;728700.0;119380.0;58760.0;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1999 1e kwartaal;909960.0;733070.0;119450.0;57450.0;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1999 2e kwartaal;914980.0;737490.0;120460.0;57030.0;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1999 3e kwartaal;920120.0;740900.0;122530.0;56690.0;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;1999 4e kwartaal;925900.0;745650.0;123560.0;56680.0;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2000 1e kwartaal;937540.0;755720.0;124660.0;57160.0;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2000 2e kwartaal;943550.0;760540.0;125560.0;57450.0;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2000 3e kwartaal;945800.0;762230.0;126290.0;57290.0;;
11;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2000 4e kwartaal;956980.0;772000.0;127350.0;57630.0;;
12;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2001 1e kwartaal;964710.0;779150.0;128140.0;57420.0;;
13;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2001 2e kwartaal;972610.0;786600.0;128830.0;57190.0;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2001 3e kwartaal;973490.0;787030.0;129610.0;56850.0;;
15;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2001 4e kwartaal;981210.0;793660.0;130480.0;57080.0;;
16;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2002 1e kwartaal;985080.0;797080.0;131300.0;56700.0;;
17;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2002 2e kwartaal;987580.0;798820.0;131980.0;56790.0;;
18;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2002 3e kwartaal;988200.0;798440.0;133030.0;56720.0;;
19;Totaal mannen en vrouwen;Totaal leeftijd;Regio totaal;2002 4e kwartaal;992800.0;801520.0;134230.0;57050.0;;
