ID;Perioden;Indexcijfers_1;Mutaties_2;Indexcijfers_3;Mutaties_4;Indexcijfers_5;Mutaties_6
36;1992 maart;96.6;-1.5;102.2;-0.6;98.7;-2.1
37;1992 1e kwartaal;95.1;-2.4;102.5;-0.8;97.4;-3.2
38;1992 april;95.4;-1.2;103.4;-0.9;98.6;-2.1
39;1992 mei;95.9;-1.7;103.4;-0.3;99.1;-2.0
40;1992 juni;96.7;-0.8;101.9;-1.3;98.5;-2.1
41;1992 2e kwartaal;96.0;-1.2;102.9;-0.8;98.8;-2.1
42;1992 juli;95.5;1.8;103.3;-3.3;98.7;-1.6
43;1992 augustus;96.0;2.1;101.7;-4.3;97.7;-2.2
44;1992 september;95.9;1.9;100.0;-4.4;95.9;-2.6
45;1992 3e kwartaal;95.8;1.9;101.7;-4.0;97.4;-2.2
46;1992 oktober;98.6;1.2;97.9;-5.6;96.6;-4.4
47;1992 november;98.4;0.9;98.0;-4.5;96.4;-3.7
48;1992 december;94.9;0.3;99.2;-3.9;94.2;-3.6
49;1992 4e kwartaal;97.3;0.8;98.4;-4.7;95.7;-3.9
50;1992;96.0;-0.3;101.3;-2.6;97.3;-2.9
51;1993 januari;93.4;-0.3;98.8;-4.1;92.3;-4.4
52;1993 februari;94.3;-0.6;98.6;-3.6;93.0;-4.1
53;1993 maart;96.2;-0.5;98.5;-3.6;94.7;-4.1
54;1993 1e kwartaal;94.6;-0.5;98.6;-3.7;93.3;-4.2
55;1993 april;95.4;-0.1;98.7;-4.5;94.1;-4.6
56;1993 mei;96.2;0.3;98.4;-4.8;94.6;-4.6
57;1993 juni;96.3;-0.4;97.4;-4.4;93.8;-4.8
58;1993 2e kwartaal;95.9;-0.1;98.2;-4.6;94.2;-4.6
59;1993 juli;95.5;0.0;99.1;-4.1;94.6;-4.1
60;1993 augustus;95.8;-0.2;97.9;-3.7;93.8;-3.9
61;1993 september;96.3;0.4;95.1;-4.8;91.7;-4.4
62;1993 3e kwartaal;95.9;0.1;97.4;-4.2;93.4;-4.2
63;1993 oktober;99.1;0.5;95.3;-2.7;94.5;-2.2
64;1993 november;99.0;0.7;95.5;-2.6;94.6;-1.9
65;1993 december;95.3;0.4;97.5;-1.7;92.9;-1.3
66;1993 4e kwartaal;97.8;0.5;96.1;-2.3;94.0;-1.8
67;1993;96.1;0.1;97.5;-3.7;93.7;-3.7
68;1994 januari;94.2;0.9;97.1;-1.8;91.5;-0.9
69;1994 februari;95.5;1.2;96.7;-1.9;92.3;-0.7
70;1994 maart;96.7;0.5;97.0;-1.5;93.7;-1.0
71;1994 1e kwartaal;95.5;0.9;96.9;-1.7;92.5;-0.9
72;1994 april;96.7;1.4;97.9;-0.8;94.7;0.6
73;1994 mei;96.9;0.7;98.3;-0.1;95.2;0.6
74;1994 juni;96.7;0.4;97.8;0.4;94.5;0.8
75;1994 2e kwartaal;96.8;0.9;98.0;-0.2;94.8;0.7
76;1994 juli;96.0;0.5;97.9;-1.1;94.0;-0.7
77;1994 augustus;96.1;0.3;97.9;0.0;94.0;0.2
78;1994 september;96.1;-0.2;96.3;1.3;92.6;1.1
79;1994 3e kwartaal;96.1;0.2;97.4;0.0;93.5;0.2
80;1994 oktober;98.8;-0.3;95.8;0.6;94.7;0.3
81;1994 november;99.0;0.0;96.4;0.9;95.4;0.9
82;1994 december;95.8;0.4;98.7;1.3;94.5;1.7
83;1994 4e kwartaal;97.9;0.0;97.0;0.9;94.9;1.0
84;1994;96.6;0.5;97.3;-0.2;94.0;0.2
85;1995 januari;96.2;2.1;98.2;1.1;94.4;3.2
86;1995 februari;97.0;1.6;97.9;1.2;94.9;2.8
87;1995 maart;98.7;2.1;97.3;0.3;96.0;2.4
88;1995 1e kwartaal;97.3;1.9;97.8;0.9;95.1;2.8
89;1995 april;96.9;0.2;97.9;0.1;94.9;0.2
90;1995 mei;97.9;1.1;97.5;-0.8;95.4;0.2
91;1995 juni;98.5;1.8;96.3;-1.6;94.8;0.2
92;1995 2e kwartaal;97.7;1.0;97.2;-0.8;95.0;0.2
93;1995 juli;97.4;1.6;96.9;-1.1;94.4;0.5
94;1995 augustus;97.6;1.6;97.1;-0.8;94.8;0.8
95;1995 september;96.9;0.8;96.6;0.3;93.6;1.1
96;1995 3e kwartaal;97.3;1.3;96.9;-0.5;94.3;0.8
97;1995 oktober;99.6;0.8;96.1;0.2;95.7;1.0
98;1995 november;99.3;0.3;95.9;-0.5;95.2;-0.2
