ID;Geboortejaren;BuitenechtelijkLevendgeborenen_1;ErkenningenTotaal_2;ErkenningenInHetJaarVanGeboorte_3;ErkenningenInEenLaterJaar_4
0;2000;51540;46930;43140;3790
1;2001;55110;50560;46860;3710
2;2002;58530;53400;49950;3450
3;2003;61440;56390;53190;3200
4;2004;63030;58010;54980;3030
5;2005;65560;60330;57670;2660
6;2006;68580;63180;60620;2570
7;2007;71560;65730;63520;2210
8;2008;76140;69630;67700;1930
9;2009;80040;72900;71530;1370
10;2010;81770;74510;73470;1040
11;2011;81620;73370;73370;0
