ID;SoortVerhuur;Perioden;HuurverhogingInclusiefHuurharmonisatie_1;HuurverhogingExclusiefHuurharmonisatie_2
0;Totaal;2015;2.4;1.9
1;Totaal;2016;1.9;1.4
2;Totaal;2017;1.6;1.2
3;Totaal;2018;2.3;1.8
4;Totaal;2019;2.5;2.1
5;Totaal;2020;2.9;2.4
6;Totaal;2021;0.8;0.3
7;Totaal;2022;3.0;2.4
8;Totaal;2023;2.0;1.3
9;Totaal;2024;5.4;4.7
10;Geliberaliseerd verhuur;2015;1.8;1.6
11;Geliberaliseerd verhuur;2016;2.2;1.6
12;Geliberaliseerd verhuur;2017;2.3;1.7
13;Geliberaliseerd verhuur;2018;3.1;2.0
14;Geliberaliseerd verhuur;2019;3.3;2.6
15;Geliberaliseerd verhuur;2020;3.0;2.1
16;Geliberaliseerd verhuur;2021;2.2;1.3
17;Geliberaliseerd verhuur;2022;3.8;2.8
18;Geliberaliseerd verhuur;2023;4.5;3.4
19;Geliberaliseerd verhuur;2024;5.0;4.1
20;"Totaal; gereguleerd";2015;2.6;2.0
21;"Totaal; gereguleerd";2016;1.8;1.3
22;"Totaal; gereguleerd";2017;1.4;1.0
23;"Totaal; gereguleerd";2018;2.1;1.8
24;"Totaal; gereguleerd";2019;2.3;2.0
25;"Totaal; gereguleerd";2020;2.8;2.4
26;"Totaal; gereguleerd";2021;0.3;-0.1
27;"Totaal; gereguleerd";2022;2.6;2.2
28;"Totaal; gereguleerd";2023;1.0;0.5
29;"Totaal; gereguleerd";2024;5.6;5.0
30;"Sociale verhuurders; gereguleerd";2015;2.6;1.9
31;"Sociale verhuurders; gereguleerd";2016;1.6;1.0
32;"Sociale verhuurders; gereguleerd";2017;1.1;0.6
33;"Sociale verhuurders; gereguleerd";2018;1.7;1.4
34;"Sociale verhuurders; gereguleerd";2019;2.0;1.7
35;"Sociale verhuurders; gereguleerd";2020;2.7;2.3
36;"Sociale verhuurders; gereguleerd";2021;0.3;-0.1
37;"Sociale verhuurders; gereguleerd";2022;2.6;2.2
38;"Sociale verhuurders; gereguleerd";2023;0.1;-0.3
39;"Sociale verhuurders; gereguleerd";2024;5.6;4.9
40;"Overige verhuurders; gereguleerd";2015;2.6;2.4
41;"Overige verhuurders; gereguleerd";2016;2.3;2.0
42;"Overige verhuurders; gereguleerd";2017;2.5;2.3
43;"Overige verhuurders; gereguleerd";2018;3.3;2.9
44;"Overige verhuurders; gereguleerd";2019;3.3;3.0
45;"Overige verhuurders; gereguleerd";2020;3.4;3.0
46;"Overige verhuurders; gereguleerd";2021;0.3;0.2
47;"Overige verhuurders; gereguleerd";2022;2.8;2.4
48;"Overige verhuurders; gereguleerd";2023;3.7;3.0
49;"Overige verhuurders; gereguleerd";2024;5.7;5.2
