ID;Perioden;Ruilvoet_1;Invoerprijs_2;Uitvoerprijs_3;Ruilvoet_4;Invoerprijs_5;Uitvoerprijs_6
0;1995 januari;91.2;87.3;79.6;;;
1;1995 februari;93.2;84.6;78.9;;;
2;1995 maart;94.7;86.0;81.4;;;
3;1995 1e kwartaal;93.0;86.0;80.0;;;
4;1995 april;92.6;86.9;80.5;;;
5;1995 mei;95.4;83.9;80.1;;;
6;1995 juni;95.8;84.3;80.7;;;
7;1995 2e kwartaal;94.6;85.0;80.4;;;
8;1995 juli;95.5;84.0;80.3;;;
9;1995 augustus;96.2;85.9;82.6;;;
10;1995 september;95.8;84.7;81.1;;;
11;1995 3e kwartaal;95.8;84.9;81.3;;;
12;1995 oktober;95.3;88.6;84.4;;;
13;1995 november;92.8;90.3;83.7;;;
14;1995 december;93.0;92.1;85.7;;;
15;1995 4e kwartaal;93.7;90.3;84.6;;;
16;1995;94.2;86.5;81.6;;;
17;1996 januari;91.4;85.7;78.3;0.2;-1.8;-1.6
18;1996 februari;93.8;82.9;77.7;0.6;-2.1;-1.5
19;1996 maart;94.5;86.0;81.3;-0.1;0.0;-0.2
20;1996 1e kwartaal;93.2;84.9;79.2;0.2;-1.3;-1.1
21;1996 april;92.6;87.7;81.3;0.1;0.9;1.0
22;1996 mei;96.4;84.0;81.0;1.0;0.0;1.1
23;1996 juni;96.3;84.3;81.2;0.5;0.0;0.6
24;1996 2e kwartaal;95.1;85.3;81.1;0.6;0.4;0.9
25;1996 juli;95.8;84.5;81.0;0.3;0.6;0.9
26;1996 augustus;96.5;86.1;83.1;0.4;0.2;0.6
27;1996 september;96.6;85.5;82.6;0.9;1.0;1.9
28;1996 3e kwartaal;96.3;85.4;82.2;0.5;0.6;1.1
29;1996 oktober;94.9;91.0;86.4;-0.4;2.8;2.4
30;1996 november;92.6;92.1;85.3;-0.1;2.0;1.9
31;1996 december;92.7;94.4;87.4;-0.4;2.4;2.0
32;1996 4e kwartaal;93.4;92.5;86.4;-0.3;2.4;2.1
33;1996;94.4;87.0;82.2;0.2;0.6;0.8
34;1997 januari;91.2;88.2;80.5;-0.2;3.0;2.7
35;1997 februari;93.2;85.3;79.5;-0.6;2.9;2.2
36;1997 maart;95.0;87.0;82.6;0.5;1.2;1.7
37;1997 1e kwartaal;93.1;86.8;80.9;-0.1;2.3;2.2
38;1997 april;93.8;87.9;82.5;1.2;0.2;1.5
39;1997 mei;97.2;85.0;82.6;0.8;1.3;2.1
40;1997 juni;96.8;85.7;83.0;0.5;1.7;2.2
41;1997 2e kwartaal;95.9;86.2;82.7;0.8;1.1;1.9
42;1997 juli;95.8;87.2;83.6;0.0;3.2;3.2
43;1997 augustus;97.1;89.3;86.8;0.6;3.7;4.4
44;1997 september;97.4;87.2;84.9;0.8;1.9;2.7
45;1997 3e kwartaal;96.8;87.8;85.0;0.5;2.9;3.4
46;1997 oktober;96.8;92.1;89.2;2.0;1.2;3.3
47;1997 november;94.9;93.0;88.3;2.5;1.0;3.5
48;1997 december;95.5;93.8;89.5;3.1;-0.6;2.4
49;1997 4e kwartaal;95.7;93.0;89.0;2.5;0.5;3.1
50;1997;95.4;88.5;84.4;1.0;1.7;2.7
51;1998 januari;93.4;87.4;81.6;2.4;-0.9;1.4
52;1998 februari;95.5;84.0;80.2;2.4;-1.4;1.0
53;1998 maart;96.8;85.9;83.2;1.8;-1.2;0.6
54;1998 1e kwartaal;95.2;85.8;81.7;2.2;-1.2;1.0
55;1998 april;95.0;86.9;82.5;1.3;-1.2;0.0
56;1998 mei;97.8;83.3;81.4;0.6;-2.1;-1.5
57;1998 juni;98.4;82.9;81.6;1.6;-3.2;-1.6
58;1998 2e kwartaal;97.1;84.3;81.9;1.2;-2.2;-1.0
59;1998 juli;98.6;82.9;81.8;2.9;-4.9;-2.2
60;1998 augustus;98.8;84.0;83.0;1.7;-5.9;-4.3
61;1998 september;98.7;82.2;81.1;1.3;-5.7;-4.4
62;1998 3e kwartaal;98.7;83.0;81.9;2.0;-5.5;-3.7
63;1998 oktober;97.4;86.3;84.0;0.6;-6.4;-5.8
64;1998 november;95.4;87.2;83.1;0.5;-6.3;-5.9
65;1998 december;96.1;87.5;84.1;0.7;-6.7;-6.1
66;1998 4e kwartaal;96.3;87.0;83.7;0.6;-6.4;-5.9
67;1998;96.8;85.0;82.3;1.5;-3.9;-2.5
68;1999 januari;94.4;80.2;75.7;1.1;-8.3;-7.3
69;1999 februari;95.8;77.8;74.5;0.4;-7.5;-7.1
70;1999 maart;96.4;81.2;78.2;-0.4;-5.5;-5.9
71;1999 1e kwartaal;95.5;79.8;76.3;0.3;-7.0;-6.7
72;1999 april;94.9;83.0;78.7;-0.1;-4.5;-4.6
73;1999 mei;98.0;80.1;78.5;0.2;-3.8;-3.6
74;1999 juni;98.1;81.4;79.9;-0.3;-1.8;-2.1
75;1999 2e kwartaal;97.0;81.5;79.0;-0.1;-3.4;-3.4
76;1999 juli;96.9;82.2;79.7;-1.7;-0.9;-2.6
77;1999 augustus;97.8;84.1;82.3;-1.0;0.1;-0.9
78;1999 september;97.9;83.7;81.9;-0.8;1.8;1.0
79;1999 3e kwartaal;97.5;83.3;81.3;-1.2;0.4;-0.8
80;1999 oktober;96.7;86.6;83.7;-0.7;0.4;-0.3
81;1999 november;94.2;89.9;84.6;-1.3;3.1;1.8
82;1999 december;95.0;92.2;87.7;-1.1;5.4;4.2
83;1999 4e kwartaal;95.3;89.6;85.4;-1.0;3.0;1.9
84;1999;96.3;83.6;80.5;-0.5;-1.7;-2.2
85;2000 januari;92.4;85.9;79.4;-2.1;7.1;4.9
86;2000 februari;93.4;84.9;79.3;-2.6;9.2;6.4
87;2000 maart;93.6;87.4;81.8;-2.9;7.6;4.5
88;2000 1e kwartaal;93.1;86.1;80.2;-2.5;7.9;5.2
89;2000 april;95.2;87.0;82.9;0.4;4.8;5.3
90;2000 mei;97.0;86.3;83.7;-1.0;7.7;6.7
91;2000 juni;97.1;87.6;85.1;-1.0;7.5;6.5
92;2000 2e kwartaal;96.5;86.9;83.9;-0.5;6.7;6.1
93;2000 juli;97.4;86.6;84.3;0.5;5.3;5.8
94;2000 augustus;97.9;89.4;87.5;0.1;6.3;6.3
95;2000 september;98.3;90.1;88.6;0.4;7.7;8.1
96;2000 3e kwartaal;97.8;88.7;86.8;0.3;6.5;6.8
97;2000 oktober;95.9;94.7;90.8;-0.8;9.4;8.5
98;2000 november;93.4;97.1;90.7;-0.8;8.0;7.1
99;2000 december;98.6;93.3;92.0;3.7;1.2;4.9
100;2000 4e kwartaal;96.0;95.0;91.1;0.7;6.0;6.8
101;2000;95.9;89.2;85.6;-0.4;6.7;6.2
102;2001 januari;96.9;87.0;84.2;4.8;1.3;6.1
103;2001 februari;97.6;85.6;83.5;4.5;0.8;5.3
104;2001 maart;97.7;86.9;84.8;4.3;-0.5;3.8
105;2001 1e kwartaal;97.4;86.5;84.2;4.5;0.5;5.0
106;2001 april;97.6;87.6;85.5;2.5;0.6;3.1
107;2001 mei;99.0;86.4;85.5;2.0;0.2;2.1
108;2001 juni;98.2;87.9;86.3;1.1;0.3;1.5
109;2001 2e kwartaal;98.2;87.3;85.8;1.8;0.4;2.2
110;2001 juli;97.8;86.8;84.8;0.4;0.2;0.7
111;2001 augustus;98.0;87.6;85.9;0.1;-1.9;-1.8
112;2001 september;99.9;86.2;86.1;1.7;-4.4;-2.8
113;2001 3e kwartaal;98.6;86.9;85.6;0.8;-2.1;-1.4
114;2001 oktober;97.0;89.6;86.9;1.1;-5.4;-4.4
115;2001 november;96.0;90.4;86.8;2.8;-6.9;-4.3
116;2001 december;99.0;89.3;88.4;0.3;-4.3;-4.0
117;2001 4e kwartaal;97.3;89.8;87.3;1.4;-5.5;-4.2
118;2001;97.9;87.6;85.7;2.1;-1.9;0.2
119;2002 januari;97.5;82.6;80.6;0.7;-5.0;-4.4
120;2002 februari;98.0;81.0;79.4;0.4;-5.3;-5.0
121;2002 maart;96.9;83.5;80.9;-0.8;-3.9;-4.7
122;2002 1e kwartaal;97.5;82.4;80.3;0.1;-4.7;-4.7
123;2002 april;98.4;84.2;82.8;0.8;-3.8;-3.1
124;2002 mei;101.1;81.6;82.4;2.1;-5.6;-3.6
125;2002 juni;100.9;82.0;82.8;2.8;-6.7;-4.1
126;2002 2e kwartaal;100.1;82.6;82.7;1.9;-5.3;-3.6
127;2002 juli;99.4;81.9;81.4;1.7;-5.6;-4.0
128;2002 augustus;100.2;83.7;83.9;2.2;-4.5;-2.4
129;2002 september;101.5;82.9;84.1;1.5;-3.8;-2.4
130;2002 3e kwartaal;100.4;82.8;83.1;1.8;-4.6;-2.9
131;2002 oktober;99.1;86.9;86.1;2.2;-3.0;-0.9
132;2002 november;97.4;87.4;85.1;1.5;-3.4;-2.0
133;2002 december;100.6;86.9;87.4;1.7;-2.7;-1.1
134;2002 4e kwartaal;99.0;87.1;86.2;1.8;-3.0;-1.3
135;2002;99.2;83.7;83.1;1.4;-4.4;-3.1
136;2003 januari;97.7;82.7;80.8;0.2;0.2;0.3
137;2003 februari;99.1;81.0;80.3;1.1;0.0;1.1
138;2003 maart;98.8;82.1;81.1;2.0;-1.7;0.2
139;2003 1e kwartaal;98.5;81.9;80.7;1.1;-0.6;0.5
140;2003 april;99.7;81.6;81.3;1.4;-3.1;-1.8
141;2003 mei;102.2;78.6;80.3;1.1;-3.6;-2.6
142;2003 juni;101.4;79.5;80.6;0.5;-3.1;-2.7
143;2003 2e kwartaal;101.1;79.9;80.7;1.0;-3.3;-2.3
144;2003 juli;99.9;79.8;79.6;0.5;-2.6;-2.2
145;2003 augustus;100.2;82.1;82.3;0.0;-1.9;-1.9
146;2003 september;101.7;80.4;81.7;0.3;-3.0;-2.8
147;2003 3e kwartaal;100.6;80.7;81.2;0.2;-2.6;-2.3
148;2003 oktober;99.7;84.0;83.8;0.7;-3.3;-2.7
149;2003 november;97.7;85.6;83.7;0.3;-2.0;-1.7
150;2003 december;100.7;84.1;84.7;0.1;-3.1;-3.1
151;2003 4e kwartaal;99.4;84.6;84.0;0.3;-2.8;-2.5
152;2003;99.9;81.8;81.7;0.7;-2.3;-1.6
153;2004 januari;97.3;80.5;78.4;-0.4;-2.6;-3.0
154;2004 februari;99.0;78.3;77.5;-0.1;-3.3;-3.4
155;2004 maart;97.8;81.1;79.3;-1.0;-1.1;-2.1
156;2004 1e kwartaal;98.0;80.1;78.5;-0.5;-2.3;-2.8
157;2004 april;98.5;82.6;81.3;-1.2;1.2;0.0
158;2004 mei;100.8;80.6;81.3;-1.3;2.5;1.2
