ID;NederlandseEconomie;Perioden;TotaalCO2_1;CO2ExclBiomassa_2;CO2Biomassa_3;N2O_4;CH4_5;BroeikasgasEquivalent_6;NOx_7;SO2_8;NH3_9;ZuurEquivalent_10;CFK12Equivalent_11;CO_12;NMVOS_13;PM10_14
0;Totaal Nederlandse economie;1990;181251;175229;6022.5;60.4;1274.0;240230;820.6;266.2;346.7;46.5;6194.4;1220.0;616.3;88.9
1;Totaal Nederlandse economie;1991;188440;182112;6328.0;61.0;1290.6;247884;788.0;229.6;360.9;45.5;5109.8;1151.6;570.6;82.8
2;Totaal Nederlandse economie;1992;188970;182745;6224.5;62.0;1274.4;249242;789.3;229.2;298.0;41.8;4025.2;1146.2;538.2;79.7
3;Totaal Nederlandse economie;1993;189818;183252;6565.7;63.0;1256.4;250571;775.1;224.1;324.4;42.9;2940.6;1096.1;505.5;75.9
4;Totaal Nederlandse economie;1994;192228;185827;6400.6;61.5;1215.2;253230;754.9;215.3;293.1;40.4;1856.0;1023.5;474.5;72.4
5;Totaal Nederlandse economie;1995;196560;189942;6617.8;61.0;1185.2;254577;749.5;214.0;220.0;35.9;771.4;964.7;443.1;72.6
6;Totaal Nederlandse economie;1996;204328;196871;7457.0;61.2;1158.1;265396;727.2;207.0;178.4;32.8;527.4;930.8;422.2;66.5
7;Totaal Nederlandse economie;1997;199673;192028;7644.3;60.4;1092.2;259518;709.9;195.6;174.5;31.8;404.5;886.5;392.9;64.1
8;Totaal Nederlandse economie;1998;201033;193303;7729.6;58.5;1063.3;260306;698.3;196.1;159.4;30.7;282.1;852.2;376.6;62.6
9;Totaal Nederlandse economie;1999;197881;189976;7904.8;56.3;1012.5;249155;722.0;202.4;154.4;31.1;273.4;828.3;362.6;64.2
10;Totaal Nederlandse economie;2000;202287;194084;8202.6;54.1;967.7;249706;716.6;189.7;175.5;31.8;252.0;805.2;347.3;63.7
11;Totaal Nederlandse economie;2001;207436;198891;8544.6;51.0;941.5;250848;701.4;186.1;169.3;31.0;231.3;799.7;318.2;61.6
12;Totaal Nederlandse economie;2002;206590;197575;9015.4;48.0;895.9;248352;681.0;173.2;161.9;29.7;204.2;781.5;302.2;59.1
13;Totaal Nederlandse economie;2003;209825;201135;8690.1;47.6;865.0;248892;678.3;168.8;158.7;29.3;175.1;779.2;294.7;57.0
14;Totaal Nederlandse economie;2004;212716;203248;9468.0;48.8;848.8;251386;666.6;164.5;158.5;28.9;165.3;796.8;275.6;55.6
15;Totaal Nederlandse economie;2005;209830;199014;10816.7;48.7;789.9;246627;660.7;170.6;155.7;28.8;155.1;762.1;278.4;54.9
16;Totaal Nederlandse economie;2006;203112;192013;11098.2;49.0;771.2;239617;612.1;153.7;158.4;27.4;144.7;750.9;271.1;51.6
17;Totaal Nederlandse economie;2007;204545;193238;11306.5;43.7;772.2;239833;604.8;150.6;154.6;26.9;134.4;724.4;273.1;50.7
18;Totaal Nederlandse economie;2008;207270;194538;12732.8;31.1;780.5;239434;558.7;110.1;142.1;23.9;124.1;720.9;266.9;46.4
19;Totaal Nederlandse economie;2009;202233;187980;14252.6;30.6;773.2;234118;514.6;92.9;137.9;22.2;114.4;653.6;266.1;43.3
20;Totaal Nederlandse economie;2010;214218;199358;14859.9;29.6;770.0;246007;503.8;80.3;135.5;21.4;104.3;674.8;277.8;42.7
21;Totaal Nederlandse economie;2011;201485;186747;14737.5;28.9;747.3;232203;472.1;65.2;133.7;20.2;94.5;630.2;273.0;39.4
22;Totaal Nederlandse economie;2012;199183;183866;15316.7;28.4;730.9;229214;454.5;62.6;128.2;19.4;85.0;610.1;267.6;38.0
23;Totaal Nederlandse economie;2013;198586;184236;14350.8;29.1;729.8;228919;455.1;62.6;125.7;19.2;80.9;590.5;268.5;38.1
24;Totaal Nederlandse economie;2014;192306;178661;13645.4;29.6;712.3;221844;438.9;59.5;129.5;19.0;77.6;560.9;253.8;36.8
25;Totaal Nederlandse economie;2015;199202;185457;13745.0;30.4;720.2;229373;431.0;47.5;130.9;18.5;74.7;562.5;262.9;35.8
26;Totaal Nederlandse economie;2016;199649;185846;13802.2;29.5;725.1;229576;429.4;41.0;132.2;18.4;72.0;559.3;262.2;34.7
27;Totaal Nederlandse economie;2017;196668;182654;14014.0;30.3;711.7;226424;419.7;39.3;134.0;18.2;69.2;545.1;262.2;33.8
28;Totaal Nederlandse economie;2018;193183;178284;14898.5;29.6;672.6;221363;410.1;36.4;132.9;17.9;67.6;533.4;256.4;33.0
29;Totaal Nederlandse economie;2019;191066;174127;16939.0;29.2;683.5;219455;391.4;33.2;126.8;17.0;65.8;518.1;251.7;31.7
30;Totaal Nederlandse economie;2020;172637;152810;19826.9;28.5;672.6;200248;344.7;28.0;125.4;15.7;64.0;489.2;254.0;29.6
31;Totaal Nederlandse economie;2021;179934;157217;22716.5;27.3;661.9;207069;359.7;29.0;124.0;16.0;62.6;458.4;249.4;30.1
32;Totaal Nederlandse economie;2022;169454;148159;21295.1;25.8;641.1;195455;367.3;28.5;121.9;16.0;61.2;453.9;248.1;30.3
33;Totaal Nederlandse economie;2023;156419;137462;18956.6;25.4;633.0;182020;348.4;28.2;122.3;15.6;60.8;437.6;243.5;30.1
34;Totaal particuliere huishoudens;1990;36890;35472;1418.1;0.6;31.8;37931;155.2;6.0;11.1;4.2;678.7;640.4;181.7;16.7
35;Totaal particuliere huishoudens;1991;40011;38446;1565.3;0.7;33.7;41133;148.0;5.8;11.4;4.1;571.8;585.9;170.7;15.8
36;Totaal particuliere huishoudens;1992;38470;36997;1473.0;0.8;31.6;39574;137.0;5.6;11.8;3.8;464.9;561.5;162.2;15.3
37;Totaal particuliere huishoudens;1993;39760;38180;1579.9;0.9;32.2;40902;128.4;5.4;12.0;3.7;358.0;528.0;153.7;14.7
