ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;TotaalSeizoenrecreatieveLogiesvormen_2;SLCaravanVouwwagen_3;OverigeSeizoenrecreatieveLogiesvormen_4;TotaalToeristischeLogiesvormen_5;TLWoningVanAndereParticulier_6;TLHotel_7;TLZomerhuisjeBungalow_8;TLTentBungalowtent_9;TLCaravanVouwwagen_10;TLJeugdherbergOfAndereGroepsaccommo_11;OverigeToeristischeLogiesvormen_12
0;Totaal;2002;9510.0;3070.0;1918.0;1153.0;6440.0;466.0;2059.0;2016.0;430.0;555.0;464.0;449.0
1;Totaal;2003;9062.0;2525.0;1553.0;972.0;6537.0;535.0;2044.0;1867.0;582.0;644.0;425.0;440.0
2;Totaal;2004;8910.0;2607.0;1625.0;982.0;6303.0;479.0;2083.0;1804.0;496.0;601.0;443.0;398.0
3;Totaal;2005;8864.0;2456.0;1516.0;940.0;6408.0;574.0;2094.0;1905.0;419.0;560.0;422.0;434.0
4;Totaal;2006;8951.0;2267.0;1400.0;866.0;6685.0;600.0;2284.0;1955.0;432.0;558.0;467.0;389.0
5;Totaal;2007;9136.0;2204.0;1347.0;857.0;6932.0;543.0;2483.0;2160.0;393.0;547.0;395.0;409.0
6;Totaal;2008;8917.0;2167.0;1148.0;1019.0;6750.0;535.0;2427.0;2084.0;360.0;554.0;329.0;460.0
7;Totaal;2009;9263.0;2319.0;1404.0;915.0;6944.0;493.0;2570.0;2163.0;408.0;522.0;324.0;465.0
8;Totaal;2010;9233.0;2110.0;1235.0;876.0;7123.0;455.0;2776.0;2174.0;370.0;510.0;333.0;504.0
9;Totaal;2011;9479.0;2307.0;1249.0;1058.0;7172.0;364.0;2806.0;2240.0;345.0;645.0;277.0;495.0
10;Totaal;2012;10084.0;2258.0;1188.0;1070.0;7826.0;605.0;3354.0;2183.0;373.0;576.0;246.0;489.0
11;Totaal;2013;9180.0;1776.0;961.0;815.0;7404.0;613.0;3244.0;1900.0;303.0;571.0;297.0;476.0
12;Totaal;2014;9481.0;2093.0;1059.0;1034.0;7388.0;639.0;3208.0;1835.0;409.0;540.0;219.0;539.0
13;Totaal;2015;9115.0;1697.0;715.0;981.0;7418.0;805.0;3164.0;1815.0;307.0;501.0;234.0;593.0
14;Totaal;2016;9518.0;1586.0;825.0;761.0;7932.0;889.0;3421.0;1858.0;410.0;503.0;246.0;605.0
15;Waddeneilanden (TR);2002;369.0;27.0;4.0;23.0;342.0;8.0;116.0;110.0;19.0;7.0;25.0;56.0
16;Waddeneilanden (TR);2003;444.0;43.0;;43.0;401.0;51.0;87.0;109.0;32.0;36.0;29.0;57.0
17;Waddeneilanden (TR);2004;334.0;27.0;0.0;27.0;307.0;27.0;72.0;89.0;19.0;19.0;41.0;41.0
18;Waddeneilanden (TR);2005;436.0;71.0;13.0;58.0;364.0;51.0;106.0;108.0;13.0;13.0;33.0;41.0
19;Waddeneilanden (TR);2006;349.0;47.0;10.0;37.0;301.0;29.0;89.0;91.0;23.0;11.0;19.0;39.0
20;Waddeneilanden (TR);2007;443.0;58.0;35.0;22.0;385.0;22.0;127.0;138.0;11.0;22.0;27.0;38.0
21;Waddeneilanden (TR);2008;501.0;55.0;24.0;31.0;446.0;38.0;160.0;118.0;16.0;23.0;34.0;57.0
22;Waddeneilanden (TR);2009;503.0;42.0;28.0;14.0;461.0;22.0;172.0;132.0;36.0;27.0;21.0;51.0
23;Waddeneilanden (TR);2010;384.0;33.0;22.0;11.0;351.0;29.0;134.0;71.0;19.0;26.0;31.0;42.0
24;Waddeneilanden (TR);2011;363.0;42.0;11.0;31.0;321.0;14.0;118.0;83.0;25.0;21.0;20.0;40.0
25;Waddeneilanden (TR);2012;414.0;20.0;15.0;5.0;394.0;30.0;157.0;117.0;25.0;18.0;16.0;31.0
26;Waddeneilanden (TR);2013;375.0;9.0;3.0;6.0;366.0;47.0;138.0;85.0;22.0;23.0;16.0;36.0
27;Waddeneilanden (TR);2014;381.0;41.0;1.0;40.0;340.0;46.0;126.0;82.0;14.0;12.0;9.0;50.0
28;Waddeneilanden (TR);2015;433.0;27.0;12.0;15.0;406.0;34.0;162.0;102.0;15.0;19.0;9.0;65.0
29;Waddeneilanden (TR);2016;419.0;19.0;7.0;12.0;400.0;56.0;163.0;75.0;36.0;14.0;8.0;49.0
30;Noordzeebadplaatsen (TR);2002;1208.0;411.0;196.0;215.0;797.0;31.0;290.0;257.0;57.0;93.0;21.0;50.0
31;Noordzeebadplaatsen (TR);2003;1175.0;325.0;216.0;108.0;851.0;40.0;301.0;263.0;76.0;85.0;27.0;59.0
32;Noordzeebadplaatsen (TR);2004;1090.0;279.0;94.0;185.0;811.0;35.0;348.0;221.0;55.0;66.0;36.0;51.0
33;Noordzeebadplaatsen (TR);2005;963.0;268.0;98.0;170.0;695.0;41.0;262.0;211.0;49.0;56.0;39.0;37.0
