ID;Bedrijfstype;RegioS;VerblijfsaccommodatieTotaal_1;Verblijfsrecreatie_2;AangeslotenBijSVR_3;Ontvangstmogelijkheden_4;VerhuurVanRecreatiegoederen_5;VerwerkingEigenProductenTotaal_6;Kaas_7;ZuivelAndersDanKaas_8;Wijn_9;ProductenUitGroentenOfFruit_10;VerwerkingEigenProductenOverig_11;VerkoopAanHuisTotaal_12;Kaas_13;ZuivelAndersDanKaas_14;Wijn_15;Fruit_16;Groenten_17;Aardappelen_18;Sierteeltproducten_19;VerkoopAanHuisOverig_20;DuurzameEnergieproductieTotaal_21;DuurzameEnergieproductieEigenGebruik_22;DuurzameEnergieproductieVoorDerden_23;DuurzameEnergieEigenEnVoorDerden_24;EigenGebruik_25;LeveringAanDerden_26;EigenGebruikEnLeveringAanDerden_27;EigenGebruik_28;LeveringAanDerden_29;EigenGebruikEnLeveringAanDerden_30;EigenGebruik_31;LeveringAanDerden_32;EigenGebruikEnLeveringAanDerden_33;EigenGebruik_34;LeveringAanDerden_35;EigenGebruikEnLeveringAanDerden_36;EigenGebruik_37;LeveringAanDerden_38;EigenGebruikEnLeveringAanDerden_39;EigenGebruik_40;LeveringAanDerden_41;EigenGebruikEnLeveringAanDerden_42;EigenGebruik_43;LeveringAanDerden_44;EigenGebruikEnLeveringAanDerden_45;EigenGebruik_46;LeveringAanDerden_47;EigenGebruikEnLeveringAanDerden_48;ZorgtakenTotaal_49;Dagbesteding_50;WonenWerken_51;Arbeidstoeleiding_52;AgrNLBOvereenkomstTotaal_53;GeslotenMetMinisterieLNV_54;GeslotenMetProvincialeInstellingen_55;GeslotenMetGemeentelijkeInstellingen_56;GeslotenMetNatuurmonumenten_57;GeslotenMetStaatsbosbeheer_58;GeslotenMetOverigeOrganisaties_59;MetLoonwerkVoorDerden_60;MetAquacultuur_61;MetStallingmogelijkheden_62;MetNestbescherming_63;AangeslotenBijAgrNatuurvereniging_64;VerbredeLandbouwTotaal_65;TotaalAgrarischeBedrijven_66
0;Alle bedrijfstypen;Nederland;2463;1548;417;848;496;1106;389;200;21;186;477;5380;706;345;106;1039;1236;1816;1032;1429;2249;2028;203;17;31;374;52;320;8;5;268;2;2;22;8;7;6;8;4;65;3;0;889;3;0;402;7;4;372;286;72;117;9903;6643;1554;234;379;772;3350;4981;154;3835;18540;9162;21568;85501
1;Alle bedrijfstypen;Noord-Nederland;355;236;88;109;84;143;49;26;0;15;73;525;83;34;15;49;100;209;95;159;598;512;79;7;4;133;14;146;2;3;103;1;0;5;4;1;0;3;1;3;1;0;203;0;0;62;1;1;53;36;7;26;2448;1792;363;34;52;266;721;1001;10;441;4421;1676;4153;14596
2;Alle bedrijfstypen;Oost-Nederland;717;436;145;263;154;262;62;70;5;41;132;1287;147;115;28;267;179;439;241;438;631;583;44;4;9;167;21;63;3;2;81;1;1;10;1;1;0;1;2;18;0;0;231;1;0;67;2;1;141;114;24;41;2798;2237;370;77;109;123;718;1255;36;1100;6042;2093;6000;26948
3;Alle bedrijfstypen;West-Nederland;857;554;94;264;152;458;223;74;7;56;164;1639;287;128;32;347;258;594;338;325;659;593;61;5;15;62;17;82;2;0;57;0;1;4;2;3;5;2;1;5;1;0;267;0;0;200;3;1;100;76;22;33;2779;1294;530;76;121;212;1347;1771;61;1370;4971;3781;6502;22914
4;Alle bedrijfstypen;Zuid-Nederland;534;322;90;212;106;243;55;30;9;74;108;1929;189;68;31;376;699;574;358;507;361;340;19;1;3;12;0;29;1;0;27;0;0;3;1;2;1;2;0;39;1;0;188;2;0;73;1;1;78;60;19;17;1878;1320;291;47;97;171;564;954;47;924;3106;1612;4913;21043
5;Alle bedrijfstypen;Groningen;63;29;8;29;11;33;14;3;0;4;18;165;27;9;3;14;41;63;29;51;117;102;14;1;0;21;0;30;0;0;18;0;0;0;2;0;0;2;0;0;1;0;45;0;0;13;0;1;13;11;2;4;646;511;106;9;12;78;140;407;6;82;842;470;1170;3768
6;Alle bedrijfstypen;Friesland;163;117;25;40;44;74;24;12;0;7;39;186;34;14;2;16;23;91;26;40;406;348;54;4;2;110;13;100;2;3;78;0;0;2;2;0;0;0;0;1;0;0;121;0;0;34;0;0;22;15;4;10;1243;871;140;23;17;124;465;280;3;229;2431;918;1897;6485
7;Alle bedrijfstypen;Drenthe;129;90;55;40;29;36;11;11;0;4;16;174;22;11;10;19;36;55;40;68;75;62;11;2;2;2;1;16;0;0;7;1;0;3;0;1;0;1;1;2;0;0;37;0;0;15;1;0;18;10;1;12;559;410;117;2;23;64;116;314;1;130;1148;288;1086;4343
8;Alle bedrijfstypen;Overijssel;273;182;62;88;48;82;19;27;2;10;41;337;41;43;7;32;42;114;57;137;146;131;14;1;1;2;1;24;0;0;19;0;0;2;0;0;0;0;0;12;0;0;86;0;0;14;1;0;35;30;1;11;1121;948;159;19;57;47;253;376;14;397;2575;624;2060;10228
9;Alle bedrijfstypen;Flevoland;44;14;3;28;9;57;6;6;0;6;41;129;17;9;5;27;23;65;21;26;223;210;12;1;2;160;20;6;1;0;11;0;0;1;0;0;0;0;1;1;0;0;24;0;0;9;1;0;9;7;4;2;173;121;35;0;2;7;63;303;3;82;556;199;738;2188
