ID;GeslachtWerknemer;Dienstverband;KenmerkenBaan;BedrijfstakkenBranchesSBI93;Perioden;Banen_1;Arbeidsvolume_2;Uurloon_3;MaandloonInclusiefOverwerk_4;MaandloonExclusiefOverwerk_5;JaarloonInclusiefBijzondereBeloning_6;JaarloonExclusiefBijzondereBeloning_7;BijzondereBeloning_8;BijtellingAutoVanDeZaak_9;PerBaanPerWeekInclusiefOverwerk_10;PerBaanPerWeekExclusiefOverwerk_11;PerBaanPerJaar_12;PerArbeidsjaar_13
0;Totaal;Totaal;Totaal;A-O Alle economische activiteiten ..;2006;7532.0;5715.0;18.39;2061.0;2027.0;28280.0;24730.0;3550.0;420.0;29.2;28.8;1322.0;1743.0
1;Totaal;Totaal;Totaal;A-O Alle economische activiteiten ..;2007;7757.0;5904.0;18.9;2104.0;2068.0;28990.0;25250.0;3740.0;440.0;29.3;28.9;1313.0;1725.0
2;Totaal;Totaal;Totaal;A-O Alle economische activiteiten ..;2008;7881.0;6010.0;19.5;2171.0;2136.0;29960.0;26050.0;3910.0;510.0;29.3;28.9;1314.0;1724.0
3;Totaal;Totaal;Totaal;A-O Alle economische activiteiten ..;2009;7819.0;5923.0;20.01;2229.0;2198.0;30700.0;26750.0;3950.0;510.0;29.2;28.8;1318.0;1740.0
4;Totaal;Totaal;Totaal;A+B Landbouw, bosbouw, visserij;2006;125.0;84.0;13.41;1366.0;1330.0;17850.0;16400.0;1450.0;220.0;26.4;26.0;1190.0;1770.0
5;Totaal;Totaal;Totaal;A+B Landbouw, bosbouw, visserij;2007;125.0;85.0;13.78;1408.0;1368.0;18440.0;16900.0;1540.0;240.0;26.7;26.2;1191.0;1750.0
6;Totaal;Totaal;Totaal;A+B Landbouw, bosbouw, visserij;2008;123.0;85.0;14.25;1483.0;1441.0;19460.0;17800.0;1660.0;280.0;27.1;26.6;1214.0;1754.0
7;Totaal;Totaal;Totaal;A+B Landbouw, bosbouw, visserij;2009;122.0;85.0;14.47;1548.0;1507.0;20250.0;18580.0;1680.0;300.0;27.8;27.3;1250.0;1794.0
8;Totaal;Totaal;Totaal;C Winning van delfstoffen;2006;8.0;7.0;30.98;4508.0;4448.0;67250.0;54100.0;13150.0;690.0;38.2;37.6;1723.0;1813.0
9;Totaal;Totaal;Totaal;C Winning van delfstoffen;2007;8.0;7.0;31.99;4634.0;4569.0;70120.0;55600.0;14520.0;720.0;38.3;37.7;1714.0;1801.0
10;Totaal;Totaal;Totaal;C Winning van delfstoffen;2008;7.0;7.0;34.73;5004.0;4938.0;75130.0;60050.0;15080.0;860.0;38.1;37.5;1706.0;1803.0
