ID;GedragExporteur;Perioden;GroeiUitvoer_1;BijdrageAanTotaleGroeiUitvoer_2
0;Totale verandering uitvoer;2012;20358508.0;5.0
1;Totale verandering uitvoer;2013;3389471.0;0.8
2;Totale verandering uitvoer;2014;299443.0;0.1
3;Totale verandering uitvoer;2015;;
4;Totale verandering uitvoer;2016;4245625.0;1.0
5;Totale verandering uitvoer;2017;44206192.0;10.4
6;Totale verandering uitvoer;2018;30440281.0;6.5
7;Totale verandering uitvoer;2019;17390024.0;3.5
8;Totale verandering uitvoer;2020;-32551398.0;-6.3
9;Totale verandering uitvoer;2021;103928826.0;21.5
10;Totale verandering uitvoer;2022;;
11;Groei: starten met uitvoeren;2012;8536591.0;2.1
12;Groei: starten met uitvoeren;2013;6916388.0;1.6
13;Groei: starten met uitvoeren;2014;5759812.0;1.3
14;Groei: starten met uitvoeren;2015;;
15;Groei: starten met uitvoeren;2016;7946996.0;1.9
16;Groei: starten met uitvoeren;2017;3217308.0;0.8
17;Groei: starten met uitvoeren;2018;2130993.0;0.5
18;Groei: starten met uitvoeren;2019;5511158.0;1.1
19;Groei: starten met uitvoeren;2020;2629477.0;0.5
20;Groei: starten met uitvoeren;2021;9833379.0;2.0
21;Groei: starten met uitvoeren;2022;;
22;Groei: bestaande combi product/land;2012;59766518.0;14.6
23;Groei: bestaande combi product/land;2013;56727190.0;13.2
24;Groei: bestaande combi product/land;2014;54548136.0;12.6
25;Groei: bestaande combi product/land;2015;;
26;Groei: bestaande combi product/land;2016;49518101.0;11.8
27;Groei: bestaande combi product/land;2017;65552043.0;15.5
28;Groei: bestaande combi product/land;2018;64661381.0;13.8
29;Groei: bestaande combi product/land;2019;61994297.0;12.5
30;Groei: bestaande combi product/land;2020;56263302.0;10.9
31;Groei: bestaande combi product/land;2021;100167466.0;20.8
32;Groei: bestaande combi product/land;2022;;
33;Groei: bestaand product, nieuw land;2012;8876962.0;2.2
34;Groei: bestaand product, nieuw land;2013;7140706.0;1.7
35;Groei: bestaand product, nieuw land;2014;9908868.0;2.3
36;Groei: bestaand product, nieuw land;2015;;
37;Groei: bestaand product, nieuw land;2016;8098779.0;1.9
38;Groei: bestaand product, nieuw land;2017;8182344.0;1.9
39;Groei: bestaand product, nieuw land;2018;6843950.0;1.5
40;Groei: bestaand product, nieuw land;2019;7362898.0;1.5
41;Groei: bestaand product, nieuw land;2020;7574517.0;1.5
42;Groei: bestaand product, nieuw land;2021;36856942.0;7.6
43;Groei: bestaand product, nieuw land;2022;;
44;Groei: nieuw product, bestaand land;2012;5764946.0;1.4
45;Groei: nieuw product, bestaand land;2013;2525245.0;0.6
46;Groei: nieuw product, bestaand land;2014;2823934.0;0.7
47;Groei: nieuw product, bestaand land;2015;;
48;Groei: nieuw product, bestaand land;2016;1808986.0;0.4
49;Groei: nieuw product, bestaand land;2017;2551526.0;0.6
50;Groei: nieuw product, bestaand land;2018;2142501.0;0.5
51;Groei: nieuw product, bestaand land;2019;2458546.0;0.5
52;Groei: nieuw product, bestaand land;2020;2651531.0;0.5
