ID;Werkloosheidsduur;Persoonskenmerken;Perioden;Werkloosheidsduur_1
0;1;3;2001;252
1;1;3;2002;302
2;1;3;2003;399
3;1;3;2004;479
4;1;3;2005;483
5;1;3;2006;413
6;1;3;2007;344
7;1;3;2008;304
8;1;1;2001;109
9;1;1;2002;147
10;1;1;2003;205
11;1;1;2004;246
12;1;1;2005;238
13;1;1;2006;191
14;1;1;2007;153
15;1;1;2008;141
16;1;2;2001;143
17;1;2;2002;155
18;1;2;2003;194
19;1;2;2004;233
20;1;2;2005;245
21;1;2;2006;222
22;1;2;2007;190
23;1;2;2008;162
24;1;4;2001;68
25;1;4;2002;79
26;1;4;2003;96
27;1;4;2004;119
28;1;4;2005;112
29;1;4;2006;91
30;1;4;2007;80
31;1;4;2008;78
32;1;5;2001;121
33;1;5;2002;149
34;1;5;2003;206
35;1;5;2004;234
36;1;5;2005;233
37;1;5;2006;187
38;1;5;2007;141
39;1;5;2008;118
40;1;6;2001;63
41;1;6;2002;75
42;1;6;2003;97
43;1;6;2004;126
44;1;6;2005;138
45;1;6;2006;134
46;1;6;2007;123
47;1;6;2008;108
48;1;7;2001;170
49;1;7;2002;206
50;1;7;2003;264
51;1;7;2004;321
52;1;7;2005;315
53;1;7;2006;265
54;1;7;2007;230
55;1;7;2008;195
56;1;8;2001;82
57;1;8;2002;96
58;1;8;2003;136
59;1;8;2004;159
60;1;8;2005;168
61;1;8;2006;147
62;1;8;2007;114
63;1;8;2008;109
64;1;9;2001;116
65;1;9;2002;125
66;1;9;2003;161
67;1;9;2004;176
68;1;9;2005;178
69;1;9;2006;152
70;1;9;2007;128
71;1;9;2008;121
72;1;Onderwijsniveau: middelbaar;2001;89
73;1;Onderwijsniveau: middelbaar;2002;116
74;1;Onderwijsniveau: middelbaar;2003;159
75;1;Onderwijsniveau: middelbaar;2004;195
76;1;Onderwijsniveau: middelbaar;2005;208
77;1;Onderwijsniveau: middelbaar;2006;179
78;1;Onderwijsniveau: middelbaar;2007;146
79;1;Onderwijsniveau: middelbaar;2008;118
80;1;Onderwijsniveau: hoog;2001;46
81;1;Onderwijsniveau: hoog;2002;61
82;1;Onderwijsniveau: hoog;2003;78
83;1;Onderwijsniveau: hoog;2004;102
84;1;Onderwijsniveau: hoog;2005;94
85;1;Onderwijsniveau: hoog;2006;77
86;1;Onderwijsniveau: hoog;2007;68
87;1;Onderwijsniveau: hoog;2008;65
88;2;3;2001;120
89;2;3;2002;163
90;2;3;2003;190
91;2;3;2004;197
92;2;3;2005;182
93;2;3;2006;156
94;2;3;2007;141
95;2;3;2008;139
96;2;1;2001;52
97;2;1;2002;86
98;2;1;2003;100
99;2;1;2004;100
100;2;1;2005;86
101;2;1;2006;68
102;2;1;2007;63
103;2;1;2008;63
104;2;2;2001;68
105;2;2;2002;77
106;2;2;2003;90
107;2;2;2004;98
108;2;2;2005;95
109;2;2;2006;88
110;2;2;2007;78
111;2;2;2008;76
112;2;4;2001;49
113;2;4;2002;60
114;2;4;2003;62
115;2;4;2004;72
116;2;4;2005;68
117;2;4;2006;56
118;2;4;2007;53
119;2;4;2008;57
120;2;5;2001;53
121;2;5;2002;80
122;2;5;2003;99
123;2;5;2004;93
124;2;5;2005;84
125;2;5;2006;74
126;2;5;2007;62
127;2;5;2008;55
128;2;6;2001;19
129;2;6;2002;23
130;2;6;2003;28
131;2;6;2004;33
132;2;6;2005;30
133;2;6;2006;26
134;2;6;2007;26
135;2;6;2008;28
136;2;7;2001;81
137;2;7;2002;114
138;2;7;2003;132
139;2;7;2004;141
140;2;7;2005;128
141;2;7;2006;109
142;2;7;2007;97
143;2;7;2008;93
144;2;8;2001;39
145;2;8;2002;49
146;2;8;2003;58
147;2;8;2004;57
148;2;8;2005;54
149;2;8;2006;48
150;2;8;2007;44
151;2;8;2008;47
152;2;9;2001;48
153;2;9;2002;63
154;2;9;2003;69
155;2;9;2004;67
156;2;9;2005;66
157;2;9;2006;55
158;2;9;2007;51
159;2;9;2008;54
160;2;Onderwijsniveau: middelbaar;2001;48
161;2;Onderwijsniveau: middelbaar;2002;68
162;2;Onderwijsniveau: middelbaar;2003;82
163;2;Onderwijsniveau: middelbaar;2004;85
164;2;Onderwijsniveau: middelbaar;2005;80
165;2;Onderwijsniveau: middelbaar;2006;68
166;2;Onderwijsniveau: middelbaar;2007;59
167;2;Onderwijsniveau: middelbaar;2008;56
168;2;Onderwijsniveau: hoog;2001;23
169;2;Onderwijsniveau: hoog;2002;31
170;2;Onderwijsniveau: hoog;2003;38
171;2;Onderwijsniveau: hoog;2004;41
172;2;Onderwijsniveau: hoog;2005;35
173;2;Onderwijsniveau: hoog;2006;32
174;2;Onderwijsniveau: hoog;2007;30
175;2;Onderwijsniveau: hoog;2008;29
176;3;3;2001;41
177;3;3;2002;51
178;3;3;2003;80
179;3;3;2004;100
180;3;3;2005;98
181;3;3;2006;67
182;3;3;2007;56
183;3;3;2008;45
184;3;1;2001;17
185;3;1;2002;24
186;3;1;2003;43
187;3;1;2004;49
188;3;1;2005;45
189;3;1;2006;30
190;3;1;2007;22
191;3;1;2008;19
192;3;2;2001;24
193;3;2;2002;26
194;3;2;2003;37
195;3;2;2004;51
196;3;2;2005;53
197;3;2;2006;37
