ID;Onderwijssectoren;Perioden;TotaalPubliekeOnderwijsuitgaven_1;InVanDeTotalePubliekeUitgaven_2;TotaalRijk_3;AanOnderwijsinstellingen_4;AanGemeenten_5;TotaalStudiefinanciering_6;Beurzen_7;Leningen_8;AanBedrijvenNonProfitInstellingen_9;UitgavenVanGemeenten_10;UitgavenVanProvincies_11
13;Totaal onderwijs;2008*;32453.2;11.8;29969.0;24009.9;1329.2;4256.6;2294.8;1961.8;373.2;2472.3;11.8
14;(Pré-)primair onderwijs;1995;4616.3;2.7;4092.8;2776.0;1316.8;;;;0.0;523.5;0.0
15;(Pré-)primair onderwijs;1996;4852.4;3.1;4323.6;2910.3;1413.4;;;;0.0;527.3;1.5
16;(Pré-)primair onderwijs;1997;5100.1;3.1;4298.1;3001.3;1296.8;;;;0.0;798.8;3.2
17;(Pré-)primair onderwijs;1998;5720.1;3.4;4774.5;3573.6;1200.9;;;;0.0;942.5;3.1
18;(Pré-)primair onderwijs;1999;6026.2;3.4;5089.4;3806.1;1283.3;;;;0.0;933.9;2.9
19;(Pré-)primair onderwijs;2000;6651.1;3.6;5634.0;3941.2;1692.8;;;;0.0;1014.0;3.1
20;(Pré-)primair onderwijs;2001;7540.4;3.7;6264.5;4325.6;1938.9;;;;0.0;1272.6;3.3
21;(Pré-)primair onderwijs;2002;8376.5;3.9;6881.2;5051.4;1829.8;;;;0.0;1491.3;4.0
22;(Pré-)primair onderwijs;2003;9127.3;4.1;7265.1;5637.9;1627.2;;;;0.0;1857.0;5.1
23;(Pré-)primair onderwijs;2004;9122.8;4.0;7399.9;5715.2;1684.7;;;;0.0;1718.3;4.6
24;(Pré-)primair onderwijs;2005;9472.7;4.1;7710.0;6204.9;1505.1;;;;0.0;1758.2;4.4
25;(Pré-)primair onderwijs;2006;9609.3;3.9;8083.5;6721.9;1361.6;;;;0.0;1519.8;5.9
26;(Pré-)primair onderwijs;2007;9704.0;3.7;8184.1;6983.7;1200.4;;;;0.0;1514.6;5.3
27;(Pré-)primair onderwijs;2008*;10221.8;3.7;8575.4;7758.5;816.8;;;;0.0;1641.2;5.2
28;Secundair onderwijs;1995;6014.7;3.5;5833.0;4229.3;858.6;745.1;706.5;38.5;0.0;177.1;4.7
29;Secundair onderwijs;1996;6293.7;4.0;6113.1;4250.0;946.3;794.0;741.7;52.3;122.8;174.0;6.6
30;Secundair onderwijs;1997;6321.0;3.9;5934.3;4266.2;714.0;829.6;806.5;23.1;124.4;384.1;2.6
31;Secundair onderwijs;1998;7010.5;4.1;6525.9;4809.9;683.5;896.1;862.6;33.6;136.5;482.1;2.5
32;Secundair onderwijs;1999;7433.7;4.2;6951.1;5273.2;667.4;866.7;842.8;23.9;143.8;480.2;2.3
33;Secundair onderwijs;2000;8267.3;4.5;7738.8;5906.7;670.0;1000.5;970.4;30.1;161.6;526.0;2.6
34;Secundair onderwijs;2001;9030.4;4.4;8391.5;6541.3;695.1;980.5;889.4;91.1;174.5;636.3;2.7
35;Secundair onderwijs;2002;9486.1;4.4;8751.1;6870.5;732.9;886.1;789.0;97.1;261.5;731.7;3.3
36;Secundair onderwijs;2003;9952.2;4.4;9227.5;7164.7;813.4;1044.2;920.7;123.4;205.2;720.4;4.3
37;Secundair onderwijs;2004;10549.3;4.7;9596.4;7371.5;835.0;1195.0;1114.9;80.1;194.9;949.0;3.9
38;Secundair onderwijs;2005;11138.1;4.8;10237.6;8020.9;923.2;1114.1;1006.4;107.7;179.5;896.6;3.9
39;Secundair onderwijs;2006;11765.0;4.8;11033.0;8677.2;803.5;1379.3;1132.0;247.3;173.0;726.7;5.3
40;Secundair onderwijs;2007;12309.8;4.8;11431.4;9209.1;747.7;1245.9;770.8;475.1;228.6;873.8;4.7
41;Secundair onderwijs;2008*;13251.6;4.8;12415.7;9910.4;512.4;1645.7;1234.8;410.9;347.2;831.1;4.7
42;Tertiair onderwijs;1995;5033.8;2.9;5004.9;3833.8;0.0;1171.2;998.0;173.2;0.0;28.9;0.0
43;Tertiair onderwijs;1996;4993.8;3.2;4987.7;3839.7;20.6;1126.5;890.8;235.8;0.9;5.8;0.3
44;Tertiair onderwijs;1997;5042.8;3.1;5042.0;3873.8;0.0;1167.2;781.2;385.9;1.0;0.0;0.9
45;Tertiair onderwijs;1998;5172.7;3.1;5171.8;4047.1;0.0;1123.4;505.3;618.2;1.3;0.0;0.9
46;Tertiair onderwijs;1999;5445.1;3.1;5444.3;4234.7;0.0;1207.6;572.5;635.1;2.1;0.0;0.8
47;Tertiair onderwijs;2000;5806.6;3.1;5805.7;4386.6;0.0;1415.9;616.8;799.1;3.2;0.0;0.9
48;Tertiair onderwijs;2001;6075.9;3.0;6074.9;4733.1;0.0;1337.5;613.1;724.4;4.3;0.0;1.0
49;Tertiair onderwijs;2002;6221.5;2.9;6220.3;4946.9;0.0;1266.0;479.3;786.7;7.5;0.0;1.2
50;Tertiair onderwijs;2003;6768.3;3.0;6766.7;5122.1;0.0;1637.9;769.0;869.0;6.7;0.0;1.6
51;Tertiair onderwijs;2004;7125.5;3.1;7124.0;5325.5;0.0;1791.3;806.6;984.7;7.2;0.0;1.5
52;Tertiair onderwijs;2005;7536.0;3.3;7534.5;5587.9;0.0;1939.3;857.4;1081.9;7.3;0.0;1.5
53;Tertiair onderwijs;2006;8110.4;3.3;8108.4;5711.2;0.0;2390.0;993.6;1396.4;7.2;0.0;2.0
54;Tertiair onderwijs;2007;8244.0;3.2;8242.2;6022.6;0.0;2210.8;734.2;1476.6;8.8;0.0;1.8
55;Tertiair onderwijs;2008*;8979.8;3.3;8977.9;6341.0;0.0;2610.9;1060.0;1550.9;26.0;0.0;1.9
