ID;KnelpuntenVerkoop;SBI93Bedrijfsgrootte;BedrijvenZonderElektrVerkoopTotaal_1;BedrijvenZonderElekVerkoopfaciliteit_2;BedrijvenZonderElekVerkMetWebsite_3;BedrijvenMetElektrVerkoopTotaal_4;BedrijvenMetElektrVerkoop1_5
0;Weinig klanten;1;13;11;14;13;14
1;Weinig klanten;2;12;12;13;12;14
2;Weinig klanten;3;13;9;16;14;14
3;Weinig klanten;4;13;11;14;11;11
4;Weinig klanten;5;10;10;5;29;21
5;Weinig klanten;6;20;20;13;16;19
6;Weinig klanten;11;4;8;0;9;18
7;Weinig klanten;7;15;14;14;14;14
8;Weinig klanten;8;13;15;11;13;15
9;Weinig klanten;9;16;11;15;15;13
10;Weinig klanten;10;20;24;19;11;12
11;Weinig klanten;12;9;7;13;23;29
12;Weinig klanten;13;10;8;18;20;27
13;Weinig klanten;14;6;6;7;27;32
14;Weinig klanten;15;21;27;19;26;37
15;Weinig klanten;16;15;14;16;10;13
16;Weinig klanten;17;14;15;13;10;14
17;Weinig klanten;18;17;12;21;11;14
18;Weinig klanten;19;21;17;25;12;9
19;Weinig klanten;20;16;15;16;7;9
20;Weinig klanten;21;13;13;14;4;6
21;Weinig klanten;22;23;20;22;9;11
22;Weinig klanten;23;18;41;10;12;17
23;Weinig klanten;24;15;12;16;13;13
24;Weinig klanten;25;16;14;16;13;13
25;Weinig klanten;26;12;7;15;12;12
26;Weinig klanten;27;12;4;16;11;9
27;Weinig klanten;28;6;4;9;13;12
28;Weinig klanten;29;5;5;7;14;12
29;Weinig klanten;30;8;3;13;14;16
30;Weinig klanten;31;5;3;6;4;4
31;Weinig klanten;32;12;11;16;13;14
32;Weinig klanten;33;12;13;10;12;14
33;Weinig klanten;34;13;9;15;14;15
34;Weinig klanten;35;14;9;16;12;12
35;Weinig klanten;36;14;13;15;8;7
36;Weinig klanten;37;12;8;15;12;14
37;Weinig klanten;38;11;7;12;17;16
38;Kosten te hoog;1;13;13;14;17;17
39;Kosten te hoog;2;13;13;14;17;17
40;Kosten te hoog;3;13;11;15;18;17
41;Kosten te hoog;4;13;10;14;13;13
42;Kosten te hoog;5;11;12;10;27;20
43;Kosten te hoog;6;13;6;16;0;0
44;Kosten te hoog;11;27;38;19;7;0
45;Kosten te hoog;7;16;19;13;19;21
46;Kosten te hoog;8;13;17;7;20;24
47;Kosten te hoog;9;20;23;17;18;19
