ID;Geslacht;PrognoseInterval;Perioden;TotaalPersonenInHuishoudens_1;TotaalPersonenInParticuliereHuish_2;ThuiswonendKind_3;Alleenstaand_4;Samenwonend_5;OuderInEenouderhuishouden_6;OverigLidHuishouden_7;PersonenInInstitutioneleHuishoudens_8;TotaalParticuliereHuishoudens_9;GemiddeldeHuishoudensgrootte_10
0;Totaal mannen en vrouwen;Prognose;2016;16974192;16733341;4569610;2918465;8437940;554282;253044;240836;7733844.0;2.16
1;Totaal mannen en vrouwen;Prognose;2017;17087100;16843072;4582135;2971340;8472329;562136;255131;244065;7812020.0;2.16
2;Totaal mannen en vrouwen;Prognose;2018;17195054;16950376;4597687;3017622;8508806;569242;257019;244763;7883855.0;2.15
3;Totaal mannen en vrouwen;Prognose;2019;17273328;17031804;4609176;3051296;8538828;575236;257269;241639;7938592.0;2.15
4;Totaal mannen en vrouwen;Prognose;2020;17337816;17099322;4619127;3077076;8566286;580164;256669;238638;7982955.0;2.14
5;Totaal mannen en vrouwen;Prognose;2021;17399676;17162332;4624842;3105292;8591443;583879;256875;237516;8027479.0;2.14
6;Totaal mannen en vrouwen;Prognose;2022;17459036;17221640;4627196;3135416;8614906;586506;257617;237591;8072071.0;2.13
7;Totaal mannen en vrouwen;Prognose;2023;17514580;17276434;4627445;3166080;8636062;588225;258622;238369;8115135.0;2.13
8;Totaal mannen en vrouwen;Prognose;2024;17566576;17327188;4626599;3196657;8654887;589287;259757;239638;8156341.0;2.12
9;Totaal mannen en vrouwen;Prognose;2025;17616310;17375120;4625881;3226780;8671541;589938;260979;241467;8195622.0;2.12
10;Totaal mannen en vrouwen;Prognose;2026;17664232;17420804;4625874;3256716;8685884;589987;262344;243735;8232935.0;2.12
11;Totaal mannen en vrouwen;Prognose;2027;17710086;17464240;4626647;3286323;8697702;589791;263778;246183;8268387.0;2.11
12;Totaal mannen en vrouwen;Prognose;2028;17753992;17505568;4628537;3315519;8706814;589421;265277;248791;8301880.0;2.11
13;Totaal mannen en vrouwen;Prognose;2029;17796232;17545042;4631954;3343835;8713236;589209;266808;251586;8333351.0;2.11
14;Totaal mannen en vrouwen;Prognose;2030;17837004;17582854;4637213;3371187;8717016;589057;268381;254575;8362524.0;2.1
15;Totaal mannen en vrouwen;Prognose;2031;17875926;17618644;4644396;3396957;8718295;589068;269927;257740;8389043.0;2.1
16;Totaal mannen en vrouwen;Prognose;2032;17912824;17652236;4653257;3421242;8717170;589103;271463;261077;8412835.0;2.1
17;Totaal mannen en vrouwen;Prognose;2033;17947478;17683456;4663182;3444127;8713804;589384;272958;264540;8434358.0;2.1
18;Totaal mannen en vrouwen;Prognose;2034;17979556;17712016;4673855;3465659;8708224;589876;274403;268082;8453604.0;2.1
19;Totaal mannen en vrouwen;Prognose;2035;18008838;17737752;4684919;3486025;8700406;590583;275818;271668;8470798.0;2.09
