ID;EnergyCommodities;Periods;Amount_1;ChangeYearOnYear_2;PriceIndex_3;ChangeYearOnYear_4
0;Total energy commodities;1995 January;304.0;6.4;33.4;3.8
1;Total energy commodities;1995 February;264.0;-9.9;33.4;4.2
2;Total energy commodities;1995 March ;299.0;12.8;33.0;2.7
3;Total energy commodities;1995 1st quarter;867.0;2.8;33.3;3.6
4;Total energy commodities;1995 April;236.0;-0.9;34.1;5.8
5;Total energy commodities;1995 May;218.0;2.9;34.3;5.5
6;Total energy commodities;1995 June;208.0;-0.1;33.9;3.5
7;Total energy commodities;1995 2nd quarter;663.0;0.6;34.1;4.9
8;Total energy commodities;1995 July;193.0;5.8;32.9;-0.3
9;Total energy commodities;1995 August;200.0;5.4;33.1;0.6
10;Total energy commodities;1995 September;212.0;-5.2;33.3;2.1
11;Total energy commodities;1995 3rd quarter;605.0;1.6;33.1;0.8
12;Total energy commodities;1995 October;235.0;-5.3;31.9;-2.7
13;Total energy commodities;1995 November;257.0;3.5;32.1;-2.5
14;Total energy commodities;1995 December;339.0;18.9;32.7;-0.2
15;Total energy commodities;1995 4th quarter;831.0;6.3;32.3;-1.8
16;Total energy commodities;1995;2965.0;2.9;33.2;1.8
17;Total energy commodities;1996 January;341.0;12.0;33.2;-0.6
18;Total energy commodities;1996 February;327.0;24.1;33.1;-0.9
19;Total energy commodities;1996 March ;300.0;0.3;34.0;3.2
20;Total energy commodities;1996 1st quarter;968.0;11.6;33.4;0.6
21;Total energy commodities;1996 April;234.0;-1.1;35.7;4.6
22;Total energy commodities;1996 May;235.0;7.8;35.2;2.4
23;Total energy commodities;1996 June;201.0;-3.5;34.8;2.9
24;Total energy commodities;1996 2nd quarter;670.0;1.0;35.2;3.3
25;Total energy commodities;1996 July;201.0;3.9;36.1;9.5
26;Total energy commodities;1996 August;199.0;-0.4;36.3;9.6
27;Total energy commodities;1996 September;215.0;1.8;37.1;11.4
28;Total energy commodities;1996 3rd quarter;616.0;1.7;36.5;10.2
29;Total energy commodities;1996 October;242.0;3.0;37.9;18.8
30;Total energy commodities;1996 November;279.0;8.5;37.4;16.3
31;Total energy commodities;1996 December;329.0;-2.7;38.0;16.2
32;Total energy commodities;1996 4th quarter;850.0;2.4;37.8;17.1
33;Total energy commodities;1996;3104.0;4.7;35.7;7.7
34;Total energy commodities;1997 January;357.0;4.6;39.2;18.3
35;Total energy commodities;1997 February;267.0;-18.3;38.6;16.5
36;Total energy commodities;1997 March ;262.0;-12.8;37.9;11.3
37;Total energy commodities;1997 1st quarter;886.0;-8.5;38.6;15.3
