ID;Gewicht;Perioden;Geborenen_1;Levendgeborenen_2;Doodgeborenen_3;Overleden1eWeek_4;PerinataleSterfteTMDag7_5;DoodgeborenenPer1000Geborenen_6;Overleden1eWeek1000Levendgeborenen_7;PerinatStTMDag71000Geborenen_8;Geborenen_9;Levendgeborenen_10;Doodgeborenen_11;NeonataleSterfte_12;PerinataleSterfteTMDag28_13;DoodgeborenenPer1000Geborenen_14;NeonataleSterfte1000Levendgeborenen_15;PerinatStTMDag281000Geborenen_16;Levendgeborenen_17;Overleden1eWeek_18;NeonataleSterfte_19;Zuigelingensterfte_20;Overleden1eWeek1000Levendgeborenen_21;NeonataleSterfte1000Levendgeborenen_22;Zuigelingensterfte1000Levendgeborenen_23
0;Totaal gewichtsklassen;2004;187622;186503;1119.0;423.0;1542.0;6.0;2.3;8.2;187622;186503;1119.0;556.0;1675.0;6.0;3.0;8.9;186503;423.0;556.0;736.0;2.3;3.0;3.9
1;Totaal gewichtsklassen;2005;181250;180163;1087.0;483.0;1570.0;6.0;2.7;8.7;181250;180163;1087.0;603.0;1690.0;6.0;3.3;9.3;180163;483.0;603.0;804.0;2.7;3.3;4.5
2;Totaal gewichtsklassen;2006;178950;177903;1047.0;421.0;1468.0;5.9;2.4;8.2;178950;177903;1047.0;554.0;1601.0;5.9;3.1;8.9;177903;421.0;554.0;727.0;2.4;3.1;4.1
3;Totaal gewichtsklassen;2007;175524;174514;1010.0;410.0;1420.0;5.8;2.3;8.1;175524;174514;1010.0;530.0;1540.0;5.8;3.0;8.8;174514;410.0;530.0;678.0;2.3;3.0;3.9
4;Totaal gewichtsklassen;2008;178560;177524;1036.0;381.0;1417.0;5.8;2.1;7.9;178560;177524;1036.0;485.0;1521.0;5.8;2.7;8.5;177524;381.0;485.0;629.0;2.1;2.7;3.5
5;Totaal gewichtsklassen;2009;178606;177660;946.0;365.0;1311.0;5.3;2.1;7.3;178606;177660;946.0;470.0;1416.0;5.3;2.6;7.9;177660;365.0;470.0;662.0;2.1;2.6;3.7
6;Totaal gewichtsklassen;2010;178266;177366;901.0;388.0;1288.0;5.1;2.2;7.2;178266;177366;901.0;499.0;1399.0;5.1;2.8;7.8;177366;388.0;499.0;656.0;2.2;2.8;3.7
7;Totaal gewichtsklassen;2011;174288;173440;848.0;365.0;1213.0;4.9;2.1;7.0;174288;173440;848.0;457.0;1305.0;4.9;2.6;7.5;173440;365.0;457.0;605.0;2.1;2.6;3.5
8;Totaal gewichtsklassen;2012;170089;169230;859.0;312.0;1171.0;5.1;1.8;6.9;170089;169230;859.0;395.0;1254.0;5.1;2.3;7.4;169230;312.0;395.0;570.0;1.8;2.3;3.4
9;Totaal gewichtsklassen;2013;165577;164869;708.0;327.0;1035.0;4.3;2.0;6.3;165577;164869;708.0;417.0;1126.0;4.3;2.5;6.8;164869;327.0;417.0;543.0;2.0;2.5;3.3
10;Totaal gewichtsklassen;2014;169647;168875;772.0;331.0;1104.0;4.6;2.0;6.5;169647;168875;772.0;434.0;1207.0;4.6;2.6;7.1;168875;331.0;434.0;584.0;2.0;2.6;3.5
11;Totaal gewichtsklassen;2015;165516;164748;767.0;285.0;1052.0;4.6;1.7;6.4;165516;164748;767.0;388.0;1156.0;4.6;2.4;7.0;164748;285.0;388.0;501.0;1.7;2.4;3.0
